Date,Ethereum,Bitcoin
2015-08-07,2.83,278.74
2015-08-08,2.79,279.74
2015-08-09,0.706136,261.12
2015-08-10,0.713989,265.48
2015-08-11,0.708087,264.34
2015-08-12,1.06,270.60
2015-08-13,1.22,266.18
2015-08-14,1.81,264.13
2015-08-15,1.80,265.53
2015-08-16,1.68,261.87
2015-08-17,1.58,258.49
2015-08-18,1.22,257.93
2015-08-19,1.17,225.67
2015-08-20,1.25,226.90
2015-08-21,1.48,235.35
2015-08-22,1.40,232.66
2015-08-23,1.38,230.38
2015-08-24,1.35,228.11
2015-08-25,1.23,210.07
2015-08-26,1.13,222.08
2015-08-27,1.17,226.05
2015-08-28,1.15,224.70
2015-08-29,1.19,231.55
2015-08-30,1.18,229.90
2015-08-31,1.32,229.11
2015-09-01,1.35,230.26
2015-09-02,1.35,228.03
2015-09-03,1.30,229.32
2015-09-04,1.26,227.21
2015-09-05,1.28,230.20
2015-09-06,1.34,234.87
2015-09-07,1.30,239.93
2015-09-08,1.25,239.85
2015-09-09,1.24,243.41
2015-09-10,1.21,238.34
2015-09-11,1.16,238.33
2015-09-12,0.987228,239.85
2015-09-13,1.04,235.24
2015-09-14,0.940566,230.61
2015-09-15,0.875189,230.49
2015-09-16,0.941977,230.25
2015-09-17,0.906865,229.08
2015-09-18,0.874574,233.52
2015-09-19,0.849603,232.86
2015-09-20,0.881191,231.40
2015-09-21,0.941496,231.22
2015-09-22,0.919337,226.97
2015-09-23,0.903560,230.94
2015-09-24,0.896796,230.36
2015-09-25,0.820031,234.36
2015-09-26,0.737630,235.08
2015-09-27,0.791277,234.14
2015-09-28,0.723715,232.84
2015-09-29,0.579414,239.02
2015-09-30,0.661192,236.64
2015-10-01,0.734307,236.00
2015-10-02,0.683732,237.26
2015-10-03,0.678783,237.20
2015-10-04,0.686343,238.53
2015-10-05,0.666784,238.15
2015-10-06,0.622218,240.36
2015-10-07,0.650515,246.17
2015-10-08,0.609501,243.07
2015-10-09,0.655084,242.50
2015-10-10,0.641187,243.74
2015-10-11,0.627461,244.74
2015-10-12,0.634515,246.88
2015-10-13,0.627943,245.20
2015-10-14,0.612240,249.49
2015-10-15,0.523278,252.11
2015-10-16,0.562593,254.30
2015-10-17,0.534117,262.75
2015-10-18,0.547913,270.91
2015-10-19,0.517621,261.86
2015-10-20,0.489629,263.57
2015-10-21,0.431589,269.31
2015-10-22,0.444988,266.50
2015-10-23,0.566370,273.65
2015-10-24,0.539681,276.50
2015-10-25,0.563207,281.45
2015-10-26,0.619743,283.63
2015-10-27,0.708890,285.18
2015-10-28,0.870938,293.70
2015-10-29,1.01,304.32
2015-10-30,1.21,313.94
2015-10-31,1.05,328.51
2015-11-01,0.920847,315.01
2015-11-02,1.06,325.94
2015-11-03,0.994568,361.87
2015-11-04,1.01,403.66
2015-11-05,0.900699,408.08
2015-11-06,0.904772,388.05
2015-11-07,0.923732,374.27
2015-11-08,0.915661,384.28
2015-11-09,1.03,374.32
2015-11-10,1.00,379.98
2015-11-11,0.941296,339.82
2015-11-12,0.796455,314.08
2015-11-13,0.907722,338.50
2015-11-14,0.905469,336.62
2015-11-15,0.891217,333.05
2015-11-16,0.906166,319.73
2015-11-17,0.924948,330.36
2015-11-18,0.993214,334.59
2015-11-19,0.988713,334.68
2015-11-20,0.955735,326.41
2015-11-21,0.928758,322.09
2015-11-22,0.979765,326.98
2015-11-23,0.967493,324.35
2015-11-24,0.946442,323.01
2015-11-25,0.893827,320.05
2015-11-26,0.863273,328.30
2015-11-27,0.882100,351.86
2015-11-28,0.868102,357.14
2015-11-29,0.914144,357.47
2015-11-30,0.879951,371.44
2015-12-01,0.878316,377.41
2015-12-02,0.873171,361.85
2015-12-03,0.818546,359.33
2015-12-04,0.812082,361.26
2015-12-05,0.841195,363.72
2015-12-06,0.866417,389.55
2015-12-07,0.836322,389.98
2015-12-08,0.806024,395.75
2015-12-09,0.824454,414.44
2015-12-10,0.795590,417.99
2015-12-11,0.839995,415.28
2015-12-12,0.931196,452.33
2015-12-13,0.971538,431.66
2015-12-14,0.956620,433.27
2015-12-15,0.990589,443.88
2015-12-16,1.02,465.21
2015-12-17,0.993043,454.78
2015-12-18,0.938327,455.85
2015-12-19,0.921524,463.55
2015-12-20,0.908240,462.23
2015-12-21,0.906065,442.84
2015-12-22,0.894973,437.44
2015-12-23,0.861782,436.72
2015-12-24,0.859433,443.09
2015-12-25,0.861993,454.86
2015-12-26,0.870766,455.76
2015-12-27,0.853166,416.51
2015-12-28,0.856356,423.34
2015-12-29,0.843835,422.10
2015-12-30,0.874258,433.30
2015-12-31,0.912098,425.88
2016-01-01,0.933712,430.72
2016-01-02,0.947401,434.62
2016-01-03,0.938430,433.58
2016-01-04,0.972045,430.06
2016-01-05,0.953147,433.07
2016-01-06,0.950028,431.86
2016-01-07,0.955801,430.01
2016-01-08,0.942752,457.54
2016-01-09,0.985501,453.38
2016-01-10,0.985557,448.24
2016-01-11,0.999216,448.70
2016-01-12,1.07,448.18
2016-01-13,1.14,434.67
2016-01-14,1.12,432.29
2016-01-15,1.18,430.26
2016-01-16,1.22,365.07
2016-01-17,1.22,387.15
2016-01-18,1.33,381.73
2016-01-19,1.42,387.03
2016-01-20,1.36,379.74
2016-01-21,1.53,419.63
2016-01-22,1.55,409.75
2016-01-23,1.50,382.43
2016-01-24,1.90,388.10
2016-01-25,2.15,402.32
