symbol,date,price
BTC,Apr 23 2020,7121.31
BTC,Apr 22 2020,6879.44
BTC,Apr 21 2020,6879.78
BTC,Apr 20 2020,7186.87
BTC,Apr 19 2020,7260.92
BTC,Apr 18 2020,7092.29
BTC,Apr 17 2020,7116.55
BTC,Apr 16 2020,6640.45
BTC,Apr 15 2020,6845.56
BTC,Apr 14 2020,6843.28
BTC,Apr 13 2020,6965.62
BTC,Apr 12 2020,6858.07
BTC,Apr 11 2020,6867.44
BTC,Apr 10 2020,7303.82
BTC,Apr 09 2020,7337.97
BTC,Apr 08 2020,7179.28
BTC,Apr 07 2020,7273.64
BTC,Apr 06 2020,6788.05
BTC,Apr 05 2020,6862.54
BTC,Apr 04 2020,6738.38
BTC,Apr 03 2020,6797.40
BTC,Apr 02 2020,6606.78
BTC,Apr 01 2020,6437.32
BTC,Mar 31 2020,6430.61
BTC,Mar 30 2020,5925.54
BTC,Mar 29 2020,6245.62
BTC,Mar 28 2020,6467.25
BTC,Mar 27 2020,6719.39
BTC,Mar 26 2020,6675.17
BTC,Mar 25 2020,6738.72
BTC,Mar 24 2020,6436.64
BTC,Mar 23 2020,5831.37
BTC,Mar 22 2020,6185.56
BTC,Mar 21 2020,6206.52
BTC,Mar 20 2020,6191.65
BTC,Mar 19 2020,5245.42
BTC,Mar 18 2020,5227.11
BTC,Mar 17 2020,5002.58
BTC,Mar 16 2020,5385.23
BTC,Mar 15 2020,5201.07
BTC,Mar 14 2020,5573.08
BTC,Mar 13 2020,5017.83
BTC,Mar 12 2020,7913.62
BTC,Mar 11 2020,7910.09
BTC,Mar 10 2020,7922.15
BTC,Mar 09 2020,8111.15
BTC,Mar 08 2020,8908.21
BTC,Mar 07 2020,9121.60
BTC,Mar 06 2020,9078.31
BTC,Mar 05 2020,8760.29
BTC,Mar 04 2020,8788.54
BTC,Mar 03 2020,8865.39
BTC,Mar 02 2020,8563.26
BTC,Mar 01 2020,8599.76
BTC,Feb 29 2020,8671.21
BTC,Feb 28 2020,8788.73
BTC,Feb 27 2020,8825.09
BTC,Feb 26 2020,9338.29
BTC,Feb 25 2020,9651.31
BTC,Feb 24 2020,9921.58
BTC,Feb 23 2020,9663.32
BTC,Feb 22 2020,9687.71
BTC,Feb 21 2020,9611.78
BTC,Feb 20 2020,9629.33
BTC,Feb 19 2020,10143.80
BTC,Feb 18 2020,9691.23
BTC,Feb 17 2020,9936.56
BTC,Feb 16 2020,9889.18
BTC,Feb 15 2020,10313.86
BTC,Feb 14 2020,10211.55
BTC,Feb 13 2020,10323.96
BTC,Feb 12 2020,10202.39
BTC,Feb 11 2020,9855.89
BTC,Feb 10 2020,10115.56
BTC,Feb 09 2020,9863.89
BTC,Feb 08 2020,9793.07
BTC,Feb 07 2020,9726.00
BTC,Feb 06 2020,9617.82
BTC,Feb 05 2020,9183.42
BTC,Feb 04 2020,9292.84
BTC,Feb 03 2020,9344.68
BTC,Feb 02 2020,9389.82
BTC,Feb 01 2020,9346.36
BTC,Jan 31 2020,9508.31
BTC,Jan 30 2020,9316.02
BTC,Jan 29 2020,9357.47
BTC,Jan 28 2020,8912.52
BTC,Jan 27 2020,8597.31
BTC,Jan 26 2020,8364.41
BTC,Jan 25 2020,8440.12
BTC,Jan 24 2020,8405.57
BTC,Jan 23 2020,8680.65
BTC,Jan 22 2020,8744.21
BTC,Jan 21 2020,8658.99
BTC,Jan 20 2020,8704.63
BTC,Jan 19 2020,8941.45
BTC,Jan 18 2020,8927.21
BTC,Jan 17 2020,8725.21
BTC,Jan 16 2020,8812.48
BTC,Jan 15 2020,8825.34
BTC,Jan 14 2020,8140.93
BTC,Jan 13 2020,8189.77
BTC,Jan 12 2020,8033.26
BTC,Jan 11 2020,8162.19
BTC,Jan 10 2020,7878.31
BTC,Jan 09 2020,8082.30
BTC,Jan 08 2020,8161.94
BTC,Jan 07 2020,7768.68
BTC,Jan 06 2020,7410.45
BTC,Jan 05 2020,7410.45
BTC,Jan 04 2020,7345.38
BTC,Jan 03 2020,6984.43
BTC,Jan 02 2020,7202.55
BTC,Jan 01 2020,7194.89
BTC,Dec 31 2019,7294.44
BTC,Dec 30 2019,7420.27
BTC,Dec 29 2019,7317.65
BTC,Dec 28 2019,7289.03
BTC,Dec 27 2019,7238.14
BTC,Dec 26 2019,7274.80
BTC,Dec 25 2019,7325.76
BTC,Dec 24 2019,7354.39
BTC,Dec 23 2019,7508.90
BTC,Dec 22 2019,7191.19
BTC,Dec 21 2019,7220.59
BTC,Dec 20 2019,7208.64
BTC,Dec 19 2019,7277.59
BTC,Dec 18 2019,6647.70
BTC,Dec 17 2019,6931.32
BTC,Dec 16 2019,7153.66
BTC,Dec 15 2019,7124.24
BTC,Dec 14 2019,7268.90
BTC,Dec 13 2019,7244.66
BTC,Dec 12 2019,7216.74
BTC,Dec 11 2019,7277.20
BTC,Dec 10 2019,7397.13
BTC,Dec 09 2019,7561.80
BTC,Dec 08 2019,7551.34
BTC,Dec 07 2019,7547.27
BTC,Dec 06 2019,7450.56
BTC,Dec 05 2019,7253.24
BTC,Dec 04 2019,7320.13
BTC,Dec 03 2019,7323.98
BTC,Dec 02 2019,7424.04
BTC,Dec 01 2019,7571.62
BTC,Nov 30 2019,7764.06
BTC,Nov 29 2019,7466.73
BTC,Nov 28 2019,7536.82
BTC,Nov 27 2019,7220.88
BTC,Nov 26 2019,7145.16
BTC,Nov 25 2019,7039.98
BTC,Nov 24 2019,7398.63
BTC,Nov 23 2019,7296.16
BTC,Nov 22 2019,7643.57
BTC,Nov 21 2019,8023.64
BTC,Nov 20 2019,8203.61
BTC,Nov 19 2019,8305.13
BTC,Nov 18 2019,8573.98
BTC,Nov 17 2019,8549.47
BTC,Nov 16 2019,8491.17
BTC,Nov 15 2019,8705.71
BTC,Nov 14 2019,8811.94
BTC,Nov 13 2019,8812.03
BTC,Nov 12 2019,8759.75
BTC,Nov 11 2019,9056.92
BTC,Nov 10 2019,8812.49
BTC,Nov 09 2019,8809.47
BTC,Nov 08 2019,9265.37
BTC,Nov 07 2019,9352.39
BTC,Nov 06 2019,9340.86
BTC,Nov 05 2019,9413.00
BTC,Nov 04 2019,9235.61
BTC,Nov 03 2019,9324.79
BTC,Nov 02 2019,9259.78
BTC,Nov 01 2019,9193.99
BTC,Oct 31 2019,9202.46
BTC,Oct 30 2019,9422.46
BTC,Oct 29 2019,9248.44
BTC,Oct 28 2019,9565.10
BTC,Oct 27 2019,9241.71
BTC,Oct 26 2019,8667.58
BTC,Oct 25 2019,7490.70
BTC,Oct 24 2019,7509.73
BTC,Oct 23 2019,8076.23
BTC,Oct 22 2019,8243.40
BTC,Oct 21 2019,8225.12
BTC,Oct 20 2019,7997.81
BTC,Oct 19 2019,7973.80
BTC,Oct 18 2019,8100.93
BTC,Oct 17 2019,8047.81
BTC,Oct 16 2019,8204.67
BTC,Oct 15 2019,8373.46
BTC,Oct 14 2019,8320.83
BTC,Oct 13 2019,8336.90
BTC,Oct 12 2019,8315.66
BTC,Oct 11 2019,8585.26
BTC,Oct 10 2019,8585.28
BTC,Oct 09 2019,8229.84
BTC,Oct 08 2019,8246.85
BTC,Oct 07 2019,7989.12
BTC,Oct 06 2019,8149.88
