"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","495.625","480.0","496.6666666666667","492.333333333333","483.333333333333","468.0","430.0","446.6666666666667","432.222222222222","457.5","370.0","408.571428571429","433.0","490.0","515.0","520.333333333333","481.111111111111","525.33","460.0","446.0","442.0","448.0","425.0","498.0","464.0","484.0","460.0","492.22222222222223","485.555555555556","472.5","480.0","454.0","456.0","455.55555555555554","456.1","459.73","456.0","457.5","446.0","446.0","452.0","450.0","479.28571428571","480.0",""
"Agric eggs(medium size price of one)","43.4975","41.25","42.0","41.111111111111114","41.9811111111111","40.0","38.0","38.888888888888886","36.666666666666664","39.5","32.5","36.666666666666664","38.5","38.5","40.0","41.111111111111114","38.6666666666667","40.764397","40.012","39.0","39.0","39.0","38.7","42.0","40.0","41.0","40.0","42.0","42.4444444444444","38.75","39.5","39.0","39.0","39.44444444444444","38.0","38.35","39.0","39.125","38.18181818181818","38.18181818181818","35.63175","38.875","40.0","40.4444444444444",""
"Beans brown,sold loose","363.3616666666667","367.976666666666","352.405740810913","343.7427196047886","348.57142857143","346.44436023746374","358.852825173855","375.5444444444444","380.18315018315","361.3324175824176","313.55","302.10766903759117","367.4608547392032","409.2219274977896","442.25641025641","410.40938627145533","410.18315018315025","415.82228116710877","430.6896551724138","405.162561576355","396.97249589491","391.3001357676728","361.739926739927","430.6896551724137","394.6954022988506","361.072796934866","345.658088634495","357.608311229001","344.5314285714286","301.5826702033599","285.484400656814","253.63","224.46212791040375","265.48375","274.74","272.01","241.74900853666728","239.848852901485","249.3530750858337","249.3530750858337","248.2554945054945","265.918631100083","305.4807692307692","328.871794871795",""
"Beans:white black eye. sold loose","300.665","280.2674999999995","298.12779812779814","308.73015873015873","314.28571428571","319.67556253270544","319.2627521732","339.4977777777778","335.6593406593407","312.7306027306027","302.730602730603","291.5895401212924","350.0","356.61172161172163","415.8974358974359","408.730158730159","395.659340659341","399.050915129014","376.6787924718959","354.93558165971956","337.10180623973736","335.357142857143","315.796220687525","376.67879247189603","345.0915750915751","315.95238095238096","305.401265401265","324.102564102564","324.81444444444446","329.487179487179","285.714285714286","250.23","288.08647492858","304.517777777778","308.94","305.42","236.768837803321","216.4629049111808","225.60373853477304","225.60373853477304","222.62820512820514","235.21270396270396","266.77655677655673","294.054487179487",""
"Beef Bone in","979.201","992.105","1013.8888888888889","1044.4444444444446","1225.0","1203.1425891182","1240.4877260981912","1064.0522222222223","1062.5","1075.0","1100.0","1100.0","1085.7142857142858","1014.28571428571","1150.0","1100.0","1050.0","1105.0","1054.8076923076924","1075.0","1080.0","1092.85714285714","1055.1417004048585","1287.5","1150.0","1150.0","1090.83333333333","1023.8095238095239","1150.0","1104.99419279907","1098.04761904762","1053.33","1058.3333333333335","1116.66666666667","1090.48","1106.67","1019.7802197802197","1057.40740740741","1083.1339031339","1083.1339031339","1125.30612244898","1128.66866866867","1171.4285714285713","1212.5",""
"Beef,boneless","1304.5700000000002","1500.0","1462.5","1425.0","1410.0","1425.0","1350.0","1411.111111111111","1450.0","1460.0","1450.0","1304.7619047619048","1440.0","1427.2727272727273","1410.0","1450.0","1450.0","1418.1818181818182","1420.0","1400.0","1460.0","1420.0","1420.0","1405.0","1395.0","1404.0","1470.0","1412.5","1411.111111111111","1352.5","1298.16260162602","1262.0","1240.0","1308.88888888889","1414.55","1422.22","1440.0","1425.0","1425.0","1425.0","1500.0","1510.0","1507.43245","1500.0",""
"Bread sliced 500g","341.1","307.5","308.3333333333333","340.0","350.0","370.142857142857","340.0","325.0","325.0","331.25","300.0","303.333333333333","360.0","325.0","350.0","350.0","325.0","350.0","316.6666666666667","325.0","333.3333333333333","310.0","308.3333333333333","316.6666666666667","325.0","325.0","325.8534879","333.3333333333333","350.0","341.6666666666667","341.6666666666667","341.66","333.3333333333333","300.0","320.0","340.0","320.8573352","341.6666666666667","307.14285714285717","307.14285714285717","358.3333333333333","392.85714285714283","375.0","400.0",""
"Bread unsliced 500g","313.093333333333","301.25","312.5","325.0","333.750829333333","346.666666666667","326.666666666667","325.0","350.0","350.0","325.0","320.0","350.0","325.0","333.3333333333333","340.0","350.0","330.0","316.6666666666667","316.666666666667","325.0","308.3333333333333","300.0","316.6666666666667","325.0","300.0","316.6666666666667","316.6666666666667","341.6666666666667","325.0","321.42857142857144","325.0","333.3333333333333","312.5","315.0","325.0","308.571428571429","325.0","325.0","325.0","341.6666666666667","355.0","335.0","366.6666666666667",""
"Broken Rice (Ofada)","371.23","376.56","390.0","393.333333333333","420.009583","430.0","425.0047915","433.23","433.26465840000003","430.55","450.55","450.0","454.1544","454.47230807999995","421.25","421.587","424.116522","455.862068965517","440.322580645161","438.5648","440.6748387096771","400.0","440.8602150537634","420.322580645161","420.5747741935481","448.8320355951057","439.290322580645","426.290322580645","433.7468637374859","430.09","415.03","415.27901799999995","405.36","450.0","483.5","490.5","437.5","426.315789473684","395.35752688172","395.35752688172","402.943548387097","443.75","491.33064516129","498.5",""
"Chicken Feet","784.66","700.11","742.385","750.0","786.307786","768.1538929999999","777.2308395","769.11","769.1484555000001","760.4","759.98","755.0","774.299124144","774.8411335309007","775.3835223243723","776.0038291422317","779.8838482879428","750.674236","735.0","737.1432","735.588","710.5234","705.0","695.0","695.4169999999999","695.9037918999999","700.37541","700.9357103279999","701.4263653252294","695.15","655.01","655.4685069999999","659.0","662.295","671.572431","671.8653291","672.351378","676.3854862679999","670.3","670.3","670.9032699999999","671.5070829429999","700.52148","705.4251303599999",""
