"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","343.665","413.33333333333303","420.0","495.0","499.0","514.0","450.0","470.0","470.0","450.666666666667","465.0","435.90909090909093","452.5","487.142857142857","487.142857142857","464.347826086957","498.181818181818","470.0","412.727272727273","437.5","475.38461538461536","452.5","457.272727272727","450.0","419.09090909090907","440.0","475.0","467.5","472.0","495.0","468.181818181818","472.5","461.538461538462","459.090909090909","457.5","455.6","450.364871","409.0","472.5","414.61538461538464","437.6","432.14285714285717","433.076923076923","430.7692307692308",""
"Agric eggs(medium size price of one)","40.36","38.66071428571425","37.77777777777778","42.5","43.333333333333336","47.0","40.55","65.25","65.29567499999999","41.785714285714285","41.5","40.7272727272727","38.46153846153846","38.0","38.0","39.285714285714285","35.6153846153846","35.5","35.6923076923077","36.92307692307692","40.0","38.46153846153846","40.416666666666664","45.76923076923077","39.23076923076923","42.0","45.75","42.5","45.0","39.23076923076923","38.0","40.83","42.30769230769231","40.3333333333333","39.81","39.17","38.5285341","38.0888888888889","40.1666666666667","41.42857142857143","42.1818181818182","44.166666666666664","46.1538461538462","41.15384615384615",""
"Beans brown,sold loose","321.0","233.8388333333325","298.8115007609695","310.4799303613959","311.623223363419","320.963374681322","316.29329902237055","378.943846153846","381.0848469266871","297.7825816872088","267.8","257.4487481459833","254.72849543371737","281.16162652800585","245.59428438738786","261.5742400718173","257.3891924711596","269.884638737098","285.657185696612","269.42805096334","295.72014805351","274.728495433717","295.05459753273897","310.892255892256","295.69834972112","280.827964519141","289.195250882437","312.934506353861","304.395555555556","303.97242735478","295.124914505629","259.84","266.54533844189","226.0266666666667","228.24","214.04","201.088601955896","171.04591836734696","200.83487940630803","202.799899446958","206.236131640474","218.7611213067603","229.301248923342","271.3352007469655",""
"Beans:white black eye. sold loose","233.82299999999998","207.6799999999995","257.8087560055951","315.22452768860813","316.772561489204","325.57305402133","321.172807755267","393.74222222222227","357.272185500501","273.56546960014276","250.22","249.0787564861639","260.1695780458278","267.37672764522625","275.09277702794225","247.54371946980083","277.87333256889497","248.4193463536211","255.556494879076","245.57749724627794","262.8664890524473","260.1695780458278","287.1446911374818","260.60059414898126","252.6339568085298","234.882154882155","245.64253565336557","282.82828282828285","290.0","284.94813823641","264.297126257911","234.62","237.080392836361","202.6866666666667","232.29","221.54","209.937804322831","163.67478182343174","158.17938745746233","166.27255463656408","188.35978835978835","201.0821458728096","209.27995799476827","226.843858755623",""
"Beef Bone in","971.1949999999999","987.89","984.9016325837518","997.619047619048","1108.18181818181","1118.0","1113.090909090905","984.2675","1100.0","1070.0","1092.0","1033.30944487819","1045.83333333333","935.0","897.5","916.3181031931032","916.2698412698412","909.1269841269841","895.2850877192983","920.0","907.1428571428571","982.5988366361037","926.388888888889","933.99122807018","907.583333333333","904.241486068111","1035.1851851851852","1095.71428571428","1100.0","1074.05437352245","1048.33333333333","998.8","1029.69409390046","1022.63","1133.92","1136.81","1085.20421607378","1040.87364876838","980.629465415022","925.7476076555023","929.202279202279","988.0341880341881","953.439153439154","962.63888888889",""
"Beef,boneless","954.49","925.371","1026.4970117601697","1346.2962962962965","1492.46576768012","1545.59613319011","1519.030950435115","1434.68666666666","1435.6909473333264","1404.08496732026","1392.11","1237.28275441862","1282.5988366361","1249.78354978355","1149.78354978355","1113.36441336441","1174.2266922718","1133.59589449815","1115.64014760609","1100.0","1182.14285714286","1195.83333333333","1137.5","1149.10714285714","1143.47442680776","1152.1367521367522","1139.487553","1150.85325467","1200.0","1145.83333333333","1121.85971464609","1145.45","1189.82123724229","1195.70222222222","1216.45","1198.84","1186.35802469136","1205.31746031746","1170.26053215078","1092.0238095238094","1110.7862248213125","1047.1801346801346","1101.81818181818","1151.8055555555557",""
"Bread sliced 500g","245.295","300.0","305.0","307.0","310.0","370.0","340.0","325.0","325.22749999999996","325.75","300.0","300.333333333333","310.0","323.333333333333","233.33333333333334","238.75","267.14285714285717","263.3333333333333","284.2857142857143","300.714285714286","292.85714285714283","280.0","312.22222222222223","284.2857142857143","261.42857142857144","282.0","281.5","275.0","285.7142857142857","275.0","290.0","270.0","265.0","280.0","270.0","278.95","268.75","260.0","285.7142857142857","294.44444444444446","268.3333333333333","285.7142857142857","266.666666666667","258.333333333333",""
"Bread unsliced 500g","234.12666666666667","243.75","245.0","255.0","258.0","270.0","264.0","285.0","285.1995","285.5","265.3","256.363636363636","265.0","289.090909090909","259.090909090909","250.666666666667","240.0","232.0","220.0","254.444444444444","254.44444444444446","235.0","253.84615384615384","256.25","246.25","260.0","262.22222222222223","260.0","260.0","266.6666666666667","265.55555555555554","256.25","253.75","275.0","256.88","260.48","270.0","237.0","290.0","285.0","262.727272727273","220.0","253.0","252.5",""
"Broken Rice (Ofada)","294.095","302.0","336.481452124287","435.2564102564102","458.867924528302","496.067042518725","477.46748352351347","352.38","352.62666599999994","350.45","350.45","342.152808765928","349.663315451851","381.872294372294","373.122294372294","343.6544117647059","366.868686868687","339.861680455453","358.888888888889","347.320261437908","339.646358543417","349.663315451851","361.945365484104","341.414141414141","305.686274509804","326.647058823529","328.41371674705","328.6764477204476","340.0","319.135802469136","327.777777777778","318.59","324.219317356572","325.683333333333","385.8","394.84","358.5810810810811","362.112112112112","334.7420185417269","334.142857142857","331.81240063593","321.67952265991477","329.72972972972974","330.736141370128",""
"Chicken Feet","503.1","550.12","526.61","650.0","655.22","662.61","658.915","650.0","650.52","655.52","650.25","650.0","660.0","650.0","600.0","550.0","510.0","508.0","533.333333333333","533.7066666666664","534.0802613333329","560.0","500.0","510.0","500.0","522.3900326666666","525.386547","525.8068562376","526.1749210369662","500.0","489.55","489.94163999999995","495.0","498.96","500.152768","504.153990144","501.352871","496.666666666667","500.5743606671134","489.35","459.31","450.0","443.0942","430.0",""
