"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","494.59","505.428571428571","500.0","524.166666666667","520.96","513.333333333333","550.769230769231","462.5","474.166666666667","490.88","500.75","463.333333333333","433.3333333333333","544.285714285714","564.285714285714","571.666666666667","575.833333333333","550.0","485.75","485.0","441.6666666666667","466.0","446.6666666666667","470.0","442.727272727273","452.0","432.72727272727275","500.0","480.833333333333","486.0","430.7142857142857","440.0","446.6666666666667","459.1666666666667","450.0","430.91","435.8333333333333","433.666666666667","427.5","434.545454545455","440.538461538462","425.0","420.153846153846","459.166666666667",""
"Agric eggs(medium size price of one)","49.730000000000004","43.7142857142857","42.6666666666667","46.36363636363637","45.833333333333336","45.45454545454545","48.0","45.0","45.833333333333336","44.166666666666664","44.305","40.76923076923077","40.0","42.857142857142854","42.8682528571429","42.5","43.333333333333336","43.2727272727273","41.81818181818182","42.5","40.45454545454545","42.5","41.0769230769231","42.72727272727273","40.0","42.22222222222222","39.0","45.9090909090909","43.333333333333336","40.0","35.4285714285714","38.273148","41.92307692307692","41.95","41.5","40.0","40.6358132","40.0","40.0","42.3636363636364","40.521739","45.333333333333336","42.30769230769231","43.75",""
"Beans brown,sold loose","402.3225","417.8571428571425","401.0582010582011","427.27272727272725","431.666666666667","450.833333333333","436.3247863247864","462.62545454545455","471.452991452991","461.1111111111111","457.765","457.063492063492","471.7171717171717","452.38095238095235","468.7179487179487","476.26262626262627","439.8989898989899","458.888888888889","439.351851851852","479.814814814815","461.7726098191214","474.949494949495","451.7777777777777","457.07070707070704","472.2222222222223","466.66666666666663","472.2222222222223","488.181818181818","474.82323232323233","431.48148148148147","426.9230769230769","395.37","397.296296296296","368.6925","405.74","415.04","405.6382931","390.116809116809","374.2156862745098","400.676767676768","403.62962962963","405.37128","406.5217391304348","405.323232323232",""
"Beans:white black eye. sold loose","418.763","384.52457142857054","406.7765567765568","403.2407407407407","405.0505050505051","409.5959595959596","423.0769230769231","445.8333333333333","444.9074074074074","438.333333333333","430.98555555556","430.0","444.9494949494949","424.7863247863248","410.79285714285714","431.7708333333333","454.6296296296296","407.88866930171275","400.494949494949","453.7037037037037","458.796296296296","458.989898989899","415.740740740741","457.4074074074074","458.66013071895424","468.88888888888886","458.66013071895424","461.919191919192","449.5366666666667","442.4287118977384","442.85714285714283","396.42","390.185185185185","357.835833333333","367.52","407.76","400.796296296296","383.981481481481","381.481481481481","392.222222222222","395.462962962963","398.510683760684","354.1062801932367","362.166666666667",""
"Beef Bone in","756.3325","1091.6666666666652","1007.96089204912","1008.023088023088","1298.16270893857","1241.46887595163","1225.39682539682","992.4254545454546","1028.5923141186302","1037.16564137616","1034.33333333333","1028.50827333586","990.299823633157","905.0786126416378","933.2722832722833","900.8012820512821","927.440697203543","1006.7934613001025","976.720903617455","983.5664335664336","939.1725842383736","946.554757878287","1069.9786324786326","917.4769187927081","986.25185383116","1053.3730158730161","1056.25185383116","1176.6865079365","1068.140807867959","1027.36539626245","974.737520243502","1012.07","983.908489171647","945.2524999999999","1011.3","1055.88","1101.67984062721","1044.54113006149","987.153521429837","1029.93243719151","1121.371743113316","1151.32653061224","1130.10681824635","1177.2310991580093",""
"Beef,boneless","1231.473","1539.561285714285","1426.67941220573","1451.608187134503","1461.52882205514","1424.62651727358","1473.46477052359","1365.5691666666664","1378.6247816511","1383.71891266628","1267.85714285714","1264.84783387039","1268.85205437837","1323.90066074277","1374.29884234396","1317.28279030911","1348.0367585630743","1306.0883362353952","1351.91573097199","1346.8253968254","1356.28968253968","1364.48412698413","1405.01443001443","1394.90079365079","1403.91723356009","1498.15276273023","1493.91723356009","1497.57936507937","1473.391648732445","1422.2619047619","1387.28937728938","1358.19","1322.42834088988","1371.86090909091","1380.77","1364.52","1393.05555555556","1359.00432900433","1329.30495430495","1401.40949952477","1428.920311714429","1430.94215931987","1423.24261784727","1475.37560478737",""
"Bread sliced 500g","334.765","342.8571428571425","341.6666666666667","308.3333333333333","352.5","333.3333333333333","342.3076923076923","325.0","330.833333333333","336.3636363636364","326.363636363636","321.666666666667","325.0","332.14285714285717","353.84615384615387","359.09090909090907","354.1666666666667","354.1666666666667","345.8333333333333","345.8333333333333","339.2857142857143","345.0","350.0","353.84615384615387","362.5","345.0","362.5","383.3333333333333","354.1666666666667","380.0","362.5","358.33","350.0","350.0","341.67","340.0","341.6666666666667","340.8333333333333","345.8333333333333","365.0","367.0","357.6923076923077","361.53846153846155","358.3333333333333",""
"Bread unsliced 500g","265.585","277.285714285714","294.1666666666667","300.8333333333333","307.27272727272725","327.5","302.3076923076923","244.16666666666666","265.0","280.7692307692308","280.969230769231","280.333333333333","285.8333333333333","303.57142857142856","323.57142857142856","323.3333333333333","319.1666666666667","319.15543","327.5","311.8181818181818","307.27272727272725","318.0","323.3333333333333","298.46153846153845","311.8181818181818","313.0","311.8181818181818","335.8333333333333","312.5","335.8333333333333","321.53846153846155","327.27","298.1818181818182","315.0","315.0","330.0","310.8333333333333","315.0","315.0","348.0","350.4163894","345.833333333333","348.46153846153845","345.8333333333333",""
"Broken Rice (Ofada)","323.385","360.0","373.3333333333333","380.0","400.0","410.0","420.25","360.0","360.0","370.0","370.58","370.0","360.0","340.0","360.0","360.0","350.0","350.17499999999995","370.58","320.0","320.0","320.0","325.0","320.0","320.0","326.532133333333","320.0","327.63487619","323.54175238083326","344.444444444444","300.0","311.11","294.0","320.0","321.43","322.4763129","360.0","360.0","360.0","410.0","420.0","430.638412","422.22222222222223","460.0",""
"Chicken Feet","1134.38","1000.0","1050.0","900.33","1091.6666666666667","1150.64935064935","1050.0","968.830909090909","982.407407407407","985.0","985.0","984.61538461538","941.66666666667","920.0","960.31746031746","964.44444444444","905.5952380952381","901.66666666667","906.66666666667","1079.1666666666667","859.5238095238095","841.706349206349","815.672963400236","708.33333333333","720.833333333333","709.1616766467066","707.38095238095","792.30769230769","732.4209136671699","681.81818181818","653.846153846154","698.8","677.569294131794","632.970833333333","656.0","653.98","679.761904761905","659.401709401709","693.859649122807","697.25974025974","700.2816459","712.33333333333","716.213768115942","712.34243697479",""
