"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","454.355","500.0","526.153846153846","564.5833333333334","541.923076923077","554.571428571429","564.6666666666666","537.4193548387096","520.0","542.2222222222222","545.28","536.6","452.5","620.0","642.0","600.344827586207","658.333333333333","648.333333333333","570.896551724138","555.5555555555555","512.5925925925926","557.1428571428571","561.5384615384615","550.0","551.172413793103","572.0","532.3529411764706","569.3333333333334","560.4","550.0","554.8387096774194","495.33","485.714285714286","501.545454545455","527.59","515.9","506.896551724138","461.724137931034","504.642857142857","544.2307692307693","546.857142857143","523.181818181818","530.210526315789","554.1666666666666",""
"Agric eggs(medium size price of one)","48.83166666666666","49.642857142857096","48.7692307692308","48.958333333333336","47.51923076923077","49.054054054054056","49.310344827586206","46.666666666666664","48.05555555555556","48.94736842105263","48.275862068965516","47.22222222222222","38.46153846153846","48.0","48.70967741935484","48.57142857142857","50.0","50.0","50.0","50.0","45.0","50.0","50.0","50.0","50.0121356","49.23076923076923","48.68421052631579","49.8275862068966","50.4166666666667","40.0","36.89","42.57","42.4615384615385","43.0","47.5","43.5271942","43.0","40.0","43.0","45.5714285714286","42.8314","44.5272727272727","45.7777777777778","48.84615384615385",""
"Beans brown,sold loose","420.925","426.18958333333296","425.772112396703","395.047450893842","398.301415366008","399.00964824300144","405.6324438413991","433.05068965517233","421.536796536797","417.142061516649","412.9425","409.881508867596","424.728495433717","402.13720477679874","415.49443532202156","417.45330677871425","407.3015330534128","423.23232323232327","419.1272727272727","422.9545454545455","433.21678321678326","428.666666666667","409.03446666666696","436.53846153846155","443.73040752351096","449.7835497835498","421.1229946524064","462.6959247648903","444.04791666666665","413.6363636363636","394.156877605154","352.48","346.263736263736","315.1424","316.19","319.09","302.518518518519","293.10344827586215","283.8509316770186","299.0683229813664","310.407177363699","328.130434782609","346.24060150375936","341.14285714285717",""
"Beans:white black eye. sold loose","389.658333333333","357.043571428571","341.3131313131313","351.887123742555","359.746571553193","379.0224854945667","407.60922700670704","423.4035714285714","413.7586736582012","405.437036615898","404.462592592593","405.669643700402","400.0","384.22413791532665","400.5975087342444","410.45359611149087","403.8229903115999","398.6666666666667","399.87012987012986","408.7294372294372","400.3496503496503","395.714285714286","386.06142857142885","406.48148148148147","406.6666666666667","415.0909090909091","396.875","412.186147186147","411.0108333333333","401.666666666667","391.280436734982","375.4","367.724867724868","326.3965217391305","352.65","324.35","300.452380952381","288.7686387686388","280.6523263970071","286.67328042328046","295.481398","297.597402597402","302.350041771094","337.3706004140787",""
"Beef Bone in","997.885","894.1195833333329","888.649415101028","1006.572508931436","1264.05466328543","1194.25228617536","1021.6959511077156","1068.478","1042.24637681159","1046.3507625272332","974.2792307692308","967.2227378374306","1045.83333333333","909.5620066208303","991.6104397546604","959.289313873221","1016.2560750796046","1047.8893654914373","939.1096596573915","1036.22588047722","984.797331049205","1000.0","920.6538","914.6074177538708","932.7331809832389","890.0950257472","875.345287400641","928.17080968636","906.58607595436","960.72840203274","1010.19841269841","982.96","1069.07407407407","1103.51357142857","1041.96","1055.15","1074.3927742374947","1083.59618875748","1105.5555555555554","1084.4444444444446","1090.909090909091","1115.5377302436125","1082.9059829059827","1122.701645598279",""
"Beef,boneless","1377.77","1296.4275","1270.86872586873","1329.75645975646","1405.743816906608","1381.42499424012","1397.6389489859318","1280.961","1234.9267691373","1322.18614718615","1387.43875","1351.11111111111","1382.5988366361","1389.9362366029","1436.0983377080802","1391.61751443001","1383.8226186052273","1405.20194292912","1315.1026641653893","1384.36203510763","1402.75375604787","1400.0","1435.2543","1400.6588999236058","1442.877536254851","1418.73417955771","1398.85904219238","1409.7951680672268","1392.71214285714","1372.3257418909595","1330.2961588675878","1367.3","1372.952211187505","1408.59363636364","1500.0","1523.82","1480.34632034632","1487.179487179487","1474.87089793591","1499.4919459625341","1506.1920323685","1510.32356532357","1519.68253968254","1515.2789320856548",""
"Bread sliced 500g","329.151666666667","353.125","366.6666666666667","340.90909090909093","353.3333333333333","350.0","356.6666666666667","366.6666666666667","346.42857142857144","342.85714285714283","340.666666666667","320.0","310.0","357.14285714285717","353.57142857142856","353.3333333333333","367.85714285714283","376.9230769230769","365.538461538462","357.6923076923077","353.57142857142856","353.74821428571425","355.0","350.0","355.538461538462","364.2857142857143","387.5","353.52941176470586","343.75","330.0","356.25","356.25","361.53846153846155","356.15384615384613","345.83","361.82","362.5","352.0","350.0","380.0","385.7142857142857","373.3333333333333","390.0","381.875",""
"Bread unsliced 500g","329.405","337.5","356.25","322.72727272727275","326.666666666667","328.333333333333","325.55","312.5","334.61538461538464","321.42857142857144","320.333333333333","312.857142857143","305.0","325.0","323.3333333333333","326.6666666666667","333.3333333333333","316.6666666666667","308.461538461538","315.38461538461536","336.6666666666667","336.835","308.571428571429","289.2857142857143","305.0","328.57142857142856","354.2857142857143","331.0","305.0","300.0","345.8333333333333","342.22","363.52941176470586","325.0","302.14","312.5","325.0","316.6666666666667","294.105263157895","316.6666666666667","324.0","327.857142857143","353.84615384615387","342.5",""
"Broken Rice (Ofada)","444.32","480.97","462.645","463.0","477.45","470.11","480.55","480.0","480.0384","485.0","485.5","481.55","449.663315451851","449.9331134411221","450.33805324321906","450.74335749113794","451.1039521771308","446.666666666667","430.0","390.37037037037","380.0","380.19","380.53217099999995","410.0","398.63865","398.99742478499996","400.275643","400.51580838579997","392.653862","395.12","396.23","396.546984","399.02","402.21216","510.6384129","513.7022433774","513.97213854","517.5699435097799","505.0","509.54499999999996","510.0035904999999","512.5536084524998","525.4162738","529.6196039904",""
"Chicken Feet","819.795","800.0","809.8975","800.0","800.0","820.34","850.0","833.54","820.0","875.0","870.55","865.99","860.0","850.0","700.0","700.0","725.0","700.0","750.0","800.0","800.0","725.0","750.0","800.0","800.74236","820.0","820.85643","850.0","822.8996975","800.0","750.0","753.3175894","700.0","750.593125","800.0","833.33","800.58493211","785.7524981","800.0","853.558321","855.473128","914.364279","958.0","1033.33333333333",""
"Chicken Wings","1102.465","962.5","992.4825","850.0","800.0","860.43","830.2149999999999","1100.12","1150.0","991.927710843373","990.0","990.0","975.0","1050.0","950.0","980.0","966.6666666666666","1000.0","1100.0","1142.857142857143","1066.6666666666667","950.0","966.6666666666666","1066.6666666666667","1100.0","1150.0","1083.3333333333333","950.0","1016.66666666667","1000.0","966.66666666667","1000.33","1066.66666666667","1100.0","1108.531274","1136.67","1200.0","1200.8463218","1270.0","1300.0","1333.33333333333","1400.0","1400.1425","1400.0",""
"Evaporated tinned milk carnation 170g","133.39","145.76","150.0","140.0","142.33","139.56","140.945","150.97","150.0","152.0","150.0","150.0","176.25","176.35575","176.51447017499999","176.67333319815748","176.814671864716","176.9384421350213","175.52","175.625312","176.8342","176.94030052","180.538461538462","180.02","180.037528","180.19956177519998","190.0","190.11399999999998","191.25468399999997","184.03","170.3","171.635892","180.0","181.44","170.0","171.02","170.0","171.18999999999997","170.0","171.18999999999997","171.29271399999996","172.14917756999995","173.153289","173.25718097339998",""
"Evaporated tinned milk(peak), 170g","176.99666666666667","173.0952380952375","200.0","203.33333333333334","205.769230769231","193.0","197.66666666666666","188.66666666666666","188.68176","192.94117647058823","193.2258064516129","192.5","194.615384615385","188.66666666666666","186.20689655172413","187.58620689655172","190.222222222222","191.33333333333334","189.31034482758622","187.03703703703704","190.3846153846154","186.07142857142858","186.23889285714284","188.5185185185185","190.758620689655","189.58333333333334","188.125","187.33333333333334","189.1304347826087","187.27272727272728","183.33333333333334","185.87","195.0","190.47619047619048","189.6","186.67","189.31034482758622","189.64285714285714","188.75","199.1304347826087","199.638154","200.782608695652","203.68421052631578","205.0",""
"Frozen chicken","1380.245","1483.3333333333298","1460.0","1480.0","1400.0","1445.4545454545455","1500.0","1516.6666666666667","1450.0","1466.6666666666667","1530.0","1526.66666666667","1525.0","1605.0","1625.0","1636.111111111111","1607.6923076923076","1697.91666666667","1705.0","1736.84210526316","1805.55555555556","1778.42105263158","1780.0","1812.5","1792.22222222222","1800.0","1784.61538461538","1747.05882352941","1780.9741075917525","1825.5","1895.0","1856.66","2033.15789473684","2071.875","1989.47","1973.53","1930.0","1878.33333333333","1906.66666666667","2003.07692307692","2065.66666666667","2093.33333333333","2116.66666666667","2140.0",""
"Gari white,sold loose","250.466666666667","243.278571428571","287.6371019871969","288.10156006847177","296.09443622172","314.882049594031","295.9720768859202","274.85482758620685","259.861010332231","216.71699496376152","194.55133333333333","187.468227404125","209.833858867365","174.0441388676683","170.05602240896357","164.93160054719561","170.41457193279055","171.02707749766577","168.30065359477123","166.9727150119307","165.81981320543414","156.969051037319","157.75389629250557","139.99307430679977","140.705759496781","145.21592669456444","141.83520298071386","149.6250112948405","149.1936","137.66233766233765","141.5200455182073","143.45","135.83433373349337","149.33434782608697","145.98","144.59","150.871148459384","162.8980327763289","167.04761904761904","173.133105093889","205.047619047619","255.055254616024","278.403361344538","290.8571428571428",""
