"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","357.2","434.0","434.2857142857143","524.166666666667","564.0","536.33333333333","498.0","453.3333333333333","453.0","449.5","450.5","456.428571428571","427.14285714285717","475.272727272727","475.913043478261","500.25","485.0","498.714285714286","432.857142857143","450.0","420.0","427.14285714285717","430.0","437.142857142857","460.0","438.0","440.6","461.818181818182","463.3333333333333","485.0","427.5","454.44","446.0","454.44444444444446","435.0","434.81","443.846153846154","410.0","450.0","447.692307692308","443.84615384615387","425.7142857142857","428.5","433.333333333333",""
"Agric eggs(medium size price of one)","47.8","48.0357142857142","48.2333333333333","44.6363636363636","48.6363636363636","45.75","42.5","40.0","41.02","39.09090909090909","39.2909090909091","39.3857142857143","38.44117647058823","37.916666666666664","37.38095238095238","37.916666666666664","36.81818181818182","39.285714285714285","37.857142857142854","38.5","39.375","38.44117647058823","37.9230769230769","37.857142857142854","40.0","38.6875","38.8363636363636","40.0909090909091","40.1831275","39.166666666666664","37.27272727272727","38.18","39.09090909090909","39.09090909090909","38.18","37.2","38.472819","38.22","41.0","40.0","39.61538461538461","39.0","39.29","40.2857142857143",""
"Beans brown,sold loose","215.47","220.584999999999","295.5764235764235","306.153846153846","300.740740740741","330.4684052199141","323.110066588327","351.94666666666666","384.6153846153846","355.0","323.0","317.472527472527","322.983367983368","343.2577546777547","325.23","289.601449275362","316.607142857143","295.185185185185","278.712038717483","250.1930501930502","294.0","298.983367983368","310.1307488807488","304.047619047619","278.571428571429","280.0","281.0317460317461","292.424242424242","281.90333333333336","279.62962962963","255.30503978779842","239.5","287.369420702754","251.903333333333","258.57","266.9","248.039368039368","225.0","187.45678789157","196.333333333333","192.3076923076923","153.33333333333334","161.03","169.259259259259",""
"Beans:white black eye. sold loose","213.68124999999998","219.092678571428","240.43590600885656","275.9673508415646","261.41459386417097","294.8542221943046","293.735638658452","309.02875","300.2406122179707","297.697534840709","290.54","277.15237941653","295.802901719175","301.985616526497","277.59082750264","289.601571268238","295.263157894737","283.740573152338","299.2113407207748","294.645550527903","319.8039215686275","279.802901719175","324.3973263204032","300.211340720775","264.840740740741","271.269843717964","268.154393475148","274.494387513255","280.0","275.712706813336","237.51124896939","202.79","241.386046771982","222.247","224.04","238.35","237.926661553188","224.557419054274","212.396571789284","218.462076009246","214.800545029563","190.735928940238","191.09274183970186","202.938609358122",""
"Beef Bone in","995.365","993.035999999995","896.110697941629","1026.2820512820513","1113.10418904404","1041.5364486815604","1077.3203188628001","996.153846153846","969.6428571428571","948.1481481481483","1000.0","1025.0","916.6666666666666","902.5","958.2516339869281","872.222222222222","900.0","887.5","900.0","1000.0","985.0","916.6666666666666","966.6666666666666","1009.88304093567","953.508771929825","1000.0","1002.876594","950.0","942.857142857143","897.428571428571","853.333333333333","900.0","994.5575488812739","983.333333333333","941.96","935.23","925.6428965","946.536796536797","944.4444444444445","950.0","945.0","925.0","928.897322369808","935.555555555556",""
"Beef,boneless","920.19","1191.6666666666652","984.0921629810522","1195.8333333333333","1239.50702426564","1284.4190292466155","1261.9630267561279","1112.5","1210.0","1164.2857142857142","1066.6666666666667","1063.33333333333","1109.18803418803","1181.8181818181818","1215.0","1170.9090909090908","1190.0","1121.4285714285713","1184.61538461538","1148.18181818182","1200.0","1209.1880341880342","1230.0","1284.61538461538","1220.0","1188.888888888889","1180.0","1176.0","1201.5842387","1173.0","1150.0","1108.33","1212.5","1215.7","1211.43","1194.91","1203.84615384615","1216.19047619048","1185.7142857142858","1214.2857142857142","1202.30769230769","1242.857142857143","1246.81818181818","1247.14285714286",""
"Bread sliced 500g","283.99","278.333333333333","280.8333333333333","275.0","287.5","284.61538461538464","286.0576923076923","243.75","302.22222222222223","295.0","270.0","256.666666666667","280.0","278.75","253.07692307692307","291.6666666666667","300.0","298.888888888889","292.0","296.666666666667","285.714285714286","270.0","254.54545454545453","230.0","238.88888888888889","230.0","231.25","226.5387562","230.0","225.555555555556","227.5","268.75","243.333333333333","270.0","278.18","274.5","271.111111111111","267.777777777778","238.333333333333","238.57142857142858","217.77777777777777","250.0","250.3","252.222222222222",""
"Bread unsliced 500g","282.497677411172","261.666666666667","268.461538461538","260.909090909091","293.0","266.9230769230769","279.96153846153845","290.909090909091","295.0","295.0","268.0","250.0","253.571428571429","254.0","257.0","250.0","267.777777777778","257.272727272727","268.888888888889","270.0","251.0","243.571428571429","241.66666666666666","233.33333333333334","210.0","202.0","214.54545454545453","214.67418181818178","225.55555555555554","225.454545454545","202.3","242.0","216.0","238.75","244.62","242.17","240.0","251.538461538462","262.5","226.0","217.5","214.615384615385","217.7","225.0",""
"Broken Rice (Ofada)","285.6","274.32375","284.7016967706623","291.63197203241697","330.727762803234","395.3341905035486","363.0309766533913","288.21400000000006","307.619047619048","298.088669950739","298.789886699507","297.35632183908","301.20928015255","323.464696223317","329.102971555697","341.176470588235","321.455938697318","305.1724137931035","350.0","341.379310344828","343.08620689655214","321.20928015255","335.557644110276","333.3333333333333","306.666666666667","317.35632183908","308.66168977367","302.172413793103","296.991666666667","299.453726744875","254.064039408867","288.79","315.106732348112","327.991666666667","379.38","377.39","389.28671328671334","380.0","345.0","357.701149425287","349.94708994709","381.0960591133","386.8253968253968","379.5566502463054",""
"Chicken Feet","255.3","280.555","300.0","350.0","350.0","350.0","350.0","405.555","405.7577775","405.7577775","405.7577775","404.285714285714","350.0","400.0","400.0","350.0","375.0","350.0","375.0","380.0","381.9","350.0","385.0","300.0","300.62852","305.816065","312.795325","312.95172266249995","313.1394936960974","302.3","300.0","326.0","330.21","333.18188999999995","400.0","400.583126","402.375124","400.15","390.0","350.0","346.02","350.0","351.44","360.25",""
