"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","564.82","565.208333333333","562.5","536.3636363636364","560.55","556.666666666667","560.769230769231","543.23076923077","552.666666666667","542.55","468.0","494.285714285714","437.6923076923077","587.857142857143","584.615384615385","650.0","648.666666666667","605.0","560.0","530.0","502.85714285714283","519.2857142857143","528.125","523.3333333333334","526.25","525.2941176470588","556.25","530.52","510.769230769231","503.333333333333","474.0","481.25","445.0","446.875","430.0","430.584231","433.333333333333","430.142857142857","441.428571428571","538.125","545.3746218","545.25","537.5","539.135802469136",""
"Agric eggs(medium size price of one)","50.855","47.125","47.6666666666667","46.25","47.857142857142854","47.333333333333336","50.0","48.57142857142857","49.1875","48.0","40.0","45.2307692307692","40.0","47.857142857142854","46.92307692307692","50.0","49.333333333333336","46.206896551724135","48.18181818181818","48.1333333333333","44.23076923076923","48.666666666666664","48.75","48.0","48.753876","49.44444444444444","40.0","46.3333333333333","45.8666666666667","40.0","31.875","40.88","40.75","40.8","40.33","40.2645317","40.857314","40.0","40.0","44.75","45.8735138","46.6666666666667","45.015324","45.1538461538462",""
"Beans brown,sold loose","402.905","408.7972619047615","420.4377235350686","405.87606837606836","418.946886446886","401.980056980057","397.165991902834","403.33500000000004","416.776315789474","413.43769680611786","388.147777777778","371.041890440387","401.346153846154","454.32124266710736","474.78444632290785","418.19727891156464","445.9899749373434","420.109694526171","447.3828802776171","430.3550565493885","430.2807017543859","433.213032581454","448.0","433.8157894736842","425.465587044534","409.0359277125783","415.465587044534","432.085020242915","420.5130305111403","440.8906882591093","440.5263157894737","394.29","394.539473684211","362.34","400.05","405.56","400.111239637555","421.0429920956237","455.87044534412956","455.92105263157896","463.119453645769","467.0939133132263","440.37987095141705","420.5883408217072",""
"Beans:white black eye. sold loose","378.71875","341.018055555555","407.49511059245566","380.7692307692308","381.4595660749507","380.8262108262108","369.92673992673997","402.631333333333","399.208923751687","388.5299145299145","377.787","372.339743589744","384.115384615385","426.7098033545402","441.66173570019726","405.0","412.32456140350877","405.118577075099","418.95604395604397","406.23274161735696","410.7692307692308","413.529411764706","421.666666666667","417.85714285714283","400.571428571429","414.11764705882354","408.571428571429","409.073380566802","397.5","411.025641025641","403.1929824561404","395.96","394.851551956815","351.762666666667","357.54","358.83","354.73636013109706","378.0522735409954","405.2776420924771","410.85526315789474","415.5661881977672","416.583333333333","401.1232006297796","406.20900406447487",""
"Beef Bone in","1065.1383333333333","1180.325999999995","1037.9629629629628","1070.7070707070707","1229.76618897672","1267.22052853882","1443.3862433862435","1390.4281818181819","1251.81797760021","1271.32886437234","1290.75636363636","1288.33668871633","1223.07487833804","1250.46296296296","1259.30870886366","1240.5916752666","1203.52067952687","1241.08796296296","1239.592792562","1279.18822755927","1137.53142282554","1093.75217542638","1082.09820680409","1036.08174452577","1040.37679587964","1050.06400409626","1140.3767958796423","1178.31530461647","1198.43","1222.99547384936","1255.69092421915","1220.93","1236.31120425585","1195.52615384615","1206.55","1234.11","1273.082473082473","1276.67503436734","1218.99402185116","1309.96241853385","1351.87416419559","1352.13897213897","1320.43558293558","1291.1632616895774",""
"Beef,boneless","1382.28166666667","1696.42971428571","1556.20434179941","1487.3219373219372","1495.94890892668","1544.3110564335154","1675.69833899637","1478.5069230769232","1481.36294205909","1540.5178081570655","1405.0","1360.32891436269","1409.04857669564","1480.05388521888","1520.8699714667887","1535.90964590965","1493.18043068043","1463.35204999679","1431.88339438339","1455.68542568543","1482.2788322788324","1434.30708180708","1353.1337181337183","1395.47773654917","1407.92915730886","1361.4924757781903","1317.92915730886","1360.1079476079478","1339.035","1375.77380952381","1396.95165945166","1385.29","1352.59353741497","1398.53384615385","1415.02","1404.21","1431.707968145215","1447.58348863612","1487.38721804511","1507.74410774411","1534.7138047138","1537.1733205066537","1546.13975767822","1553.45033846872",""
"Bread sliced 500g","374.84833333333336","329.1666666666665","350.0","300.0","350.0","410.0","417.5","450.0","396.42857142857144","387.142857142857","386.3636363636364","364.285714285714","400.909090909091","438.46153846153845","420.0","435.7142857142857","410.8333333333333","398.444444444444","407.5","414.545454545455","408.333333333333","407.272727272727","440.0","421.4357142857143","420.846153846154","425.0","453.84615384615387","438.46153846153845","454.1666666666667","450.0","426.6666666666667","434.61","434.61538461538464","404.1666666666667","441.67","427.27","429.1666666666667","431.8181818181818","400.0","446.15384615384613","448.363636363636","450.0","462.5","463.6363636363636",""
"Bread unsliced 500g","363.4766666666667","327.222222222222","335.0","345.8333333333333","353.846153846154","340.0","350.769230769231","439.2857142857143","408.75","406.714285714286","406.714285714286","405.384615384615","405.0","425.0","436.3636363636364","439.2857142857143","445.8333333333333","427.142857142857","412.5","413.6363636363636","422.72727272727275","428.461538461538","460.0","419.2307692307692","411.53846153846155","416.428571428571","411.53846153846155","426.9230769230769","440.90909090909093","425.0","423.52941176470586","436.66","400.0","412.5","441.67","398.45","400.0","400.0","409.09090909090907","425.0","426.9230769230769","428.125","457.14285714285717","426.9230769230769",""
"Broken Rice (Ofada)","351.11","397.22","448.148148148148","452.5","455.0","450.0","405.7142857142857","437.5","422.5","420.0","420.0","425.0","440.0","454.7368421052632","473.8095238095238","433.3333333333333","418.333333333333","424.7186147186147","415.9090909090909","425.208333333333","435.0","438.0","475.0","505.0","480.0","470.32608695652175","450.0","473.8095238095238","421.853333333333","411.11111111111114","405.0","418.0","421.3250517598344","429.9275","475.0","500.0","475.23809523809524","472.698412698413","484.1269841269841","505.238095238095","513.485218","519.047619047619","560.0","566.666666666667",""
"Chicken Feet","1060.0725","1003.1773214285711","1055.6011240221765","984.886458570669","960.78604224059","980.0","970.393021120295","1006.16818181818","909.259259259259","910.0","915.100909090909","915.16152946967","959.20897284534","933.21196599516","922.16672216672","942.73142190433","992.99083775828","931.81818181818","947.63558201058","960.9126984127","896.464646464647","867.95334295334","875.02494331066","846.2148962149","847.5864232386","831.74603174603","907.5864232386","1018.4371184371186","1098.1236363636365","1075.07936507937","1039.34953934954","1089.73","1092.32711732711","1134.199090909091","1236.99","1224.93","1228.71401781176","1233.79953379953","1224.9417249417252","1280.98055790363","1299.38752205959","1259.89010989011","1259.2429792429791","1257.71173271173",""
