"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Jan 1900","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","516.28","515.0","532.5","520.0","543.0","521.666666666667","530.33","508.57142857142856","510.0","503.57142857142856","500.636363636364","512.55","432.5","572.0","550.473684210526","570.0","595.0","587.857142857143","488.8888888888889","489.2307692307692","498.0","508.8888888888889","500.0","498.88888888888","500.55555555555554","518.571428571429","515.769230769231","519.166666666667","519.4781666666669","502.22222222222223","460.0","485.45","473.0769230769231","470.444","488.0","475.38461538461536","475.40173829","471.03","444.61538461538464","433.75","439.0","451.428571428571","452.55","450.52",""
"Agric eggs(medium size price of one)","47.78","43.54166666666665","45.0","44.285714285714285","46.36363636363637","45.0","48.57142857142857","44.705882352941174","45.0","44.11764705882353","42.21","46.73913043478261","40.0","45.333333333333336","44.21052631578947","44.285714285714285","45.0","44.90196078431372","45.45454545454545","46.25","44.411764705882355","46.36363636363637","46.1428571428571","45.45454545454545","45.0","45.714285714285715","45.333333333333336","45.4166666666667","45.443916666666695","40.0","40.0","42.85","46.15384615384615","45.136874","42.0","40.0","40.1047295","40.0","40.0","41.92","42.0909090909091","45.333333333333336","45.9294117647058","44.6666666666667",""
"Beans brown,sold loose","347.43499999999995","340.67791666666653","344.603174603175","351.37046861184797","350.0","350.0","366.3872241553401","417.221","426.64596273291926","398.78442545109215","396.042857142857","387.306778031416","427.4376417233561","413.500203500203","383.88712522045864","351.37046861184797","396.645962732919","411.8050234142188","412.18449505406","417.726982560816","436.496466496466","395.27000032747156","369.3748499028","376.18449505406","354.740740740741","380.222130997993","380.4232804232804","350.1851851851852","344.79999999999995","353.7769637769638","345.89285714285717","305.48","329.775450295633","333.7677777777778","337.9166666666667","330.4257224257224","314.1851851851852","301.4258368945869","285.7903654455379","291.493420160087","294.241835187109","288.6678124419375","295.026598070884","300.48273948274",""
"Beans:white black eye. sold loose","306.0775","287.03999999999996","288.7937195080052","307.42736270753517","314.28571428571","320.612114577632","321.791651182955","356.18235294117653","365.61436416508883","353.5923771217889","353.5923771217889","349.686290672537","358.830567580568","327.77642110975444","352.14159737969266","302.566251596424","365.61436416508883","354.0549169859515","358.0587045804437","355.58757895506193","367.46551378904326","346.3081873426701","328.305135484382","308.058704580444","300.835377585378","326.851360644464","320.1017501017501","315.1747358643911","326.7742857142857","305.2765059015059","305.47912992357436","297.09","309.636541095625","310.335833333333","282.08333333333337","283.18944671885845","241.35048717424192","224.641309004786","232.30545699511225","241.261701261701","258.33568363774475","269.83926831874595","285.143776274012","290.218364756185",""
"Beef Bone in","1026.0166666666667","1086.14166666666","1125.0","1086.73469387755","1113.43","1080.15873015873","1266.4049919484703","1139.31866666666","1140.0022578666599","1138.3928571428573","1023.6125000000001","1044.44444444444","925.925925925926","1031.81818181818","1147.79750164366","1048.7995198079232","1000.0","1068.3127478582023","1033.3333333333333","1150.0","1000.0","1076.532","985.38461538462","1000.0","1091.41414141414","1103.33333333333","1107.61904761905","1200.91228070175","1235.2933333333333","1244.9404761904761","1243.33333333333","1198.0","1170.0","1189.16625","1094.62962962963","1100.8762541806","1097.91874791874","1048.58608058608","1096.39855942377","1085.0094732853354","1094.89795918367","1157.12962962963","1105.144","1106.158",""
"Beef,boneless","1381.024375","1437.5","1425.0","1311.6666666666667","1325.98","1334.87179487179","1370.7729468599034","1253.3566666666666","1278.48484848485","1319.13043478261","1240.4714285714285","1285.9017236943657","1361.90476190476","1360.4347826086955","1321.7391304347825","1380.0","1281.8181818181818","1304.12439687293","1328.57142857143","1319.2307692307693","1260.0","1300.0","1280.0","1276.80555555556","1286.61680911681","1380.0","1400.735422","1450.32051282051","1452.5725","1374.44444444444","1381.48148148148","1344.44","1302.5974025974","1328.12181818182","1332.6530612244899","1314.3793412941","1318.080993080993","1264.1244745592571","1240.4090859713592","1234.26501035197","1239.53991258339","1251.11111111111","1288.88888888889","1300.80676328502",""
"Bread sliced 500g","307.105","351.428571428571","325.555555555556","300.0","343.75","380.0","363.333333333333","318.75","313.333333333333","322.72727272727275","315.0","311.428571428571","310.0","315.0","320.45454545454544","308.333333333333","300.0","295.23809523809524","305.0","313.6363636363636","318.75","305.0","322.22222222222223","305.0","320.0","324.2857142857143","314.2857142857143","325.0","325.0","325.0","357.14285714285717","335.71","330.0","310.0","350.0","330.0","331.181818181818","326.9230769230769","322.22222222222223","316.25","310.0","333.3333333333333","327.77777777777777","307.5",""
"Bread unsliced 500g","265.71","272.22222222222194","257.5","259.727272727273","280.0","275.0","290.7692307692308","314.2857142857143","300.0","304.1666666666667","273.0769230769231","273.52941176470586","281.818181818182","302.72727272727275","309.09090909090907","292.727272727273","299.090909090909","288.928571428571","290.0","283.3333333333333","300.0","290.0","300.25","290.0","285.7142857142857","287.0","279.090909090909","264.2857142857143","265.472666665397","255.0","250.0","268.18","304.285714285714","348.75","378.571428571429","360.0","360.21467909091","313.6363636363636","294.44444444444446","307.14285714285717","300.0","280.0","265.0","270.3",""
"Broken Rice (Ofada)","300.0","310.43","400.0","416.6666666666667","480.0","490.0","485.0","450.88","451.15052799999995","371.428571428571","371.428571428571","370.0","376.769230769231","377.0329692307694","366.666666666667","366.6666666666667","350.0","358.666666666667","233.33333333333334","233.33333333333334","259.796656732601","250.47619047619","301.333333333333","333.333333333333","316.666666666667","323.333333333333","331.58432","323.333333333333","323.4949999999996","293.333333333333","283.333333333333","298.56","309.569892473118","358.33","333.333333333333","353.435013262599","354.26417983","366.666666666667","326.666666666667","335.161290322581","342.58064516129","333.3333333333333","333.3333333333333","334.12",""
"Chicken Feet","859.155","1100.0","850.0","800.0","1000.0","1000.0","990.0","975.0","975.5849999999999","980.0","986.5","975.0","975.6532","976.4337225599999","850.0","825.0","908.0","950.0","1000.0","1000.0","1100.0","950.57321","945.85764","800.0","810.631895","816.76568625","805.21654","820.13246578","820.7065585060459","789.25","750.0","800.0","760.0","812.335","850.0","850.0","848.648291","795.0","800.0","711.03","689.15","750.0","700.145","667.01",""
