"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","326.16","379.1666666666665","454.230769230769","460.615384615385","452.0","458.333333333333","432.692307692308","526.153846153846","526.55","435.0","480.55","449.09090909090907","441.53846153846155","480.0","485.0","520.0","486.833333333333","480.909090909091","425.454545454545","426.6666666666667","485.333333333333","460.7692307692308","485.0","452.14285714285717","433.846153846154","424.285714285714","448.0","455.0","462.956666666667","485.0","450.0","460.0","454.0","450.0","424.0","425.5","416.923076923077","390.3","412.0","412.0","431.02","413.3333333333333","413.384","415.238095238095",""
"Agric eggs(medium size price of one)","38.0","39.7380952380952","41.785714285714285","38.57142857142857","37.5","39.61538461538461","38.57142857142857","40.0","42.0","37.5","42.25","40.8181818181818","38.333333333333336","37.083333333333336","35.833333333333336","38.333333333333336","37.72727272727273","37.5","36.92307692307692","37.77777777777778","40.55555555555556","39.166666666666664","43.333333333333336","42.69230769230769","39.166666666666664","40.6923076923077","42.5","43.25","44.2","37.5","38.25","40.5","40.833333333333336","40.015243","37.14","38.57","37.385296","36.48","37.0","37.0","37.239","36.25","38.2222222222222","39.0769230769231",""
"Beans brown,sold loose","375.87","245.128125","246.7037098240106","308.034991774488","309.204481792717","345.71683673469386","357.572517476592","412.45","410.6500733348024","385.32","377.781","375.810793371527","386.021726218907","389.136578545437","374.868147842836","380.704365079365","363.967363667324","389.573934125609","383.06397306397315","351.520275772004","384.222911951144","361.0217262189071","377.0117306181732","302.767971990661","289.182903930803","285.518391483436","284.70879825368985","281.94653286124","293.2","259.821237291383","257.224416286778","254.56","281.654292060421","235.8308333333333","245.46","262.39","223.904605830602","202.371593138534","157.0454926976666","157.0454926976666","165.23","195.47619047619048","194.7071050642479","195.848604540889",""
"Beans:white black eye. sold loose","359.4","267.39875","271.95488604488287","317.83523665876606","319.134755713974","349.2623299319728","347.835236658766","367.292666666667","370.591322561766","352.58","352.58","351.890614831791","367.331901014374","363.271942110177","323.06443284384454","317.915758896151","300.795503258786","287.016146704021","276.618135376756","309.291293338175","361.2391304209084","317.331901014374","336.506899055919","307.73502419650265","281.346135307614","297.8391908631693","271.380659936444","261.3806599364439","270.0","231.760478530548","203.54","213.65","232.39937527889333","210.4","224.34","256.8","201.128246753247","198.900504717341","163.48342835952346","163.48342835952346","169.21568627451","206.66666666666669","205.7546544933763","209.065443331422",""
"Beef Bone in","900.08","961.8691666666665","986.8683994182","966.6666666666666","1008.1818181818181","1022.7272727272727","1015.4545454545455","1157.69230769231","1020.0","1100.65","1070.41","1070.37037037037","1020.0","929.937313089487","986.5431472970575","1008.3333333333333","910.0","900.0","1030.0","1193.75","995.0","1020.0","898.538461538462","963.47117794486","895.714285714286","925.7287157287157","919.75","893.75","893.75","893.75","948.75","925.0","945.3846153846152","1000.0","1053.57","1069.24","998.952380952381","973.417508417508","923.116037042667","923.116037042667","927.5914423740511","1013.33333333333","1015.60496270285","999.558551414222",""
"Beef,boneless","1056.99","1011.9308333333295","1025.24926686217","1213.5714285714287","1234.98430141287","1203.5714285714287","1175.0","1137.142857142857","1138.4615384615386","1140.0326797385621","1193.33333333333","1140.1515151515152","1095.8333333333333","1137.5","1149.4791666666667","1154.5454545454545","1153.6363636363637","1162.5","1133.3333333333333","1154.5454545454545","1140.909090909091","1195.83333333333","1095.8333333333333","1153.8461538461538","1146.1538461538462","1150.76923076923","1132.54273504274","1120.8333333333333","1125.83333333333","1093.9102564102564","1098.94444444444","1058.33","1108.33333333333","1165.0","1177.62","1186.47","1173.8095238095239","1207.69230769231","1185.05494505494","1185.05494505494","1166.6666666666667","1150.0","1200.0","1200.70634920635",""
"Bread sliced 500g","346.81","354.33333333333303","350.0","320.0","350.714285714286","350.846153846154","343.636363636364","298.57142857142856","337.5","350.25","328.5","320.0","325.0","312.22222222222223","290.95238095238096","283.3333333333333","279.1666666666667","292.5","240.9090909090909","300.0","300.0","280.0","300.166666666667","298.461538461538","282.3076923076923","289.230769230769","282.833333333333","262.5","262.5","262.5","262.5","280.0","280.0","294.11764705882354","305.0","302.33","300.666666666667","303.84615384615387","344.44444444444446","344.44444444444446","371.42857142857144","325.0","287.142857142857","272.857142857143",""
"Bread unsliced 500g","340.0","345.0","325.384615384615","320.714285714286","323.333333333333","355.0","334.285714285714","294.666666666667","293.0","295.384615384615","284.0","272.0","288.333333333333","253.84615384615384","239.16666666666666","257.6923076923077","235.0","220.0","212.5","244.6153846153846","274.61538461538464","248.33333333333334","263.6363636363636","232.14285714285714","222.857142857143","225.0","225.0","214.16666666666666","215.0","214.16666666666666","214.16666666666666","250.23","243.84615384615384","243.5","247.86","242.38","240.9090909090909","238.46153846153845","270.0","270.0","250.0","250.0","250.899","244.666666666667",""
"Broken Rice (Ofada)","319.28","313.40166666666653","328.546757934072","353.176964149504","374.093567251462","375.016797950436","380.203991176531","417.7025","417.91135124999994","375.528495150921","375.528495150921","370.526315789474","369.898824172819","361.945365484104","372.241218324105","342.689549961861","317.360160695138","308.413424866514","313.782991202346","296.2803428007358","296.2803428007358","269.8988241728192","288.4134248665141","300.5","282.2869674185464","297.298409066144","272.3997493734336","272.4601358468636","272.46","272.4601358468636","272.4601358468636","289.0","289.8448211120135","280.69999999999993","298.73","294.58","295.777117619223","282.1028016201721","326.0808270676692","326.0808270676692","316.125313283208","375.5988675958188","393.297018055342","396.65454845906",""
"Chicken Feet","299.8","305.0","320.45","400.0","435.99","440.0","437.995","500.0","500.25","500.0","528.0","525.0","533.333333333333","500.0","530.0","526.666666666667","500.0","450.0","435.0","420.5426","450.0","435.333333333333","450.6487","455.28","470.947539","465.969021541667","475.0","478.0","465.0","475.0","450.0","500.0","475.0","477.37499999999994","480.27518931","500.162489","500.56261899119994","488.269230769231","500.0","500.0","498.21","497.38655792681817","465.25","459.3",""
