"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","591.685","494.888888888888","550.0","527.222222222222","537.368421052632","531.5","568.947368421053","452.77777777777777","462.0","450.553","452.0","518.125","448.8","560.952380952381","574.583333333333","600.0","595.869565217391","580.0","525.65","515.8653","491.0","497.727272727273","466.3636363636364","470.4761904761905","462.8","459.5238095238095","452.8","500.0","485.238095238095","495.0","472.5","464.5","462.173913043478","459.4736842105263","420.0","438.82","439.756564","424.166666666667","466.53846153846155","508.842105263158","513.257418","520.648321","510.238095238095","539.5",""
"Agric eggs(medium size price of one)","52.894999999999996","49.9444444444444","49.625","47.5","47.22222222222222","46.05263157894737","50.0","45.0","45.78947368421053","42.77777777777778","42.5","45.88235294117647","40.2","45.25","46.81818181818182","45.714285714285715","47.17391304347826","45.21739130434783","46.2","47.857142857142854","44.72222222222222","45.1428571428571","45.0181818181818","46.19047619047619","45.0","45.0952380952381","45.0","46.2","45.6363636363636","40.0","31.25","39.75","39.3181818181818","39.73684210526316","47.8","49.71","49.765","40.8","39.80769230769231","43.0952380952381","43.8260869565217","45.0909090909091","42.6363636363636","45.746213",""
"Beans brown,sold loose","396.985","403.2025","401.38888888888886","412.58402323892517","415.62091503268","418.11516785398754","485.555555555556","430.0823529411763","438.59649122807014","428.0701754385965","413.878","411.372549019608","412.84848484848504","425.3968253968254","448.2224202812438","440.59644059644063","429.26844435116845","457.17527239266354","439.1111111111111","440.21164021164014","414.61988304093563","422.0915032679738","434.3434343434344","423.2804232804233","412.69841269841265","432.09876543209873","412.69841269841265","420.3703703703704","410.09818181818173","412.5490196078432","405.29391475732933","385.38","397.858585858586","356.668","362.02","344.44","348.0662078007212","362.00404040404044","348.7179487179487","347.57890895821936","349.222222222222","344.183006535948","377.7777777777778","357.26495726495733",""
"Beans:white black eye. sold loose","275.509","350.402","352.7777777777779","375.4103122730574","378.421052631579","365.64581388110804","395.7671957671958","382.62944444444446","388.7878787878788","397.77777777777777","397.77777777777777","371.24183006535947","370.10101010101016","367.6767676767677","398.19444444444457","375.41048409645293","390.3381642512078","398.024326101249","379.520697167756","383.0687830687831","363.16321105794793","370.707070707071","371.308530438965","369.59064327485385","374.07407407407413","379.081854964208","374.07407407407413","388.326797385621","349.20714285714286","351.6908212560387","326.06837606837615","297.36","298.49494949495","336.66600000000005","284.48","269.44","279.0824915824917","285.811764705882","246.15384615384625","257.61047156584686","258.300897170462","248.383838383838","255.37730243612603","260.070546737213",""
"Beef Bone in","994.7040000000001","1099.22708333333","983.587864568257","1025.717668342778","1253.90286796536","1255.9324367264","1254.91765234588","1004.75611111111","1001.29298149289","1010.68506569025","984.561666666667","973.6964764538294","1072.512824348624","1015.421027950734","1176.28217085983","1056.7883066379663","1016.7233977384352","981.7674940144575","1062.633979782362","1023.743250923558","955.1235320757164","1079.3870073281837","1181.4648861420737","1065.0723313710344","1002.6036425249","1076.23888054956","1102.6036425249","1159.64279643706","1039.8565000000003","1005.00602033783","1010.17187204209","1031.25","1035.5992598552104","1045.50529411765","1442.92","1446.67","1447.30326267946","1390.35143997719","1357.21547878411","1403.85171187029","1472.5148337892886","1426.07740306881","1396.13378684807","1344.65860418241",""
"Beef,boneless","1125.45125","1511.378","1417.50292846038","1460.04350547637","1481.84621576986","1523.99265571252","1502.91943574119","1481.73111111111","1481.86446691111","1436.20175604202","1403.08071428571","1372.16113532994","1306.7596090660634","1356.25359942409","1401.32079848991","1410.41381973132","1410.5954975537","1428.34405177359","1433.72897697091","1421.20749416194","1467.28435672515","1381.7361930998293","1395.88220189724","1372.58900340584","1399.32076568232","1373.85374266953","1399.32076568232","1411.42166478322","1395.9792347043474","1324.91373360939","1351.60847672799","1358.49","1338.7390848609","1344.9483333333333","1264.53","1258.05","1196.0221734892787","1225.25873507298","1271.34684537431","1282.99916457811","1306.22351332878","1383.86216218052","1403.58395989975","1440.6416752281416",""
"Bread sliced 500g","399.23","323.611111111111","343.75","318.75","347.22222222222223","388.947368421053","352.3809523809524","347.22222222222223","355.0","359.5238095238095","342.857142857143","334.375","350.0","335.0","352.27272727272725","345.0","345.23809523809524","342.5","338.6363636363636","333.3333333333333","342.10526315789474","332.5","347.82608695652175","340.0","350.0","347.5","350.0","365.2173913043478","362.5","369.04761904761904","366.0","340.0","352.27272727272725","355.55555555555554","358.7","356.25","361.53846153846155","350.9259259259259","360.8695652173913","362.5","387.5","362.777777777778","349.09090909090907","350.0",""
"Bread unsliced 500g","279.55","321.0","329.375","296.875","302.77777777777777","304.2105263157895","319.04761904761904","336.1111111111111","322.5","330.95238095238096","320.0","314.375","308.0","305.0","309.09090909090907","309.5238095238095","295.23809523809524","301.818181818182","298.1818181818182","300.0","304.2105263157895","295.0","306.8181818181818","297.72727272727275","306.666666666667","302.3809523809524","316.6666666666667","339.1304347826087","319.04761904761904","335.7142857142857","322.9166666666667","302.5","315.2173913043478","310.0","327.08","318.75","320.8333333333333","315.2","327.0833333333333","312.5","324.1666666666667","321.05263157894734","312.72727272727275","311.9047619047619",""
"Broken Rice (Ofada)","292.21299999999997","318.127999999999","365.90909090909","380.855614973262","444.866310160428","503.896103896104","474.381207028266","386.076","386.11074684","392.726682024928","392.726682024928","392.597402597403","332.8512396694213","359.59595959595964","345.566778900112","383.838383838384","359.437229437229","390.0","361.90476190476204","352.272727272727","328.877005347594","327.272727272727","335.531788472965","340.909090909091","325.454545454545","318.143067503681","325.454545454545","361.3636363636364","338.383333333333","362.62626262626253","338.159371492705","315.07","319.21028466483","288.639230769231","289.23","276.82","279.135642135642","271.885521885522","247.43870722655677","263.22257053291537","280.0","350.454545454545","327.27272727272725","368.18181818181813",""
"Chicken Feet","823.765","1047.2225","1016.66666666667","841.6666666666666","975.0","975.0","1042.857142857143","1128.5714285714287","1042.857142857143","1025.0","968.5183333333333","956.0","900.0","1075.0","1120.0","1025.0","1100.0","978.58058849363","998.5","1100.0","1100.0","1000.0","980.132","1050.0","1012.5","1066.6666666666667","1012.5","1020.4732698","1100.0","1033.33333333333","986.66666666667","966.66","950.0","907.406666666667","1100.0","1087.41","1025.0","1033.33333333333","1100.0","1150.0","1203.33333333333","1233.3333333333333","1233.3333333333333","1250.0",""
