"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","579.315","516.333333333333","560.0","544.285714285714","535.714285714286","523.076923076923","550.0","486.25","497.333333333333","450.99","442.5","450.0","459.375","550.0","565.333333333333","592.3076923076923","585.384615384615","580.0","500.84","505.0","490.5882352941176","486.875","494.375","509.411764705882","507.3333333333333","514.210526315789","507.3333333333333","530.6325876","513.125","500.0","520.625","478.33","485.555555555556","464.705882352941","460.0","466.0","480.857142857143","480.75","509.4117647058824","535.470588235294","540.375","552.352941176471","572.353260869565","573.39316239316",""
"Agric eggs(medium size price of one)","50.94","45.85714285714285","46.7857142857143","47.142857142857146","45.714285714285715","45.0","50.0","52.941176470588","53.9459411764703","44.44444444444444","41.54","43.529411764705884","40.0","44.0","44.6875","43.214285714285715","43.07692307692308","43.6923076923077","43.75","45.0","42.5","42.6875","44.411764705882355","47.64705882352941","45.0","47.77777777777778","42.0","45.875","44.375","40.0","35.0","40.21","43.529411764705884","40.0","40.33","40.573124","40.6458391","41.247253768","43.4117647058824","45.6470588235294","45.8426318","46.31578947368421","48.7260869565217","48.8571428571428",""
"Beans brown,sold loose","371.897","426.133125","415.553494124923","392.374051069703","397.460317460317","402.521367521368","414.826388888889","386.9788235294117","379.0625","376.60493827160496","369.234444444444","358.51851851851853","369.6825396825397","388.8888888888889","395.0326797385621","426.58730158730157","411.11111111111114","413.80445702553175","410.296296296296","419.791245791246","439.28400383141764","420.8333333333333","408.3580045984138","401.58426368952684","400.208333333333","416.48900933453774","425.2083333333333","450.517848164907","406.797647058824","354.8570261437909","360.63901207193885","332.0","356.666666666667","379.254375","352.15","354.89","300.42735042735","302.02614379085","287.124183006536","314.31372549019613","327.886002886003","333.385565052232","347.986111111111","344.21188630491",""
"Beans:white black eye. sold loose","334.803","336.060571428571","322.78138528138527","343.48516218081437","347.777777777778","340.1709401709402","329.3333333333333","358.85705882352937","347.875816993464","364.25925925925935","354.259259259259","347.320261437909","353.3333333333333","352.59259259259267","354.181942149844","378.968253968254","371.8253968253968","394.0740740740741","367.2222222222223","395.40740740740745","381.87801932367154","375.751633986928","346.470588235294","363.40277777777777","300.321637426901","343.35237318101457","365.3216374269006","379.307652264446","342.7278571428572","304.44444444444446","326.6666666666667","292.86","315.751664379617","295.903125","243.2","254.95","244.01709401709402","246.47058823529412","247.1895424836601","268.36196425472843","276.075036075036","285.3276353276354","296.004611330698","295.67543951627",""
"Beef Bone in","1032.2125","1093.333","1041.67167545827","1015.5303030303","1095.18625773686","1088.15309467715","1125.2009894867037","1173.0481818181818","1173.1537561545454","1269.81471637019","1263.434375","1232.16084375132","1127.22700650508","914.2578150642669","1043.4672165441398","960.1571884431224","964.117294539196","929.06879445341","1034.6629560915276","932.8840568485459","1055.8536483042517","1068.2249960530503","989.746907375655","1001.6445435841483","1013.27449808758","982.3355083361387","1013.27449808758","1089.28245428245","1024.5417396984371","967.8093131501753","1014.87625328363","992.62","1034.3496914925486","989.500769230769","1001.6","1025.71","993.9316975993623","1006.1934324953594","938.7367262367263","950.66146143183","987.57574020449","1052.0983374848352","1114.56735086404","1106.05142175862",""
"Beef,boneless","1235.05125","1475.2974999999951","1364.35868960379","1359.2857142857144","1460.78270647236","1573.2317378362","1517.00722215428","1384.34266666667","1402.44677181217","1469.58428617129","1437.05222222222","1393.45819111444","1411.03863857734","1486.15970197603","1491.87739941603","1430.15873015873","1431.5306122449","1302.1374703727645","1394.01709401709","1333.90285640286","1413.6361799964743","1411.3852813852814","1322.8289072039072","1409.91692131398","1408.11524609844","1487.17593833101","1438.11524609844","1452.1625288292","1478.54875","1448.08286951144","1481.63265306122","1485.25","1506.31974506975","1489.86733333333","1417.29","1421.7","1415.2380952381","1465.75757575758","1450.98039215686","1415.8850637029007","1479.60212697758","1477.16709318317","1501.24741924742","1499.88846946367",""
"Bread sliced 500g","299.755","340.0","346.15384615384613","304.1666666666667","302.14285714285717","341.6666666666667","336.6666666666667","333.3333333333333","332.428571428571","315.2631578947368","300.0","300.875","328.125","316.6666666666667","307.5","295.307692307692","296.42857142857144","317.857142857143","303.84615384615387","298.307692307692","292.3333333333333","286.6666666666667","302.941176470588","300.0","290.7142857142857","271.875","290.7142857142857","292.3076923076923","290.625","287.5","265.625","269.84","285.7142857142857","280.0","264.67","253.57","269.230769230769","282.777777777778","268.75","293.333333333333","315.538461538462","315.625","326.25","325.625",""
"Bread unsliced 500g","282.36","308.125","318.46153846153845","303.84615384615387","305.0","320.8333333333333","303.3333333333333","298.0","300.0","307.89473684210526","300.0","299.5","293.3333333333333","307.14285714285717","304.117647058824","280.714285714286","260.7142857142857","282.173913043478","264.2857142857143","261.53846153846155","286.6666666666667","270.6666666666667","281.25","277.14285714285717","266.428571428571","247.22222222222223","246.42857142857142","257.14285714285717","253.125","246.66666666666666","237.5","257.5","253.33333333333334","262.5","243.75","221.54","227.5","253.125","235.2941176470588","256.6666666666667","288.6666666666667","278.125","318.8235294117647","316.666666666667",""
"Broken Rice (Ofada)","246.20999999999998","396.32","369.23076923077","375.760683760684","418.888888888889","497.777777777778","496.190476190476","410.222","410.25891998","421.555555555556","421.455555555556","421.111111111111","428.641975308642","413.860830527497","424.166666666667","462.839506172839","408.0","410.0","397.30158730158735","380.0","313.1746031746032","301.111111111111","306.9323671497584","332.77777777777777","332.0","362.06349206349205","332.0","345.333333333333","314.012857142857","377.77777777777777","350.61224489795916","346.03","356.851851851852","338.5183333333334","345.4","352.0","347.93650793650795","349.11111111111114","332.85714285714283","336.0","380.4273185","380.0","326.6666666666667","351.11111111111114",""
"Chicken Feet","1118.195","1064.58375","1015.625","902.380952380952","965.34090909091","973.75","969.545454545455","1064.2857142857142","980.0","980.55","926.5762500000001","922.7520661157","900.0","907.10606060606","975.0","980.0","941.66666666667","900.0","918.18181818182","935.1325","927.69230769231","976.92307692308","979.27272727273","920.06552006552","910.53267","926.92307692308","951.362876","996.15384615385","973.758361076925","895.45454545455","866.66666666667","905.83","909.09090909091","915.0","950.0","960.0","968.75","972.5","920.83333333333","975.0","982.513487","1040.0","1045.71428571429","1077.77777777778",""
