"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","494.355","470.0","490.0","498.461538461538","558.75","506.0","504.285714285714","447.5","465.3333333333333","486.6666666666667","480.56","489.0","436.666666666667","540.0","565.0","580.428571428571","543.333333333333","528.571428571429","465.714285714286","480.0","492.3076923076923","598.571428571429","472.0","502.285714285714","505.538461538462","518.5714285714286","504.585714285714","520.6666666666666","522.666666666667","494.7368421052632","472.142857142857","458.57","443.333333333333","450.714285714286","466.15","471.43","465.714285714286","470.7142857142857","484.0","505.38461538461536","515.0","520.0","535.3152768","521.3333333333334",""
"Agric eggs(medium size price of one)","48.83166666666666","44.642857142857096","45.38461538461539","46.25","48.214285714285715","46.25","45.714285714285715","41.666666666666664","41.785714285714285","43.8235294117647","42.5","44.0","38.18181818181818","42.142857142857146","44.285714285714285","45.714285714285715","40.833333333333336","40.2857142857143","40.1428571428571","48.13725490196079","48.9230769230769","49.1428571428571","44.5","48.5714285714286","49.0","46.9285714285714","43.1428571428571","44.5","45.3928571428571","40.0","34.285714285714285","39.14","42.5","42.7857142857143","43.85","44.29","41.4615384615385","42.0241658","40.8888888888889","45.0","40.416385","45.37286","46.8421375","46.0",""
"Beans brown,sold loose","524.925","500.0","526.5217391304348","459.545454545455","466.666666666667","504.056776556777","538.571428571429","581.8181818181819","583.367346938776","550.4761904761904","536.0923076923077","532.380952380952","541.818181818182","616.2337662337663","563.0333951762524","581.9780219780221","560.0000000000001","586.8480725623583","578.571428571429","554.425770308123","595.5542174720257","577.340880124442","510.657284652517","527.4725274725276","542.244897959184","575.8241758241759","571.4285714285714","603.8497217068647","593.4065934065934","568.059036480089","520.408163265306","513.26","520.47619047619","539.592857142857","576.62","559.27","498.734693877551","490.238095238095","431.04247104247105","504.258135686707","483.492063492064","490.47619047619","493.5386217","557.885357885358",""
"Beans:white black eye. sold loose","479.658333333333","455.0","489.2857142857143","434.871794871795","452.0","461.08193277310926","476.0","420.99","426.309523809524","421.693121693122","415.761357142857","425.710100641047","456.043956043956","580.6122448979593","531.6326530612245","537.1428571428572","525.422969187675","559.1836734693878","500.34693877551","493.7641723356009","500.816326530612","485.320408163265","460.558068367347","481.6326530612246","500.857142857143","540.9523809523811","541.4965986394559","555.1020408163266","556.1912380952381","497.078369905956","483.469387755102","475.61","472.275132275132","500.777142857143","527.47","508.2","440.81632653061223","430.062974275009","417.7627868639105","460.9357256416079","438.981173864895","441.904761904762","445.081632653061","512.072072072072",""
"Beef Bone in","997.885","894.4439999999995","966.66666666667","1028.2051282051282","1252.63157894737","1212.69841269841","1160.0","927.7783333333333","1030.0","1065.323102823103","985.66","979.54755028626","1150.0","1081.1802232854864","975.2392344497608","895.8333333333334","888.8888888888889","912.444444444444","1000.0","1082.1200510855683","1000.0","1002.9999999999999","900.0","1011.11111111111","999.152542372881","1000.0","933.333333333333","940.1523876","968.1595658265535","1001.64160401003","1002.1","1030.0","1050.0","1043.48","1142.86","1150.0","1125.0","1079.21568627451","1123.926500015865","1150.0","1147.28771228771","1145.45454545455","1150.7542381","1100.0",""
"Beef,boneless","1407.77","1360.833","1360.0","1415.625","1430.1470588235295","1395.982142857143","1420.3921568627452","1397.4785714285715","1397.590369714286","1367.652859960552","1368.2544444444445","1367.34805764411","1500.0","1400.0","1380.0","1369.0541781450872","1370.0","1402.55731922399","1444.4444444444443","1438.9237199582028","1448.1481481481483","1500.0","1500.0","1518.5185185185185","1491.42857142857","1437.7272727272727","1448.3516483516482","1468.75","1461.5643731268729","1398.64912864913","1463.6363636363637","1425.0","1450.0","1408.73","1468.75","1472.22","1452.3809523809523","1491.75786256532","1455.5555555555557","1507.9268292682927","1495.625","1475.93984962406","1466.6666666666667","1506.94444444444",""
"Bread sliced 500g","399.151666666667","360.4166666666665","340.0","328.1818181818182","348.3333333333333","356.0","350.0","381.25","381.2805","385.7142857142857","366.363636363636","366.6666666666667","365.0","375.0","350.0","327.27272727272725","324.444444444444","327.27272727272725","318.1818181818182","333.3333333333333","311.1111111111111","300.0","316.363636363636","327.27272727272725","350.0","309.09090909090907","322.72727272727275","304.54545454545456","313.6363636363636","325.0","345.45454545454544","350.0","318.1818181818182","322.72727272727275","327.78","325.0","311.1111111111111","312.857142857143","314.2857142857143","327.27272727272725","330.666666666667","322.857142857143","340.0","350.0",""
"Bread unsliced 500g","309.405","291.6071428571425","285.0","286.3636363636364","286.963636363636","275.0","272.72727272727275","335.7142857142857","311.1111111111111","303.84615384615387","312.727272727273","300.0","305.0","298.363636363636","272.72727272727275","272.72727272727275","260.0","277.27272727272725","268.1818181818182","267.22222222222223","266.6666666666667","245.0","247.72727272727272","259.09090909090907","263.6363636363636","265.0","280.545454545455","300.0","297.909090909091","300.0","291.6666666666667","300.0","318.1818181818182","300.0","333.33","295.0","290.90909090909093","288.333333333333","302.5","313.6363636363636","315.142857142857","309.635294","315.0","318.537297",""
"Broken Rice (Ofada)","404.32","404.0","404.15999999999997","405.36","420.57","410.33","415.45","400.14","400.17201120000004","410.0","420.0","420.0","410.0","410.246","410.45112299999994","410.6563485614999","411.0259392752052","411.3136574326978","398.428571428571","391.111111111111","360.2543","362.4158258","362.52455054774","362.81457018817815","370.026413","370.24842884779997","372.46991942088675","374.70473893741206","375.04197320245567","382.02","382.03","382.259218","380.0","383.04","492.63528941","497.06900701468993","497.46666222030166","497.214888883856","496.09240438670315","500.55723602618343","501.00773753860693","518.644589","522.793745712","527.498889423408",""
"Chicken Feet","899.795","850.0","825.0","850.0","937.67","900.0","850.0","900.0","900.0720000000001","842.857142857143","850.18","850.0","855.0","855.5129999999999","855.9407564999999","700.0","700.0","700.0","735.0","725.0","700.0","700.0","715.0","715.5719999999999","718.528109","718.9592258654","719.3187054783326","723.6346177112026","724.2135254053716","701.294","692.0318","692.51622226","706.21","709.74105","713.9994963","719.7114922704001","720.2152903149893","725.8538213","719.9328025630042","723.5324665758192","725.375194","730.4528203579999","733.296442920864","733.8830800752006",""
"Chicken Wings","932.4649999999999","975.0","961.5384615384615","960.0","1000.0","1000.0","1050.0","1150.0","900.0","933.69903320723","938.89","932.62820512821","923.33333333333","930.0","900.0","950.0","968.0","1051.92307692308","1100.0","1133.33333333333","1000.0","950.0","950.285","951.0452279999998","955.1865432","955.9506924345599","956.7154529885074","962.4557457064385","963.3219558775742","913.02","886.23","886.6731149999999","872.03","876.3901499999998","881.6484908999998","888.7016788271999","889.3237700023789","900.0","889.8943916036095","894.3438635616275","900.0153878","900.64539857146","905.850561760032","906.5752422094399",""
"Evaporated tinned milk carnation 170g","133.39","145.25","139.32","140.55","140.0","138.56","139.28","150.0","175.0","173.333333333333","170.0","163.75","155.0","143.75","146.66666666666666","140.0","150.0","150.0","160.0","162.0","155.0","160.0","160.048","180.0","182.666666666667","175.0","175.0","175.2754319","170.174528","170.0","165.48","165.579288","160.0","170.0","171.02","171.10551","171.122620551","171.2424063853857","171.12261584820632","172.66271939084015","172.8181158382919","172.93908851937869","175.437164","180.14728",""
"Evaporated tinned milk(peak), 170g","176.99666666666667","190.0","197.33333333333334","202.85714285714286","195.71428571428572","187.5","192.14285714285714","204.54545454545453","208.66666666666666","202.22222222222223","197.14285714285714","198.55","200.9090909090909","202.66666666666666","191.42857142857142","183.84615384615384","193.33333333333334","191.571428571429","191.42857142857142","187.744680851064","183.57142857142858","190.71428571428572","191.5","185.83333333333334","190.0","190.76923076923077","190.0","180.76923076923077","180.461538461538","191.05263157894737","188.571428571429","182.28","189.16666666666666","195.714285714286","195.0","195.43","192.14285714285714","190.0","190.0","199.23076923076923","200.372981","199.633333333333","200.83333333333334","203.571428571429",""
"Frozen chicken","1480.245","1366.66666666666","1500.0","1433.3333333333333","1400.0","1450.0","1400.0","1250.0","1300.0","1300.0","1350.0","1350.0","1300.0","1250.0","1375.0","1300.0","1300.0","1300.0","1375.0","1350.0","1425.0","1405.0","1450.0","1550.0","1575.0","1600.0","1605.3742","1550.0","1582.59355","1625.44444444444","1650.0","1670.0","1900.0","1905.0","1933.33","1950.0","2000.0","1974.44444444444","1920.0","2000.0","2050.0","2100.0","2126.66666666667","2175.0",""
"Gari white,sold loose","260.4666666666667","267.858571428571","338.585858585859","333.33333333333337","337.777777777778","410.1010101010101","390.512820512821","361.573333333333","361.60225919999965","321.875","308.742142857143","305.555555555556","282.47863247863245","265.45284780578896","263.49206349206344","267.06349206349205","253.33333333333334","258.3333333333333","255.55555555555554","205.694787719009","205.12820512820514","206.76923076923077","208.955323076923","185.48085901027076","183.52380952381","182.233169129721","179.93197278911566","171.4285714285714","176.36340722495893","144.3500504765327","114.285714285714","158.09","170.0","219.04714285714286","210.26","208.6","235.89743589743597","228.538241","248.0","288.243727598566","296.2962962962963","304.024577572965","342.102564102564","332.5062034739455",""
"Gari yellow,sold loose","315.31416666666667","289.7492857142855","353.809523809524","373.1481481481481","382.991452991453","448.271604938272","424.920634920635","394.813333333333","394.8449183999997","350.065359477124","345.8","340.0","288.376068376068","286.825396825397","311.11111111111114","301.5873015873016","294.44444444444446","304.7619047619047","301.309523809524","278.006535947713","278.095238095238","280.31999999999994","289.516224","257.173579109063","226.7857142857143","206.047619047619","192.85714285714283","190.4761904761905","204.83357142857145","178.4087548062703","159.52380952381","203.33","227.77777777777783","247.62000000000003","254.36","228.49","230.7692307692308","225.111846946284","272.8793309438471","307.880184331797","326.666666666667","357.849462365591","400.076923076923","381.321044546851",""
