"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","679.645","560.267857142857","570.0","529.2857142857143","555.0","522.941176470588","535.0","527.2727272727273","527.6418181818182","510.84","470.714285714286","505.564903846154","476.1111111111111","600.812693498452","620.095238095238","623.088235294118","625.0","580.0","560.0","524.4444444444445","517.0588235294117","494.11764705882354","502.5","494.0","515.714285714286","505.833333333333","495.714285714286","500.0","520.314","506.666666666667","458.0","501.28","485.29411764705884","500.846153846154","498.13","482.5","483.0","478.888888888889","488.3705357142857","527.333333333333","543.333333333333","548.382352941176","545.421052631579","569.5831932",""
"Agric eggs(medium size price of one)","53.85","47.4603174603174","48.666666666666664","47.69230769230769","48.125","46.875","50.0","48.18181818181818","48.2222222222222","46.31578947368421","42.0","45.6666666666667","40.0","47.22222222222222","48.26086956521739","47.5","47.4470588235294","46.8235294117647","48.94736842105263","48.333333333333336","44.0625","43.3529411764706","47.64705882352941","47.333333333333336","44.5237","45.8571428571429","42.0","42.666666666666664","45.0","39.666666666666664","40.875","47.85","47.22222222222222","49.6153846153846","49.09","45.71","45.686741","41.03","42.0","45.0","45.7533314333352","46.875","46.36218","48.2222222222222",""
"Beans brown,sold loose","361.66875000000005","401.8502380952375","407.444444444444","374.848484848485","364.640522875817","355.80246913580254","364.0522875816994","419.546363636364","397.839506172839","343.9722222222223","321.5078571428572","308.506944444444","356.8055555555556","351.7901234567901","374.81481481481484","366.8627450980393","382.745098039216","401.696859903382","386.11111111111114","389.8692810457517","396.6666666666667","396.0130718954249","402.483660130719","406.81481481481484","385.1587301587302","390.87301587301585","385.1587301587302","391.428571428571","400.0","381.077441077441","352.2916666666667","331.92","339.716021825397","309.797692307692","304.35","318.68","305.7594231","293.5294117647059","300.1388888888889","304.682769726248","312.37037037037","327.23311546841","332.970037453184","341.111111111111",""
"Beans:white black eye. sold loose","275.65166666666664","323.363174603174","328.015873015873","321.880341880342","328.333333333333","312.3456790123457","307.9738562091503","315.3536363636363","303.58024691358025","301.343915343915","300.543915343915","301.4583333333333","304.37908496732024","302.81045751633985","401.449275362319","347.6470588235294","362.6797385620916","384.3714927048261","326.1375661375661","345.0617283950617","343.75","352.222222222222","354.59259259259255","345.7777777777777","332.1010101010101","325.714285714286","322.10101010101","358.074074074074","344.740666666667","302.084155161078","327.19338715878513","298.92","306.666666666667","294.38","244.07","269.79","257.733134920635","243.88888888888889","250.34722222222223","256.0994983277592","258.888888888889","261.160045613248","268.035941914712","272.1604938271605",""
"Beef Bone in","1063.3075","1065.70208333333","1094.86737548657","960.6341189674522","1071.85185185185","1091.42548380864","1081.638667830245","1079.8966666666668","1060.2582058464411","1106.4170165673925","1117.22","1100.89369080965","1162.81843782516","1028.96584896584","990.488827109791","964.877483627484","998.771194083694","1080.066027414982","987.5923917954281","962.593872674518","965.646833446022","976.356421356421","919.950215520448","1009.73774305044","949.319961084667","916.066426570628","949.319961084667","956.119162640902","980.0","991.957671957672","1017.63738390092","929.68","936.727016211343","930.336153846154","995.1","980.59","983.213213552596","955.207486837776","967.84045443215","993.362081674775","1004.09431838003","1059.17660856515","1055.92542610087","1062.61269191986",""
"Beef,boneless","1318.22","1481.1779999999999","1519.2263508274123","1365.3361344537814","1408.81471469707","1537.81427722604","1550.55","1374.37684210526","1370.86148894483","1380.89","1404.17","1379.61328091843","1332.26038667215","1344.55318986569","1405.3922088012996","1427.21983898454","1419.63724547057","1409.97160573631","1383.71930775164","1372.23717640384","1374.23834335599","`1393.641904573277","1310.06125206493","1407.50338753388","1470.74354115432","1404.07647907648","1430.74354115432","1452.63623889011","1455.836459","1418.91447368421","1415.26212511461","1379.95","1374.12001483209","1323.68153846154","1313.69","1303.95","1317.57671422145","1293.72411539078","1321.63129506153","1405.52205730777","1452.94270320222","1501.58214624881","1543.00248589464","1578.25475369335",""
"Bread sliced 500g","309.99","298.33333333333303","309.2307692307692","290.0","305.3333333333333","306.25","300.0","303.3333333333333","303.125","305.2631578947368","300.0","312.5","316.6666666666667","315.625","319.04761904761904","313.3333333333333","336.25","338.823529411765","324.705882352941","303.8888888888889","321.875","314.70588235294116","321.42857142857144","314.6666666666667","314.2857142857143","323.0769230769231","314.2857142857143","312.5","323.3333333333333","315.38461538461536","314.70588235294116","316.66","315.625","303.84615384615387","311.54","319.23","312.7462139","313.3333333333333","317.85714285714283","317.85714285714283","325.714285714286","328.3746218","336.1111111111111","335.411764705882",""
"Bread unsliced 500g","257.5","251.66666666666652","253.57142857142858","246.15384615384616","250.0","260.625","246.66666666666666","254.76190476190476","241.1764705882353","244.44444444444446","235.0","238.235294117647","251.1764705882353","264.70588235294116","264.2857142857143","254.375","246.875","257.857142857143","261.1111111111111","275.0","259.375","252.94117647058823","271.42857142857144","266.6666666666667","246.15384615384616","261.53846153846155","246.15384615384616","253.33333333333334","263.3333333333333","261.53846153846155","296.875","293.33","299.375","287.846153846154","253.57","257.69","253.125","262.5","256.6666666666667","260.7142857142857","261.036218","266.6666666666667","259.375","259.941176470588",""
"Broken Rice (Ofada)","341.13","387.5","383.33333333333","390.0","410.0","480.0","445.0","450.0","450.31499999999994","500.0","500.0","500.0","500.653","504.658224","520.37037037037","600.0","585.2436576","569.090909090909","500.0","487.0","440.0","405.0","400.0","360.0","340.0","380.0","384.0","384.192","390.0","380.0","400.0","400.0","404.0","420.0","436.67","440.0","433.333333333333","449.44444444444446","441.6666666666667","511.3636363636364","512.638518","520.0","519.6341728","537.5",""
"Chicken Feet","760.075","947.9166666666665","940.0","897.916666666667","850.0","837.5","831.25","762.5","805.0","828.888888888889","718.75","715.428571428571","764.285714285714","800.0","883.3333333333334","890.32456","879.235294117647","880.542367","900.0","950.0","988.4615384615386","973.07692307692","907.638888888889","985.0","959.090909090909","919.640718562874","895.090909090909","922.72727272727","893.7061538461538","881.25","825.555555555556","863.19","842.857142857143","850.0","828.57","807.39","800.0","779.595959595959","740.0","827.933884297521","846.190476190476","853.75","850.635182","854.675324675325",""
