"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","556.5899999999999","490.444444444444","530.058823529412","508.888888888889","480.0","472.105263157895","482.175263157895","468.75","470.666666666667","455.333333333333","440.8695652173913","477.14285714285717","467.36842105263156","496.947368421053","487.777777777778","549.52380952381","515.052631578947","520.0","451.9047619047619","462.17391304347825","452.77777777777777","457.89473684210526","454.5","437.777777777778","462.77777777777777","453.52941176470586","457.05882352941177","442.105263157895","445.02","496.0","468.03","448.0","449.375","446.3636363636364","450.95238095238096","448.125","443.913043478261","449.1304347826087","457.05882352941177","465.0","461.7647058823529","452.3529411764706","472.3529411764706","488.8888888888889",""
"Agric eggs(medium size price of one)","48.989999999999995","45.2777777777778","45.6666666666667","41.388888888888886","41.53846153846154","40.55555555555556","41.05263157894737","40.0","41.333333333333336","39.44444444444444","38.22","40.0","40.0","40.0","39.3","40.5","40.24596172328921","41.05263157894737","40.75","40.0","40.88235294117647","40.0","41.666666666666664","42.35294117647059","40.0","41.111111111111114","40.9375","40.5","41.42857142857143","40.0","40.55","40.0","40.085","39.31818181818182","39.44444444444444","39.375","40.0","40.0","40.0","40.0","40.0","40.588235294117645","40.294117647058826","44.44444444444444",""
"Beans brown,sold loose","344.8691666666667","326.016428571428","357.66708379681126","340.89493759518535","375.92038993943885","380.4846196628733","401.01619693445576","430.562","433.352973210975","416.273755083544","403.325714285714","431.4466838521344","435.22","427.2914770620555","459.492309075179","485.5444692033958","495.394919185077","498.275600340247","467.1680830833361","481.57088122605364","503.6420714374","485.057471264368","434.58003421309877","407.781385281385","424.061569270602","405.82157784744","394.533699059561","398.524234386303","395.236666666667","347.988505747126","307.841110039386","332.17","342.148809523809","349.287777777778","296.899929093895","268.125","270.549700635386","271.02770885029","289.516092881478","207.6388888888889","233.41170323928947","257.8030303030303","304.05303030303","331.0984848484848",""
"Beans:white black eye. sold loose","278.4045454545455","300.515555555555","309.40860215053766","301.3605189071201","326.5053621209535","341.4743264244718","340.9327530295272","372.00470588235294","373.096375945838","324.253724787406","324.253724787406","296.54804574159414","350.8","334.7573328868132","349.8276748971194","378.5131508319915","388.661919567262","389.393181782928","373.21029681733506","362.04077060931905","338.3113542835765","325.416911045943","300.6967864125122","278.94597106066635","305.926223250751","280.13962051820477","278.07959720818144","264.5544131794132","281.1865","318.480110956766","297.560696060914","295.35","302.678691134573","304.088888888889","297.03049414743","272.21900495338","282.521381857681","288.777706734868","281.207089874073","185.22238514173995","206.96525439581","204.75792874986425","255.71062458870807","270.5112433862434",""
"Beef Bone in","932.2390909090909","948.888888888888","964.625850340136","986.937229437229","1008.92561983471","1071.08225108225","1021.82327476445","938.4615384615385","944.3556443556442","966.083916083916","944.685384615385","938.8429752066114","958.3","966.0183066361556","873.9623121976063","901.115921115921","961.8770943384042","1000.23503947033","978.8690476190476","1098.8660462344671","1028.8770053475937","1033.3874458874457","1027.3304473304472","1013.5209235209236","985.1107559202983","924.11510058569","910.63961038961","985.6872294372295","1008.49842105263","1080.60606060606","1058.8489941431117","1063.25","1099.3939393939395","1072.68052631579","1033.5879806468042","1066.3003663003662","1067.6406926406926","1008.9947089947091","1038.6431277056276","1041.6666666666667","1046.629560915275","1099.0222421256904","1152.1492094861658","1086.22498274672",""
"Beef,boneless","1490.3983333333335","1442.42444444444","1428.125","1369.4444444444443","1391.1764705882354","1447.3684210526317","1417.5","1332.670625","1408.8235294117646","1422.2222222222222","1427.2727272727273","1442.857142857143","1442.857142857143","1484.2105263157894","1410.5263157894738","1407.9545454545455","1415.2909923198108","1405.0","1417.3737373737374","1485.7707509881423","1417.6470588235295","1387.5","1408.03827751196","1398.148148148148","1423.0428381631268","1409.2592592592591","1405.88235294118","1462.12121212121","1417.391304347826","1400.0","1401.5948963317385","1416.66","1411.764705882353","1390.0","1384.126984126984","1391.6666666666667","1415.0","1395.0","1405.29411764706","1450.0","1452.9411764705883","1471.875","1462.5","1520.0",""
"Bread sliced 500g","301.74227272727273","295.0","280.714285714286","275.0","264.70588235294116","267.5","255.26315789473685","259.375","260.0","255.26315789473685","255.55555555555554","264.2857142857143","250.0","257.89473684210526","253.125","250.0","258.98245030149843","250.0","250.0","250.0","250.0","250.0","250.0","255.26315789473685","252.08461354773596","250.0","250.0","252.6315789473684","252.27272727272728","250.0","250.0","250.0","250.89","250.0","250.0","250.0","254.54545454545453","250.0","250.0","250.0","252.77777777777777","253.33333333333334","252.94117647058823","258.3333333333333",""
"Bread unsliced 500g","252.38333333333333","295.0","298.75","275.0","263.3333333333333","267.5","255.0","259.375","269.375","250.0","254.54545454545453","264.2857142857143","270.0","252.94117647058823","261.1111111111111","250.0","260.8423614053264","250.0","250.0","250.0","250.0","250.0","250.0","252.77777777777777","253.89772562786743","250.0","250.0","247.5","247.61904761904762","252.5","254.0909090909091","250.5","250.74","246.0","247.61904761904762","246.875","251.36363636363637","250.0","250.0","241.66666666666666","250.0","250.0","250.0","250.0",""
"Broken Rice (Ofada)","472.38","470.54","471.46000000000004","471.428571428571","472.8899999999996","472.15928571428526","472.52464285714245","466.23","466.50973799999997","466.50973799999997","466.50973799999997","459.92020749874155","459.92020749874155","462.3456","467.3447076844317","467.34470768443174","467.0296386299223","464.79697229950546","464.78838717692526","465.50991733920455","464.8850172891453","464.351","464.70550889457365","466.0","464.9139998417368","455.3","439.27","451.36","450.3","401.35","400.55","400.0","401.25","403.925","426.02811523462145","426.7497377342144","430.0","401.55","400.0","410.2885139607538","403.94617132025127","409.0121285679763","409.0121285679762","409.0121285679762",""
"Chicken Feet","900.0","925.89","922.945","930.55","933.434705","931.9923524999999","932.71352875","929.11","930.55","930.55","930.55","919.0199593528097","895.0","850.0","919.3928181110224","919.3928181110225","919.1201402952388","900.5811553034567","900.2363646932013","913.2806546417066","940.0","920.315","1040.0","930.0","919.6870340844189","895.32","880.2","885.19","800.0","755.23","700.0","700.0","689.24","650.0","700.0","739.533366734947","701.23","700.0","700.0","700.4097600912936","700.1365866970979","700.3551168870256","700.3551168870256","700.3551168870256",""
