"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","551.054090909091","500.0","550.0","536.5","548.5","510.357142857143","506.2068965517241","543.8709677419355","528.79","525.88","520.5714285714286","514.3333333333334","434.0625","562.787878787879","578.571428571429","575.276595744681","587.878787878788","571.707317073171","485.782608695652","503.617021276596","503.9024390243902","513.265306122449","520.5714285714286","513.2558139534884","523.513513513514","527.4074074074074","530.75","536.1111111111111","516.5","570.705882352941","519.2307692307693","518.23","496.59574468085","505.16129032258067","501.9","506.3","500.142857142857","478.0","507.2972972972973","509.487804878049","514.1666666666666","515.756097560976","520.044680851064","527.317073170732",""
"Agric eggs(medium size price of one)","46.393181818181816","44.642857142857096","50.0","48.0","47.11538461538461","45.60606060606061","45.97222222222222","51.2","47.53","45.54347826086956","44.651162790697676","44.32432432432432","39.75609756097561","44.73684210526316","44.25","45.094339622641506","44.75","43.7647058823529","42.0377358490566","45.8367346938776","43.111111111111114","47.1875","47.5789473684211","46.666666666666664","47.0","46.0","46.111111111111114","45.5135135135135","47.04545454545455","45.8571428571429","42.75","44.12","44.0212765957447","44.51241","43.62","43.68","43.013526","41.0","42.8648648648649","42.9744186046512","42.0170731707317","43.5555555555556","45.9795918367347","46.59090909090909",""
"Beans brown,sold loose","463.323636363636","500.0","491.142857142857","435.657894736842","450.675770308123","468.78306878306864","471.5686274509803","496.38531250000017","464.16","453.591163738223","452.46875","447.724867724868","483.11688311688295","479.3650793650793","491.2442396313363","487.8048780487804","503.2967032967032","518.4523809523808","516.785714285714","511.20129870129875","494.33106575963717","493.8735","450.10543675","510.30325173547675","513.587365980875","526.9841269841269","508.748435544431","498.2142857142856","489.9942857142859","474.3236649498508","441.203007518797","467.22","439.6103896103896","454.68580645161273","465.31","425.32","406.190476190476","395.67099567099564","410.9890109890109","429.100529100529","430.173529","428.549783549784","435.382059800664","442.8571428571428",""
"Beans:white black eye. sold loose","451.880909090909","425.0","436.13445378151255","429.18288413992343","431.539682539683","449.1416263475086","458.81275587157944","446.1498113207546","442.82","431.446450920794","416.97","414.744268077601","448.97959183673476","445.31746031746025","449.65986394557825","461.29870129870153","472.783584978707","475.21008403361355","485.098901098901","476.58730158730174","464.09876543209896","445.3517","400.47330551","472.74725274725284","463.73626373626365","457.1428571428571","449.753694581281","449.1746031746032","466.2329545454544","432.69946595236894","405.331664580726","417.46","408.5813492063492","436.2270588235293","435.41","416.43","409.24369747899163","392.727807172252","356.8253968253968","357.0173254486981","370.068173734173","369.1428571428572","385.904761904762","400.87012987013",""
"Beef Bone in","1000.63625","994.444","1061.6406540319585","1066.4267165582955","1287.64999620262","1292.27241054721","1203.43984962406","1205.45869565217","1208.18","1205.96890972632","1147.44421052632","1145.46932234432","1011.3514957264957","1069.10214237516","1057.3797039472095","1024.9170437405728","1051.9214119214116","1040.9935409015793","961.0356724957744","1039.12810188265","1020.8660911952485","910.0","900.0","909.1427384787353","961.2501507622565","972.0217031268238","940.7432001354523","1002.28382052379","1055.732","1031.872552506789","1047.0502154143","1059.12","1087.18490800387","1106.4624","1089.08","1111.74","1137.2645768833852","1197.49749105419","1176.22222222222","1187.3082646520145","1196.82331280741","1180.1924001924","1217.01683178787","1200.27116912962",""
"Beef,boneless","1385.735","1360.833","1381.0044893378226","1338.9741063889671","1404.3365954837795","1468.92829392829","1483.95447360231","1412.6021621621624","1420.81","1423.015873015873","1329.81027777778","1325.10076130766","1388.8182128385217","1363.223828802776","1388.9500935612195","1450.96181861732","1431.2835477364938","1420.0270316672256","1406.1050936873303","1427.8800769523814","1466.9059616018774","1450.0","1475.0","1424.9064913873776","1439.9935807656398","1412.2027796764637","1430.1940305112655","1420.147941874697","1421.8590909090908","1381.556016545374","1371.1583498281689","1369.71","1397.627777325529","1406.76461538462","1484.21","1487.36","1470.899470899471","1500.87921602207","1458.108330669605","1514.824142806645","1528.5622515885673","1527.53642347627","1520.6115779645193","1528.4453950969378",""
"Bread sliced 500g","307.84","360.4166666666665","352.5","306.551724137931","306.225806451613","310.0","326.5","295.7142857142857","308.83","299.666666666667","298.14814814814815","297.363636363636","284.48275862068965","309.25925925925924","308.2142857142857","321.875","300.0","318.75","318.9655172413793","319.5652173913044","313.3333333333333","326.8965517241379","314.5833333333333","320.3125","326.0","324.0740740740741","330.64516129032256","309.583333333333","306.935483870968","270.0","295.3125","305.0","282.85714285714283","240.0","279.55","300.67","296.6666666666667","258.3333333333333","253.33333333333334","305.0","315.428571428571","302.36285","313.333333333333","300.0",""
"Bread unsliced 500g","275.185454545455","291.6071428571425","280.0","265.75757575757575","294.44444444444446","289.714285714286","269.5652173913044","285.6","280.78","271.2121212121212","285.0","277.391304347826","261.5151515151515","274.83870967741933","271.61290322580646","281.42857142857144","258.0952380952381","253.57142857142858","262.94117647058823","267.5","263.42857142857144","262.6470588235294","265.9259259259259","276.6666666666667","279.3333333333333","274.19354838709677","279.72222222222223","248.46153846153845","236.85714285714286","233.63636363636363","249.6969696969697","283.33","245.26315789473685","220.76923076923077","255.71","266.77","270.74074074074076","240.47619047619048","232.35294117647058","254.57142857142858","258.461538461538","256.521739130435","257.3642819","253.93939393939394",""
"Broken Rice (Ofada)","600.75","640.0","600.0","620.0","640.0","622.721088435374","631.360544217687","593.333333333333","621.28","625.55","625.85","620.0","600.0","600.0","550.0","511.594202898551","490.0","490.39199999999994","495.24","495.68571599999996","420.0","421.3862","421.59689309999993","405.85231","406.1463","409.8016167","410.64237","410.929819659","411.17637755079534","393.15","400.0","402.86352641","411.02","414.71917999999994","532.7524318","535.4161939589999","535.37421","535.8025093679998","550.0","554.4","560.742658","561.2473263922","564.274531","567.660178186",""
"Chicken Feet","701.99","700.0","700.995","705.0","710.33","707.665","708.9975","712.43","708.88","705.55","700.85","700.78","700.0","705.6","690.0","690.3449999999999","690.6901724999999","691.2427246379998","688.56","689.1797039999999","693.6434","650.0","680.0","700.0","700.14326","700.55","710.6382","750.3541876","715.4214119","666.66666666667","600.0","642.5","620.0","650.84623","675.316838","680.0","681.4378","700.354769","735.0","800.0","800.4217583","812.53286","835.1627248","914.28571428571",""
