"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","378.295","427.4999999999995","437.5","433.3333333333333","441.111111111111","465.714285714286","401.6666666666667","385.0","442.85714285714283","435.833333333333","464.22","451.5","385.0","481.666666666667","472.941176470588","465.0","496.666666666667","490.181818181818","412.0","407.3333333333333","475.8333333333333","425.55555555555554","450.0","406.818181818182","412.272727272727","424.2857142857143","431.53846153846155","443.615384615385","445.8333333333333","487.692307692308","466.9230769230769","418.33","430.8333333333333","480.0","452.0","438.5","410.333333333333","396.923076923077","400.7692307692308","400.7692307692308","411.25","416.42857142857144","416.444444444444","414.0",""
"Agric eggs(medium size price of one)","38.125","39.5","39.5555555555556","37.30769230769231","38.18181818181818","40.0","37.30769230769231","34.54545454545455","40.357142857142854","38.5","40.33","40.2222222222222","34.5","36.92307692307692","36.94444444444444","37.0","36.5","35.0","34.375","34.0","36.666666666666664","34.5","35.416666666666664","35.68181818181818","37.5838181818182","37.6818181818182","40.416666666666664","40.8333333333333","41.090909090909","36.25","40.6666666666667","37.69","37.916666666666664","40.0","37.91","38.56","35.6666666666667","35.833333333333336","35.1538461538462","35.1538461538462","35.76923076923077","37.5","38.5","37.083333333333336",""
"Beans brown,sold loose","254.49900000000002","240.928","316.37566137566137","318.05555555555554","321.0185185185185","322.22222222222223","314.191919191919","314.6088888888888","313.58024691358","305.347222222222","297.38","296.9025997151","298.8319088319088","316.1747049247048","298.55975408607","285.961047254151","311.604379643595","303.964186277344","329.110161443495","305.28875379939205","359.506172839506","358.831908831909","305.058404558405","321.3073843073843","300.8152447155","305.502860720252","288.425796425796","283.382395382395","290.015454545455","288.586714872429","242.87511870845205","243.15","252.520879880838","248.15","246.79","211.14","200.106515945226","198.411133026518","175.135135135135","175.135135135135","192.73105413105412","255.30545738502343","264.332264957265","264.695631528965",""
"Beans:white black eye. sold loose","233.0475","230.3475","274.6913580246914","289.6164021164021","288.711965811966","281.7041847041846","287.0123403286668","282.3983333333333","287.16931216931215","277.074074074074","277.074074074074","273.035929800636","286.380939251907","277.26626874158444","276.96296060396605","266.7062784709844","270.071131571132","255.405413105413","303.49673202614383","291.464370938991","305.39886039886","286.380939251907","287.887852887853","286.4000814000814","265.64645231311897","283.3031783031783","262.490503323837","267.9226020892687","269.386666666667","220.03323836657168","279.146853146853","250.68","270.699215722037","270.9157750946146","252.66","227.0","208.004535147392","197.605542605543","196.07843137254903","196.07843137254903","198.679962013295","178.82470260634818","189.856890088469","193.045299145299",""
"Beef Bone in","870.07","800.0","799.2592592592594","1000.0000000000001","1000.0","1039.506172839506","1019.753086419753","985.714285714286","993.333333333333","956.666666666667","986.66666666667","985.0","900.0","870.5128205128204","973.4615384615386","956.2264150943396","880.0","910.0","960.7585962424672","1090.74074074074","1044.44444444444","900.0","876.666666666667","948.4623015873","914.903846153846","912.403846153846","933.33333333333","1033.33333333333","1053.33333333333","1033.33333333333","1001.66666666666","976.62","963.333333333333","970.833333333333","1000.0","975.64","985.48572391","960.0","920.0","920.0","979.62962962963","1150.089605734767","1166.66666666666","1171.42857142857",""
"Beef,boneless","1104.79","974.348","928.3333333333334","1335.7142857142858","1355.92592592592","1356.04081632653","1355.983371126225","1290.90909090909","1300.0","1300.5","1250.61","1183.44155844156","1133.3333333333333","1130.0","1091.0714285714287","1049.7474747474748","1066.5","1144.4444444444443","1092.30769230769","1161.5384615384614","1203.0","1193.33333333333","1100.0","1140.7407407407409","1122.2222222222222","1088.888888888889","1177.7777777777778","1178.3666666666666","1188.888888888889","1177.7777777777778","1155.55555555556","1170.0","1210.0","1200.0","1250.0","1208.33","1235.0","1213.6363636363637","1167.7110398839889","1167.7110398839889","1172.82051282051","1258.3333333333333","1275.0","1290.74074074074",""
"Bread sliced 500g","241.125","243.75","254.44444444444446","247.08333333333334","248.75","255.714285714286","227.08333333333334","256.875","250.909090909091","258.590909090909","245.45454545454547","238.75","268.75","254.54545454545453","243.52941176470588","270.0","256.25","254.54545454545453","252.94117647058823","267.6470588235294","278.46153846153845","268.75","254.16666666666666","252.27272727272728","252.27272727272728","255.0","263.6363636363636","263.74181818181813","259.09090909090907","263.6363636363636","263.6363636363636","275.0","275.0","280.316523","275.33","277.78","275.3163798","290.0","260.0","260.0","277.27272727272725","240.83333333333334","242.5","246.666666666667",""
"Bread unsliced 500g","287.1","282.5","286.666666666667","281.428571428571","284.0","285.0","287.142857142857","230.0","230.9090909090909","245.909090909091","240.0","232.233333333333","242.22222222222223","241.66666666666666","221.1764705882353","246.36363636363637","246.66666666666666","248.0","221.25","249.41176470588235","227.69230769230768","242.22222222222223","246.36363636363637","248.0952380952381","218.0952380952381","238.095238095238","240.769230769231","240.81738461538484","234.6153846153846","230.76923076923077","230.76923076923077","215.38","215.3846153846154","235.0","220.83","218.18","215.5","237.5","245.71428571428572","245.71428571428572","243.33333333333334","238.46153846153845","248.181818181818","245.0",""
"Broken Rice (Ofada)","255.63125","314.9","315.208333333333","355.0","360.0","365.238095238095","347.693965517241","281.25","279.6002024291498","286.666666666667","286.666666666667","275.625","303.75","295.200501253133","296.361215538847","315.78947368421046","306.666666666667","312.74532","353.333333333333","373.75","385.75","303.75","325.4165","386.666666666667","362.688172043011","361.225240520656","358.392857142857","218.75","222.5","205.8531746031746","225.714285714286","219.79","200.358901515152","201.36069602272775","306.25","301.67","308.601398601399","309.75","311.7532393074189","311.7532393074189","312.777777777778","391.55890804597703","392.717803030303","398.125",""
"Chicken Feet","276.2267","366.665","399.779411764706","400.0","450.0","450.0","457.70202020202015","449.47875","500.0","485.0","496.254285714286","485.0","482.083333333333","445.0","458.571428571429","423.817567567568","436.25","414.166666666667","429.375","450.0","416.666666666667","402.083333333333","415.2365","400.0","400.740740740741","440.740740740741","445.248675","445.51582420499994","445.7385821171024","432.156","412.66","415.13596","404.28","406.30139999999994","462.5","465.73749999999995","462.5","433.3333333333333","425.0","425.0","430.0","434.9466899128445","430.159","401.25",""
"Chicken Wings","510.0","580.77","572.142857142857","652.116402116402","658.333333333333","659.183673469388","658.7585034013605","647.125555555556","725.0","726.357864357864","742.381666666667","740.0","731.565656565657","716.666666666667","684.761904761905","650.0","655.0","646.6666666666666","610.75","700.0","780.0","731.565656565657","750.21435","743.333333333333","734.848484848485","769.848484848485","750.0","745.964765","748.26541","700.0","666.25","670.2475000000001","655.24","658.5161999999999","705.382164","710.3198391479999","700.275135","655.268503797916","658.0","658.0","652.335","664.5414786481044","663.48","655.0",""
