"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","549.03","497.386363636364","494.1666666666667","521.0","517.631578947368","520.0","515.384615384615","500.93023255813955","550.697674418605","520.625","502.352941176471","517.1428571428571","460.95238095238096","600.46511627907","648.095238095238","485.3488372093023","590.3125","582.0","520.31","495.0","452.6923076923077","489.2682926829268","492.0833333333333","493.3333333333333","506.5","501.14285714285717","494.324324324324","509.14149443561206","511.395348837209","495.0","485.0","460.65","456.315789473684","487.8378378378378","500.4","485.81","473.4146341463415","473.6585365853659","489.25925925925924","515.9375","520.842105263158","525.5742146","507.741935483871","507.958823529412",""
"Agric eggs(medium size price of one)","45.3231818181818","45.27272727272725","47.142857142857146","47.61904761904762","46.829268292682926","47.42857142857143","46.92307692307692","55.68181818181818","55.686829545454536","47.35294117647059","46.666666666666664","47.0","40.0","48.63636363636363","47.71739130434783","46.97674418604651","47.35294117647059","47.3413043478261","46.6792452830189","47.02127659574468","43.10344827586207","47.27272727272727","48.57142857142857","49.5","50.0","48.529411764705884","47.7179487179487","48.7435897435897","50.4444444444444","40.0","31.05263157894737","39.91","42.4615384615385","42.582317","45.2","43.0","41.42857142857143","41.4548837209302","42.0","43.5326","42.8105263157895","44.2637189","48.70967741935484","48.8235294117647",""
"Beans brown,sold loose","422.08727272727276","426.785333333333","427.894042232278","412.439024390244","412.478696741855","399.86406327236773","412.6785714285714","413.2062222222222","430.4834054834055","432.14285714285705","416.00794117647","415.037305615986","420.45454545454544","429.9264421215641","435.925925925926","472.5108225108225","460.29411764705884","460.3703703703703","454.814814814815","459.00621118012424","432.6190476190476","450.0","420.225","443.4782608695652","452.27272727272725","436.3636363636364","436.0805860805861","454.615384615385","430.56465116279065","416.6666666666667","409.5029239766082","391.66","391.6666666666667","400.7352941176471","388.19","390.0","360.9756097560976","353.255813953488","381.48148148148147","374.2647058823529","384.3671679197995","375.0","384.1666666666667","394.327731092437",""
"Beans:white black eye. sold loose","395.500909090909","367.5","374.0","390.0","395.450638792102","392.54201680672264","402.4390243902439","407.6897872340425","427.87456445993035","417.8117913832199","414.245555555555","411.573802541544","410.8695652173913","410.52048726467336","422.3404255319149","431.7632850241545","436.7647058823529","407.8125","400.272727272727","424.48979591836735","411.2903225806452","415.0","400.1075","421.42857142857144","415.0","410.0","417.2161172161172","425.128205128205","412.7328260869565","398.3333333333333","370.25","385.72","387.8048780487805","386.8421052631579","380.77","386.53","358.67346938775506","349.390243902439","348.2758620689655","347.9166666666667","358.1081081081081","342.2123015873015","376.07142857142856","379.4117647058824",""
"Beef Bone in","991.9943750000001","994.446","971.0991823398801","1042.3172676261922","1225.56949961256","1296.96506188745","1071.7312991727529","1255.6286842105262","1235.8551320293911","1355.5799602049403","1061.783125","1050.18375539531","1128.3856743000483","980.29224440688","1050.609751248186","1004.7388426036877","976.5794991939156","1037.956163918897","969.4708305033553","1038.81696676552","988.6322442284016","1040.4180730776727","1000.0","977.2605109943928","945.8834386270254","966.1206516672775","971.078618132743","984.91801507599","1078.7883333333332","998.535004431861","935.44139230414","961.31","1000.50046220087","1045.09454545455","1168.25","1207.59","1143.4454796623847","1180.83503149293","1160.9084760964458","1210.9050830891663","1227.6884940938","1212.23051751636","1219.5523706967756","1211.15142421198",""
"Beef,boneless","1405.08666666667","1398.3091818181802","1309.1599781096409","1399.8289517590476","1478.89293615187","1493.23474680471","1412.4910138594353","1183.4422222222222","1157.41960561751","1063.2458524304961","1200.7939473684214","1200.3245438236","1407.10579709099","1349.6950011866988","1407.5228473433472","1416.2195664686274","1425.2083676812397","1415.7886102570653","1424.87779950661","1400.4662275047126","1460.5923658313368","1423.3506136058768","1400.0","1381.3724728556097","1406.36801873607","1404.3463110448795","1448.85590930499","1419.70322945293","1481.71955555556","1458.10540876503","1398.67164575409","1352.58","1310.16936280094","1333.92558139535","1366.99","1410.39","1407.858878830746","1419.3671021632","1367.5100300976874","1426.6498374485","1434.6144896995","1475.6674904043327","1435.2559205500381","1502.59588336288",""
"Bread sliced 500g","306.175","320.0","326.153846153846","299.857142857143","300.0","294.82758620689657","326.47058823529414","323.6111111111111","323.64023611111105","295.8333333333333","272.9166666666667","264.230769230769","308.57142857142856","304.0","300.0","297.5","297.05882352941177","303.44827586206895","310.0","321.6666666666667","306.0","302.666666666667","339.1304347826087","300.0","320.5882352941176","305.7692307692308","340.625","307.826086956522","304.615384615385","308.8235294117647","300.0","329.03","273.473684210526","298.14814814814815","286.36","283.87","300.571428571429","311.53846153846155","296.15384615384613","343.75","361.3636363636364","351.818181818182","318.75","326.0",""
"Bread unsliced 500g","294.472222222222","225.625","258.3333333333333","242.66666666666666","257.6923076923077","250.71428571428572","245.45454545454547","249.3939393939394","245.35714285714286","262.5","250.952380952381","250.304347826087","263.1578947368421","253.7037037037037","246.15384615384616","259.61538461538464","258.06451612903226","248.21428571428572","244.73684210526315","243.10344827586206","243.75","244.64285714285714","256.5217391304348","245.83333333333334","275.0","262.5","263.7931034482759","260.8695652173913","263.46153846153845","267.6470588235294","263.7931034482759","288.88","268.42105263157896","255.17241379310346","254.55","253.23","257.14285714285717","267.3076923076923","265.38461538461536","301.1764705882353","305.090909090909","300.636363636364","297.5","281.25",""
"Broken Rice (Ofada)","216.39","250.45","253.42","290.0","308.68","299.34000000000003","350.55","299.69920800000006","299.72618092872005","300.0","300.0","300.0","305.0","305.2745","305.48819215","305.67148506528997","307.1998424906164","307.47632234885793","310.35","315.87649","316.066015894","300.57432","305.72460716","315.725","315.97353","310.9707856753572","312.59723","312.784788338","315.287066644704","321.025","333.02","340.9","345.02","349.12518","503.6853214","506.20374800699994","506.831546","507.28769439139995","500.0","503.49999999999994","508.0314999999999","508.4379251999998","515.472819","519.0811287329999",""
"Chicken Feet","962.91","960.34","961.625","962.0","980.32","971.1600000000001","975.74","972.3253920000002","972.4129012852801","965.0","965.0","963.0","960.0","960.8639999999999","850.0","800.0","775.0","713.333333333333","694.444444444444","685.0","685.411","637.5","650.25","633.333333333333","630.0","650.0","655.8574325","662.5","653.333333333333","620.09","603.88","650.0","600.0","620.0","650.0","684.742315","686.11179963","700.542485","700.0","700.56","705.7312869","706.2958719295199","706.9315382142564","710.471386",""
