"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","556.345","524.090909090909","584.714285714286","524.545454545455","529.375","528.571428571429","485.89","404.6666666666667","429.44444444444446","425.0","428.0","476.6666666666667","410.125","458.0","478.461538461538","486.153846153846","527.333333333333","530.666666666667","473.84615384615387","445.0","461.6666666666667","500.0","460.0","425.428571428571","460.0","433.529411764706","428.75","471.42857142857144","465.7142857142857","495.714285714286","465.7142857142857","443.21","446.7857142857143","448.75","466.42857142857144","467.6190476190476","441.42857142857144","440.0","415.0","466.6666666666667","454.61538461538464","445.0","441.96286472148535","448.125",""
"Agric eggs(medium size price of one)","48.275","48.3333333333333","48.75","45.6363636363636","48.9285714285714","46.3333333333333","42.98","37.44","37.5","37.333333333333336","38.0","38.57142857142857","37.35294117647059","36.666666666666664","36.92307692307692","36.53846153846154","39.333333333333336","40.588235294117645","39.61538461538461","37.333333333333336","40.0","40.588235294117645","40.588235294117645","37.69230769230769","40.9166666666667","39.705882352941174","40.0","40.6428571428571","39.642857142857146","39.642857142857146","39.642857142857146","39.64","39.642857142857146","37.1875","40.714285714285715","39.9473684210526","37.7857142857143","37.5","36.0","39.333333333333336","38.75","38.666666666666664","39.166666666666664","39.0625",""
"Beans brown,sold loose","241.19","335.0","353.369565217391","345.64102564102564","346.666666666667","353.0982905982906","386.6666666666667","326.636","389.4871794871795","336.636363636364","320.0","350.833333333333","332.1395866038723","330.07227891156464","353.33333333333337","370.0","398.59957776213935","398.759549973836","409.748427672956","400.0","400.0","381.7595499738357","381.7595499738357","350.0","350.0","342.651596749811","332.191358024691","340.0","340.0","340.0","340.0","302.02","302.902380952381","313.856","306.239463601533","283.38768115942","246.666666666667","211.53846153846152","239.48717948717947","265.128205128205","240.463800904977","257.971730137678","255.0","258.71710279373",""
"Beans:white black eye. sold loose","243.88500000000002","256.6701666666665","283.5468158141975","279.9230036774363","291.32208219322854","283.86285296582327","322.5173598132782","278.085","333.9267171421192","308.086026726797","302.516363636364","289.682004985902","265.66775038802575","277.101147036295","304.8964041486568","313.135948974078","346.740446178471","355.647662665721","408.5370821569917","398.199725729286","358.007525432432","328.5272144864492","331.1405123491189","384.591586228414","384.591586228414","374.95534774996","356.530712095042","299.176558025663","316.676666666667","299.176558025663","263.539576365663","239.58","249.580560578003","289.224375","252.241496762371","253.500546885421","241.202992259998","198.547008547009","142.9084249084249","184.70437309505382","180.55370274157397","182.565423083402","186.343548608254","186.054727067519",""
"Beef Bone in","1054.475","1016.035","1094.37229437229","1071.56593406593","1068.24786324786","1079.57393483709","1073.9108990424752","953.295","947.3109243697479","895.9224598930481","878.2049999999999","1038.8752052545155","933.5305719921106","925.0366300366301","938.6363636363636","844.0285409035409","878.7545787545787","885.98035298035","904.534798534799","1088.2962275819418","1050.91223927588","1030.952380952381","1079.2994883903975","1036.5967365967367","996.7698967698968","980.952380952381","999.731171606172","998.285409035409","1020.8625","951.3965201465202","912.974907540125","955.68","961.5136876006441","927.5183333333333","888.9027639027638","864.80186480186","867.676767676768","907.77777777778","880.9803921568628","969.93006993007","921.290111757401","929.27927927928","917.5324675324675","919.566634082763",""
"Beef,boneless","1213.025","1245.4325","1291.0612535612538","1142.5925925925924","1273.3333333333335","1250.7142857142858","1262.0238095238096","1137.208","1264.613029512146","1184.1169614699027","1183.33375","1213.6363636363635","1282.68398268398","1200.0","1175.4079254079254","1243.3982683982686","1208.2750582750582","1247.27564102564","1101.4550264550264","1231.739926739927","1222.892561983471","1147.275641025641","1147.275641025641","1171.763085399449","1158.1818181818182","1238.095238095238","1226.46276800123","1210.2272727272727","1178.39916666667","1126.89393939394","1156.89393939394","1157.34","1167.34265734266","1229.32076923077","1196.1432506887052","1161.36363636364","1173.4265734265734","1173.3333333333335","1142.08211143695","1238.02308802309","1172.2222222222222","1180.60606060606","1199.1025641025642","1172.65625",""
"Bread sliced 500g","223.32999999999998","260.83333333333303","252.222222222222","236.66666666666666","231.111111111111","280.0","255.5555555555555","229.0","249.0","229.0","235.0","237.5","307.777777777778","296.666666666667","242.22222222222223","226.36363636363637","217.77777777777777","220.0","235.0","238.88888888888889","231.25","260.0","260.0","223.33333333333334","223.33333333333334","232.5","222.22222222222223","237.5","230.0","236.25","230.0","256.25","256.25","245.3846153846154","236.25","257.6923076923077","243.75","233.33333333333334","212.5","275.0","256.25","265.714285714286","264.285714285714","260.833333333333",""
"Bread unsliced 500g","222.25","205.0","226.15384615384616","238.0","232.727272727273","238.33333333333334","235.53030303030317","224.0","223.57142857142858","214.0","220.0","243.333333333333","285.125","268.333333333333","213.07692307692307","224.16666666666666","227.69230769230768","244.66666666666666","274.61538461538464","266.666666666667","222.0","230.66666666666666","248.75","220.0","220.0","212.14285714285714","220.625","218.1818181818182","221.818181818182","281.8181818181818","281.8181818181818","237.85","227.85714285714286","277.05882352941177","257.0","246.8421052631579","260.0","208.33333333333334","200.0","247.69230769230768","236.15384615384616","245.833333333333","240.0","237.692307692308",""
"Broken Rice (Ofada)","358.42499999999995","305.5864285714285","342.896050645597","306.76907786708153","317.4466338259442","335.107812635036","326.2772232304901","298.4672727272727","358.640823524467","298.4695280521052","298.4695280521052","249.2063492063492","251.64203612479477","247.70488132557102","258.96278051450474","259.68428123600546","262.9310344827586","259.1281004234725","279.75146465567923","251.42099280030314","265.6901112935596","259.1281004234725","259.1281004234725","289.9507706464228","295.7512844107047","343.610264028983","350.236832133384","365.40593027662","371.086","364.915687760515","376.359416445623","351.73","351.911147600803","327.28083333333336","301.0947244711941","273.4148930319529","312.7627200385821","269.96100164203614","282.0391752175861","325.06264153269603","315.716180371353","318.433413798382","320.127581936826","321.806239737274",""
"Chicken Feet","1085.045","712.5","718.75","770.833333333333","781.25","850.6666666666666","815.9583333333333","610.715","656.153846153846","635.714285714286","650.0","500.0","562.5","574.0","576.6666666666667","603.333333333333","666.666666666667","681.8181818181819","689.091189976241","658.284020478628","716.666666666667","650.0","620.0","600.0","600.0","601.3","600.0","655.0","625.0","600.0","525.0","558.74169286264","550.0","500.0","500.0","500.0","475.0","500.0","500.0","550.0","540.0","550.0","580.0","570.0",""
"Chicken Wings","946.13","875.0","820.0","861.507936507937","860.0","984.639175257732","922.319587628866","890.0","960.0","954.0","930.0","650.0","683.333333333333","675.0","750.0","712.5","700.0","700.0","703.0665435324737","700.0","790.90909090909","785.7142857142857","735.0","600.0","600.0","625.0","631.02","675.0","675.0","675.0","650.0","597.0","600.0","670.0","707.142857142857","700.0","701.29","700.0","700.0","766.666666666667","740.0","785.0","790.0","800.0",""
"Evaporated tinned milk carnation 170g","131.385","148.333333333333","148.57142857142858","140.0","148.57142857142858","155.0","151.66666666666666","152.5","170.0","152.5","155.0","170.0","170.714285714286","156.666666666667","155.0","147.14285714285714","146.66666666666666","148.33333333333334","150.0","145.55555555555554","145.0","148.33333333333334","148.33333333333334","157.5","167.5","140.0","146.66666666666666","160.0","160.0","160.0","160.0","152.5","162.5","144.44444444444446","150.0","133.33333333333334","145.025","140.0","136.66666666666666","150.0","153.33333333333334","156.0","160.0","162.5",""
"Evaporated tinned milk(peak), 170g","150.0","165.45454545454498","181.875","192.27272727272728","191.42857142857142","191.0","187.85714285714286","185.0","206.47058823529412","185.0","181.8181818181818","170.0","183.529411764706","173.33333333333334","172.0","170.0","167.5","167.058823529412","163.84615384615384","166.5625","162.0","157.05882352941177","157.05882352941177","163.75","162.85714285714286","182.941176470588","187.368421052632","190.0","186.0","190.0","189.35","151.53","171.666666666667","161.33333333333334","163.84615384615384","162.52631578947367","176.428571428571","164.28571428571428","161.66666666666666","187.142857142857","188.666666666667","189.923076923077","199.166666666667","201.666666666667",""
"Frozen chicken","1249.26","1200.0","1300.9","1500.0","1550.0","1600.0","1550.0","1490.09","1466.6666666666667","1400.0","1300.0","1200.0","1100.0","1200.0","1300.0","1100.0","1166.6666666666667","1144.0","1205.0","1125.0","1125.0","1140.0","1200.0","1500.0","1500.0","1685.0","1702.38","1790.0","1780.0","1800.0","1850.135","1810.0","2000.31","2450.0","2400.0","2366.66666666667","2300.0","2250.0","2300.0","2350.0","2316.66666666667","2270.0","2283.33333333333","2275.0",""
"Gari white,sold loose","250.285","261.10616666666647","248.69951566200803","270.8282828282828","283.2864357864358","291.54913009628683","294.04280965387494","296.613571428571","296.184290221912","229.599978881564","213.962","225.0534188034188","199.13760031007564","200.14510756783605","196.11933061057252","200.65313212975298","203.0700417059001","255.94936162870943","265.75468975469","271.047935231244","258.547413013061","255.94936162870943","252.33142532375265","177.87072754509728","177.87072754509728","172.7916795649605","184.68224792052115","180.615507133807","170.616153846154","150.61550713380714","150.66679939495774","134.28","168.40328088401003","166.823125","144.13952720507956","137.35691112834436","152.7780618200323","163.7078651685393","141.76206509539844","183.32907919059062","183.368003084961","198.271890643224","214.499805634514","203.782454984082",""
"Gari yellow,sold loose","269.905","269.036666666666","276.70488988136043","288.3993682469292","302.5990675990676","328.59418898253847","331.8436095054592","285.4445454545455","289.269085287234","255.444138392115","237.0633333333333","248.61111111111111","239.01110854126617","213.60564661029838","244.71178692108927","243.66498468570398","253.921916860945","256.7468914041403","251.6281512605042","235.7004637184132","273.0807809659436","256.7468914041403","254.44524679201243","211.7287439215279","211.7287439215279","198.969276452249","181.014064410367","184.96464492813746","188.601818181818","144.964644928137","134.964644928137","133.12","133.12642717905877","153.40749999999997","172.4785328190901","177.76242007455247","180.62442731626976","191.45502513399248","199.76006191950464","206.231743426846","207.52235982112143","217.274989876409","221.783979977394","220.08873009850635",""
"Mudfish (aro) fresh","1021.78","961.54","963.333333333333","970.0","1076.923076923077","1080.0","1189.5604395604396","1058.335","1058.970001","958.3333333333333","930.6999999999999","897.142857142857","1016.66666666667","1153.8461538461538","1142.857142857143","1153.8461538461538","1246.66666666667","1298.49002849002","1333.3333333333335","1363.6363636363635","1307.6923076923076","1128.49002849002","928.4900284900285","1076.923076923077","1076.923076923077","1007.69230769231","995.84615384615","988.81300813008","970.81","900.81300813008","870.81300813008","913.1972591635276","900.15","866.665","919.047619047619","920.0","938.46153846154","920.0","926.1131361478682","953.84615384615","930.76923076923","940.0","952.5641025641","946.90476190476",""
"Mudfish : dried","1201.63","1363.64","1353.84615384615","1355.0","1363.6363636363635","1370.0","1380.9523809523812","1476.925","1400.0","1385.25641025641","1385.25641025641","1266.66666666666","1315.7894736842104","1316.7105263157894","1200.325","1277.6083333333333","1303.98312347865","1282.8832913623967","1282.2481181227738","1306.96952846159","1294.5498129904786","1200.3","1200.0","1296.0","1272.3464953608793","1300.0","1312.21","1400.0","1402.31","1392.13","1352.09","1382.0056167537955","1365.89","1300.0","1250.0","1250.0","1300.1555","1276.92307692308","1275.5280554049948","1286.25","1255.0","1261.21381886087","1265.0","1288.88888888888",""
