"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","594.8516666666667","447.142857142857","575.714285714286","527.647058823529","511.944444444444","520.666666666667","510.0","507.1875","500.75","435.0","437.777777777778","480.0","420.0","444.44444444444446","476.666666666667","489.166666666667","488.666666666667","454.11764705882354","414.285714285714","428.333333333333","456.6666666666667","480.588235294118","467.777777777778","407.333333333333","436.3333333333333","425.357142857143","412.8125","410.3125","413.5625","482.8125","467.5","448.12","438.125","470.0","436.1111111111111","447.058823529412","445.29411764705884","430.0","438.2352941176471","444.173913043478","452.0","444.117647058824","444.61538461538464","440.8333333333333",""
"Agric eggs(medium size price of one)","46.78","47.0","48.3571428571429","48.0","46.7647058823529","48.3333333333333","44.33","58.333333333333336","50.3333333333333","37.666666666666664","37.94117647058823","40.0","37.05882352941177","36.666666666666664","36.333333333333336","36.92307692307692","35.9375","36.470588235294116","35.88235294117647","38.25","36.0","36.470588235294116","36.8421052631579","37.1875","38.0","38.07692307692308","38.666666666666664","36.470588235294116","38.8235294117647","35.88235294117647","37.2941176470588","38.87","38.875","39.1764705882353","37.35294117647059","40.3529411764706","38.5625","37.5909090909091","37.94117647058823","38.214285714285715","38.6666666666667","38.214285714285715","38.63636363636363","40.38461538461539",""
"Beans brown,sold loose","300.0","358.0875","251.523444626893","314.029191077694","327.543571986715","346.665886072244","363.05190658638935","384.91636363636366","376.460271931308","353.2532971910058","359.616","280.0203196122737","318.80842701629496","319.4706583709698","342.95344325360975","349.25190765961554","365.2892014453881","389.06844451469203","380.6481174708035","393.094761752748","348.4587956300583","389.06844451469203","389.06844451469203","326.8466869506424","326.8466869506424","324.8408163976116","325.86519544296846","298.09398243207","287.935384615385","281.0939824320705","281.0939824320705","240.88","240.88036013745955","253.77200000000002","289.9211454522946","279.415505589054","230.813348192953","233.6856681737409","243.76049366816747","244.356659759462","247.811512387818","246.923472118977","247.574777690077","248.154882642712",""
"Beans:white black eye. sold loose","271.6483333333333","269.946964285714","298.70817935224625","301.3375298008732","308.48842711924635","307.9777273715235","315.63544021125034","337.855294117647","352.091036512082","317.06792173087337","313.185","245.38463533561583","288.29212285272536","271.00069814741886","284.0155405178249","305.486670769866","315.72021473984006","323.158745672723","315.68574423129246","312.8973449548992","353.9174025288704","333.158745672723","310.3428711054504","247.276387010125","247.27638701012478","253.67727550790434","263.39339728631927","226.56728620670035","226.56833333333333","226.56728620670035","226.56728620670035","198.99","204.75016627682987","218.446875","242.081010347528","215.110918503112","213.689681913666","205.74172661278084","191.96053255201613","206.017826681598","193.46705598814717","199.444882672887","199.48739371693983","207.243715246573",""
"Beef Bone in","1147.795","1136.90454545454","1118.1818181818182","1089.694041867955","1075.91973244147","1116.8542654028436","1117.6470588235293","1124.5053846153846","1025.0","1120.6593406593406","960.0","948.427672955975","1096.4285714285713","1100.0","1040.698035561767","1075.0","1075.0","1143.3158130627878","1167.9012345679012","1150.0","1147.65625","1141.2207887455413","1145.2805280528053","1115.3846153846152","1027.8846153846152","1156.25","1152.96995108316","1127.30769230769","1102.308","1027.3076923076922","1068.9015298427064","1075.92","1114.44444444444","1157.14333333333","1138.88888888889","1133.33333333333","1066.6666666666667","1106.66666666667","1092.9411764705883","1072.2222222222222","1096.25","1100.0","1050.0","1028.57142857143",""
"Beef,boneless","1169.78","1270.454545454545","1276.1904761904764","1306.4102564102566","1311.11111111111","1311.59663865546","1340.69264069264","1276.3891666666666","1280.0","1272.2222222222224","1290.9094117647057","1184.6153846153845","1266.7755991285403","1187.7083333333333","1253.1468531468531","1280.0","1267.857142857143","1265.5638740344623","1253.8461538461538","1267.2268907563027","1263.3333333333333","1275.3416518122401","1270.6327985739752","1170.4022988505747","1082.0689655172414","1188.46153846154","1170.2380952381","1293.3333333333333","1203.33333333333","1203.33333333333","1253.33333333333","1253.57","1253.5714285714287","1277.4073333333333","1218.2269119769119","1234.44444444444","1217.1945701357467","1257.89473684211","1247.2222222222224","1307.9887218045112","1307.9575596816976","1331.25","1350.0","1330.0",""
"Bread sliced 500g","295.255","290.0","278.46153846153845","262.14285714285717","277.6470588235294","285.555555555556","278.0","274.44444444444446","272.5","264.444444444444","273.8888888888889","296.0","300.0","282.0","273.0769230769231","270.0","264.61538461538464","281.8181818181818","288.1818181818182","278.57142857142856","301.666666666667","281.8181818181818","281.8181818181818","280.6666666666667","280.6666666666667","278.125","288.461538461538","248.75","248.75","248.75","248.75","255.0","255.0","275.0","276.6666666666667","271.3333333333333","275.0","290.0","266.6666666666667","277.77777777777777","275.0","286.6666666666667","302.5","288.1818181818182",""
"Bread unsliced 500g","257.26","241.6666666666665","233.125","240.55555555555554","278.94736842105266","286.428571428571","275.0","250.0","241.1764705882353","230.0","248.66666666666666","227.05882352941177","255.625","248.8235294117647","225.33333333333334","227.5","232.0","234.375","248.33333333333334","255.55555555555554","258.6666666666667","234.375","234.375","248.33333333333334","248.33333333333334","248.46153846153845","245.88235294117646","216.66666666666666","216.66666666666666","216.66666666666666","216.66666666666666","253.57","273.57142857142856","240.76923076923077","246.92307692307693","234.11764705882354","226.92307692307693","225.0","218.42105263157896","250.0","244.285714285714","276.47058823529414","250.0","250.0",""
"Broken Rice (Ofada)","302.1016666666667","353.2915","382.3778046239395","379.456237494173","370.598176292736","374.898472556095","372.7483244244155","321.3121428571429","334.017332337899","300.2026127014688","300.2026127014688","232.44775339602924","269.63885565225377","259.9252742441597","286.7943129948708","249.64205324102915","257.62057696641875","261.7221853823715","274.7970926384506","287.1183502837636","277.45175743582","253.65662225351724","258.013843861545","269.8220904958988","269.8220904958988","351.63196688932","366.291512715617","345.716121636507","345.714666666667","352.906003826389","345.716121636507","296.65","271.0632239214205","306.6925","323.12406071597246","287.9903410361213","291.8259065584784","308.9215156491614","261.9762487916646","346.76229385338735","331.111581379577","342.8610950734496","332.49299719887955","331.01149633257",""
"Chicken Feet","866.1","850.0","800.0","866.666666666667","865.21","865.9383333333335","865.5741666666668","850.7","860.0","850.0","850.0","825.0","830.0","819.404102179775","819.404102179775","822.93606811985","845.2447127618207","854.545454545455","850.0","885.714285714286","833.3333333333334","800.0","800.0","745.0","700.0","710.129","700.0","750.0","727.28","680.0","669.21","675.0","650.35","598.2","600.0","630.0","600.13","600.0","600.0","676.470588235294","665.0","670.0","675.6","668.0",""
"Chicken Wings","800.0","1028.57","800.0","800.0","840.9","850.0","845.45","850.0","870.0","820.0","825.0","800.0","780.0","801.254235187146","801.254235187146","794.1694901247641","820.9599523544903","900.0","900.0","900.0","1011.11111111111","900.0","900.0","801.2","800.0","805.102","800.0","850.0","820.0","800.0","766.45","750.0","695.34","653.15","700.0","670.0","671.23","650.0","598.0","600.0","595.0","605.0","615.45","610.0",""
"Evaporated tinned milk carnation 170g","170.73","165.0","155.0","156.66666666666666","166.66666666666666","169.0","160.0","163.33333333333334","170.0","163.33333333333334","150.0","150.0","170.0","165.0","180.0","185.0","187.5","186.0","180.0","180.66666666666","180.0","164.0","167.14285714285714","144.0","144.0","147.5","161.66666666666666","170.0","170.0","170.0","166.25","165.0","165.99","166.66666666666666","148.0","156.0","165.0","150.0","150.0","170.0","180.0","170.0","171.42857142857142","175.0",""
"Evaporated tinned milk(peak), 170g","150.0","170.91666666666652","174.58333333333334","199.41176470588235","198.235294117647","197.5","193.75","198.66666666666666","206.0","198.66666666666666","185.78947368421052","185.33333333333334","194.117647058824","181.76470588235293","185.0","193.846153846154","196.25","190.625","187.714285714286","186.0","197.333333333333","180.625","175.55555555555554","178.92857142857142","178.92857142857142","185.714285714286","183.333333333333","181.66666666666666","181.66666666666666","181.66666666666666","183.02","171.25","181.25","187.05882352941177","179.6875","178.23529411764707","178.57142857142858","177.0","185.2941176470588","193.07692307692307","196.076923076923","197.125","199.5","196.666666666667",""
"Frozen chicken","1735.88","1550.22","1700.0","1700.0","1750.0","1800.0","1850.0","1600.0","1601.12","1600.0","1640.0","1597.778920320369","1533.33333333333","1500.0","1500.0","1500.0","1540.0","1570.0","1510.0","1500.0","1500.0","1500.0","1500.0","1560.0","1517.7777777777774","1600.0","1610.0","1680.0","1650.0","1720.0","1760.59","1710.1966666666667","1823.014","2100.0","2150.0","2150.0","2100.0","2140.0","2133.33333333333","2163.33333333333","2110.0","2150.0","2166.66666666667","2160.0",""
