"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","577.13","565.0","587.0","506.0","518.0","527.333333333333","510.89","424.0","423.333333333333","414.0","403.846153846154","427.05882352941177","416.363636363636","458.947368421053","481.25","487.777777777778","486.0","512.571428571429","415.285714285714","430.5263157894737","426.15384615384613","500.0","457.05882352941177","420.714285714286","440.0","444.0","442.63157894736844","440.0","440.0","470.0","437.14285714285717","432.0","434.2857142857143","433.0769230769231","434.7368421052632","429.2857142857143","437.6470588235294","440.7142857142857","425.2631578947368","440.0","431.1111111111111","434.0","432.22222222222223","438.46153846153845",""
"Agric eggs(medium size price of one)","50.388333333333335","49.625","49.0","46.4285714285714","47.0","48.3333333333333","45.625","35.333333333333336","36.07142857142857","35.333333333333336","35.12","36.111111111111114","36.0","36.94444444444444","35.714285714285715","35.55555555555556","37.5","41.15384615384615","37.142857142857146","35.75","36.333333333333336","41.15384615384615","40.0","37.0","38.0","38.6666666666667","38.68421052631579","37.9230769230769","37.9230769230769","36.92307692307692","36.666666666666664","36.78","37.7857142857143","38.6153846153846","38.1111111111111","37.625","38.1764705882353","37.6666666666667","36.5263157894737","38.57142857142857","37.9375","38.1333333333333","38.875","38.8333333333333",""
"Beans brown,sold loose","280.4325","303.5725","315.19274376417235","348.93957583033216","350.939575830332","383.4053621448579","360.1440576230492","369.95000000000005","351.783174808385","326.947979191677","307.276","265.3061224489796","329.3317326930772","318.807033924681","308.877551020408","314.557156195812","343.3373349339736","357.175851857633","313.38079368769905","355.240666056097","334.12136784538376","337.1758518576328","320.534332279757","290.7096171802054","290.7096171802054","290.88435374149657","284.9546485260771","260.5508870214752","260.5475","260.5508870214752","263.02","225.45","235.450460071511","238.93","256.061833431401","242.067400023689","233.824814191363","189.305752431883","196.46361837702997","197.356617224949","194.498134038897","195.88813303099","226.8146421010721","221.323546786981",""
"Beans:white black eye. sold loose","305.71999999999997","339.712833333333","282.611361345046","283.32364593516905","287.28108885077665","287.2036133505658","297.8102540182312","314.915714285714","328.076688186299","316.903348758989","302.583846153846","223.89275023520298","271.4294857109108","282.18830630129605","309.37791417706165","315.872977224116","319.37309398083056","328.931192700284","324.451501968309","316.0595522757923","325.425065649697","308.9311927002844","293.8690515519742","225.00658699834997","225.00658699834997","227.910678135027","221.964184971091","205.70781117191487","242.49499999999998","205.7078111719148","204.26304311449545","173.29","183.757158312043","182.6992857142857","176.73712289341177","196.0496065150926","202.606360276539","181.31118447637792","162.60402847713686","186.58181649102795","187.302072612533","183.396636248354","191.47307151060875","189.418241419398",""
"Beef Bone in","905.895","976.9191666666665","940.875336489372","997.6525821596243","1001.49403442086","1016.83426044786","1005.8823529411765","930.924","1033.3333333333333","980.923870318543","1015.719","973.5235207203172","993.577772989538","995.8951681802362","827.6993620414675","905.720002444699","928.491498839325","914.6844037421545","864.5508337816","968.9863547758285","921.4724846303793","1066.4502164502167","1032.142857142857","942.1911421911421","913.4803921568628","899.580257680273","902.69756411377","902.732831472989","931.3039999999999","902.7328314729888","912.732831472989","951.82","960.35983468344","961.8325","929.207459207459","897.982158028887","861.22980961691","836.68336236934","789.87948103056","870.491791087325","828.7490287490286","837.717652717653","840.8730158730159","827.6579313469812",""
"Beef,boneless","1196.2325","1241.0138095238","1295.35805206536","1329.8701298701299","1304.28571428571","1317.88298820039","1311.08435124305","1275.70727272727","1282.64941105768","1217.52532498587","1282.43642857142","1204.14104666257","1214.7619047619","1176.29200315604","1098.1242496998798","1061.7757629367534","1106.320907186761","1081.804632247996","1095.332781330168","1070.9894427796448","1170.5034046138783","1027.416990903833","990.62359751046","1020.06099792147","1168.9914792048937","1062.3064456134757","1050.10008996851","1121.26614060258","1200.1546666666668","1171.2661406025825","1149.04391838036","1205.68","1266.2141889276038","1320.47411764706","1269.2668241231","1257.74202970263","1225.43558073636","1182.90022985145","1117.10199004975","1124.84008883689","1159.74301459929","1133.04148081997","1138.5156890229916","1172.38357843137",""
"Bread sliced 500g","231.885","254.583333333333","225.0","263.75","266.666666666667","275.0","270.8333333333335","215.71428571428572","231.8181818181818","225.714285714286","250.0","218.75","271.42857142857144","275.0","250.0","265.38461538461536","275.0","228.57142857142858","256.25","254.16666666666666","242.85714285714286","214.28571428571428","218.75","242.22222222222223","242.22222222222223","250.0","231.25","255.55555555555554","255.55555555555554","255.55555555555554","255.55555555555554","264.28","264.2857142857143","243.75","220.0","242.85714285714286","244.44444444444446","252.72727272727272","266.6666666666667","270.0","263.333333333333","262.5","275.0","265.0",""
"Bread unsliced 500g","192.225","215.47619047619","214.16666666666666","232.14285714285714","235.384615384615","238.0","236.6923076923075","297.142857142857","253.333333333333","227.142857142857","238.46153846153845","226.47058823529412","250.0","266.0","253.33333333333334","246.875","285.0","307.272727272727","315.0","325.555555555556","330.769230769231","287.272727272727","255.0","230.71428571428572","230.71428571428572","236.66666666666666","237.5","238.46153846153845","238.46153846153845","238.46153846153845","238.46153846153845","233.12","233.125","240.9090909090909","229.16666666666666","227.77777777777777","222.72727272727272","242.5","263.6363636363636","240.0","253.333333333333","251.538461538462","261.53846153846155","251.25",""
"Broken Rice (Ofada)","230.12","328.405","358.66666666666663","382.068965517241","400.0","401.678525816457","400.83926290822853","397.675","392.361834955538","367.675685966541","367.675685966541","303.026819923372","325.865978575338","349.145780561178","295.779206957368","303.0367900095536","317.597475771918","363.047841158786","375.287650292501","399.379804145546","402.142301353164","383.047841158786","384.096225696676","433.713161340477","433.713161340477","444.596617035398","420.120463577735","448.300254634587","416.555","398.300254634587","348.300254634587","346.61","376.612624423719","379.527777777778","362.762725779967","340.710180623974","355.604816639299","322.068965517241","270.3703703703704","295.9770114942529","260.47710271848206","266.461108070304","272.964881195766","273.859026369168",""
"Chicken Feet","850.0","880.34","865.1700000000001","880.0","887.34","883.6700000000001","885.5050000000001","877.25","877.864075","877.864075","877.864075","850.4020211719552","854.6540312778149","874.75304978745","874.75304978745","868.0533769509049","900.0","894.31925580016","877.6212554394251","877.7362884347434","877.7362884347434","800.25","819.692828237281","799.65","809.934952012498","802.39","789.02","799.32","771.29","701.32","666.02","704.4875","689.25","640.0","650.0","650.0","633.48","650.0","600.0","675.4875","650.0","650.0","665.0","645.0",""
"Chicken Wings","995.57","970.26","982.915","995.99","990.0","992.995","991.4975","980.33","981.016231","981.016231","981.016231","974.0209967791665","985.9213121549999","983.8873257782518","983.8873257782518","984.5653212371677","1050.0","997.3173265016751","997.317326501675","997.5565625645743","997.5565625645743","902.71","985.9055786046413","895.0","908.135386807151","901.54","898.32","951.03","930.0","891.08","850.214","900.581","875.27","798.0","800.0","800.0","792.37","800.0","800.0","860.51","850.0","860.0","871.0","891.515151515152",""
"Evaporated tinned milk carnation 170g","130.74","130.0","140.0","140.0","160.0","170.0","165.0","180.0","180.0","180.0","180.0","150.0","155.0","140.0","140.0","148.0","160.0","158.386329946547","156.66666666666666","160.0","175.833333333333","165.32","159.1697176881959","154.0","154.0","140.0","133.33333333333334","141.66666666666666","146.966666666667","141.66666666666666","150.666666666667","143.33","143.993333333333","152.36","145.0","150.0","150.0","150.0","150.0","156.0","156.666666666667","156.66666666666666","166.666666666667","165.0",""
"Evaporated tinned milk(peak), 170g","140.0","166.11111111111052","189.28571428571428","195.3846153846154","198.181818181818","195.0","190.0","188.0","204.6153846153846","200.0","186.42857142857142","181.76470588235293","187.0","192.5","172.66666666666666","168.33333333333334","176.42857142857142","178.142857142857","178.46153846153845","176.66666666666666","195.33333333333334","172.14285714285714","171.76470588235293","186.666666666667","186.666666666667","189.0","173.07692307692307","185.0","190.0","185.0","185.384615384615","161.42","171.428571428571","183.076923076923","163.125","166.66666666666666","166.875","166.36363636363637","160.52631578947367","162.33333333333334","165.0","167.0","171.53846153846155","172.85714285714286",""
"Frozen chicken","1313.1599999999999","1350.0","1250.0","1475.0","1450.0","1500.0","1475.0","1200.0","1200.0","1200.0","1133.3333333333333","1263.640572462228","1300.0","1333.33333333333","1100.0","1166.66666666667","1133.33333333333","1150.0","1150.0","1100.0","1150.0","1150.0","1150.0","1233.33333333333","1250.0","1285.0","11400.0","1233.3333333333333","1255.33333333333","1333.33333333333","1350.0","1325.0","1525.0","1504.26","1540.0","1500.0","1502.49","1485.33333333333","1433.33333333333","1450.0","1400.0","1400.0","1425.0","1400.0",""
"Gari white,sold loose","267.03833333333336","242.0736666666665","224.788795698113","243.34006918812204","249.53372280645","250.338238747366","275.4931655531822","342.11999999999995","338.626707357833","307.771488845921","287.755625","292.983526689118","303.8818120640457","289.760237638687","260.525108473945","283.871608460579","301.583968168635","326.583149025134","316.697647579145","327.660640890917","330.063854717606","276.583149025134","167.4550601397026","158.324723127147","152.102500904925","140.01815245819483","145.0","141.15269747100845","168.0008333333333","141.15269747100845","144.17883646479777","134.33","134.11839736914945","130.48666666666668","127.11322367715478","117.02547444557025","127.10952150847373","112.0477209860116","126.6975021322293","139.9786666962672","138.632163022195","142.708254516935","161.1320589726","166.105433121682",""
"Gari yellow,sold loose","289.7066666666667","283.580833333333","277.314404744177","270.51963405419485","274.334427697604","313.01436990037","302.9337969976963","360.6700000000001","361.233539098473","328.184689929266","282.427272727273","288.924405121439","322.697736747611","324.494315391805","271.538375458805","274.78940111755065","283.507099027239","318.895595930619","318.62941133812","315.27174794383","300.632756434422","288.895595930619","251.053263798502","204.967822215659","215.202426321231","198.684620668805","194.435926157322","178.133278547522","175.64555555555557","134.82500787083058","137.6331900344597","143.28","142.55525230584982","137.53444444444446","134.72576036575376","143.51194771162213","151.88465733570155","133.30206310343203","143.4126636278635","155.07403799227572","153.013151217144","155.140922309646","182.250424711941","193.086785864279",""
"Mudfish (aro) fresh","883.5325","800.0","787.8787878787878","799.401709401709","822.2222222222223","852.7777777777778","1026.9230769230767","1127.7775","1059.12364945978","1127.77777777778","1117.7075","930.4812834224599","931.8181818181818","893.007293007293","958.3333333333334","828.2843137254902","879.454022988506","905.793650793651","930.95238095238","948.484848484848","960.333333333333","950.793650793651","912.261904761905","900.0","1076.923076923077","980.0","978.06060606061","985.0","950.0","900.0","900.22","933.8050000000001","906.25","916.665","959.53488372093","970.79545454545","985.7142857142858","952.857142857143","895.541974365504","960.0","947.44186046512","953.63636363636","964.54545454545","970.0",""
"Mudfish : dried","1199.855","1200.34","1234.46327683615","1600.0","1690.90909090909","1700.0","1695.454545454545","1402.565","1500.0","1502.5641025641","1500.35","1550.0","1831.02493074792","1817.85714285714","1643.67497691597","1611.111111111111","1633.33333333333","1704.7239161021514","1705.88235294117","1738.46153846153","1760.92307692308","1714.09","1716.92307692308","1712.12121212121","1722.12121212121","1500.0","1515.86868686868","1561.53846153846","1581.54","1554.53846153846","1541.53846153846","1580.0","1576.8","1545.41","1525.71428571429","1536.13636363636","1493.63636363636","1480.0","1450.45454545454","1488.88888888888","1432.14285714286","1454.7619047619","1483.11688311688","1458.88888888888",""
"Onion bulb","169.95","162.089","140.711860589717","151.3189547618367","156.478969644061","166.352464062548","170.55","187.451428571429","180.262785354319","147.107076795643","205.955","214.53461887876037","250.10276153072402","222.839630227711","202.546629871621","212.659730243713","222.505870198178","235.795690452441","282.218826924709","272.555397197055","269.861044459066","276.949536606287","298.827028552429","286.017355660213","286.0173556602128","253.972963250831","241.410256410256","255.177572171322","219.73749999999998","198.510905504655","205.177572171322","187.72","173.0148907393489","154.73357142857142","184.2328627255098","198.813525410164","173.4010387371732","162.935777981027","180.1886584421","160.95819524390953","176.19810161826967","163.328634484097","176.0","163.16394570616",""
"Rice agric sold loose","214.83","298.5075","318.4827586206897","297.8106185002737","302.12096332785984","301.25889436234263","301.68992884510124","298.758","285.1788391518527","265.45489160181813","240.15","226.18006472954","388.58100711548985","351.1672735061041","270.2449178636488","306.922525131992","368.014207182123","364.632139712457","268.87871190455195","317.4672881813062","329.594409144634","296.632139712457","266.0358808690893","246.3740352046199","246.3740352046199","240.0","258.7099307489113","275.88420075676447","284.454","275.88420075676447","305.884200756764","255.68","285.688029001372","301.042","287.60946907498635","278.544061302682","296.32183908045977","314.645030425964","321.796509152831","337.668308702791","335.839393228556","330.749863163656","335.24046800129355","349.783049651645",""
"Rice local sold loose","309.391666666667","266.9791666666665","265.33086789938363","248.61946085780644","264.3543774331322","266.4375795295629","244.15733309815678","238.443571428571","269.6544804739992","243.9364994921894","217.38933333333335","205.13924040823886","241.38407569442052","232.58357331727765","238.79188731964553","251.65634469679927","260.33465257603194","233.3364587906435","249.38309739438589","246.07026613480812","225.32699859382816","233.3364587906435","228.9050918343349","228.84505513271625","228.84505513271625","210.61016453254592","232.405243484926","246.03993676986596","252.925333333333","246.03993676986596","280.039936769866","266.83","296.831885087986","300.828","270.130170798428","275.4643190609578","291.621354424123","282.0025495830516","244.78537264203254","305.3865782587806","289.412256852845","307.25678777258","299.18299702407654","302.844736632985",""
