"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","579.36","555.625","582.625","523.888888888889","519.333333333333","526.875","510.79","481.333333333333","460.625","411.333333333333","430.0","437.14285714285717","423.1578947368421","458.75","445.3333333333333","481.333333333333","488.666666666667","495.571428571429","415.142857142857","436.0","437.6923076923077","480.571428571429","429.866666666667","425.625","428.75","432.0","443.3333333333333","465.8","413.46666666666664","487.8","446.214285714286","426.25","430.625","447.0","438.8235294117647","453.125","453.636363636364","420.0","426.0","450.0","444.375","432.14285714285717","446.6666666666667","450.625",""
"Agric eggs(medium size price of one)","49.35","48.0","48.5714285714286","48.6666666666667","47.7142857142857","47.6666666666667","47.14","35.666666666666664","38.6875","35.666666666666664","38.12","37.5","36.25","35.9375","34.0","36.42857142857143","36.0","37.5","35.357142857142854","37.0","39.583333333333336","37.5","37.666666666666664","36.07142857142857","38.7142857142857","39.666666666666664","39.11764705882353","39.8571428571429","40.6428571428571","38.214285714285715","39.6923076923077","37.18","38.875","39.03","36.666666666666664","39.5","39.9090909090909","37.666666666666664","39.5","39.285714285714285","39.0","39.5384615384615","39.5","38.46153846153846",""
"Beans brown,sold loose","300.0","289.376666666666","273.9080459770115","289.6551724137931","291.58787541713014","275.3058954393771","296.6365178066704","290.3725","297.394636015326","285.0","284.36","224.1379310344828","250.14831294030407","269.97001499250376","284.3370941257482","306.80014831294","324.3034588696435","327.44942940716","316.66666666666663","324.5977011494253","359.394565390116","337.44942940716","312.02405965476044","278.7027914614122","278.7027914614122","242.1678049863957","259.064039408867","320.933480301032","295.932857142857","220.93348030103155","263.727422003284","219.72","239.721567787535","246.0775","218.027620948268","226.839822024472","262.981090100111","252.98615093375","221.067441189799","242.081280788177","241.345410244187","244.272863568216","254.373973727422","249.203140365301",""
"Beans:white black eye. sold loose","200.06099999999998","236.632222222222","233.4208791489957","271.22026158332784","266.523294800311","255.6679872860887","271.35049232158156","251.753125","260.906124216196","251.75366768040496","250.175444444444","214.6105377016707","266.7094041967137","284.47896111383375","251.82892898080007","285.6100433860139","286.873444914568","290.363372042491","271.1419592619271","262.51149659195636","233.11800935813645","260.36337204249145","263.65538924682966","323.6213535511797","318.825435183833","299.250277483267","304.275872181085","303.005944746545","284.30125","283.005944746545","269.120050291163","251.78","262.786512899205","271.063333333333","274.77487331603","244.723767148684","246.32645424173","219.964522033296","229.672384038964","242.842538383773","240.914259174924","300.381511616874","305.148013423715","307.856849804527",""
"Beef Bone in","1200.0","1073.68055555555","1079.7619047619","1000.0","1003.33333333333","1087.24763608484","1045.290484709085","999.524","993.324584426947","899.5238095238095","906.86875","929.059829059829","932.6050420168067","1011.15151515152","945.9706959706959","910.944055944056","935.0164203612478","1179.9783549783551","1031.1850027367268","954.0816326530613","942.424242424242","848.4353741496598","905.52380952381","900.0","984.6428571428571","925.83333333333","922.4247974248","956.993006993007","932.26769230769","916.883116883117","962.2710622710622","960.39","1006.13445378151","1040.0966666666666","985.151515151515","1010.0","964.761904761905","1005.19047619048","1058.3333333333333","1100.0","1078.99613899614","1048.2142857142858","1066.51958080529","1075.6987577639752",""
"Beef,boneless","1047.4850000000001","1282.97333333333","1277.77777777777","1188.8327721661055","1211.31313131313","1245.45454545455","1292.85714285714","1114.2857142857142","1205.02645502646","1174.28571428571","1033.3944444444444","1119.047619047619","1150.98039215686","1060.1307189542486","1106.2111801242236","1157.4759945130315","1146.1538461538462","1250.0","1173.6263736263736","1123.076923076923","1115.3846153846155","1220.0","1244.6022727272727","1085.7142857142858","1114.2857142857142","1162.2377622377621","1150.05050505051","1174.66666666667","1166.6666666666667","1141.6666666666667","1141.6666666666667","1148.03","1188.03921568627","1236.3636363636363","1187.22222222222","1188.88888888889","1211.11111111111","1185.7142857142858","1177.7777777777778","1257.5","1226.33540372671","1182.82051282051","1241.0714285714287","1238.4615384615386",""
"Bread sliced 500g","264.605","265.833333333333","262.307692307692","260.6666666666667","250.55","272.5","271.333333333333","262.0","283.076923076923","252.0","250.230769230769","213.63636363636363","275.0","208.0","235.83333333333334","239.230769230769","258.333333333333","253.63636363636363","260.0","254.0","222.30769230769232","212.72727272727272","231.66666666666666","229.16666666666666","229.16666666666666","214.44444444444446","208.0","230.0","230.0","230.0","230.0","218.33","277.545454545455","237.0","225.0","255.0","242.0","243.07692307692307","243.0","282.5","263.75","265.454545454545","276.0","275.0",""
"Bread unsliced 500g","243.735","253.333333333333","243.333333333333","232.0","254.0","263.333333333333","258.666666666667","344.1666666666667","248.125","220.833333333333","201.25","200.71428571428572","217.058823529412","210.625","189.28571428571428","198.66666666666666","190.0","204.615384615385","211.11111111111111","231.33333333333334","214.375","195.3846153846154","243.57142857142858","240.0","245.714285714286","230.38","214.666666666667","218.57142857142858","218.57142857142858","218.57142857142858","218.57142857142858","219.41","218.75","216.15384615384616","209.23076923076923","239.333333333333","230.0","232.14285714285714","238.33333333333334","266.6666666666667","247.30769230769232","242.857142857143","250.0","245.454545454545",""
"Broken Rice (Ofada)","272.73","320.44","316.66666666666663","328.9835164835165","400.0","398.9583333333333","399.47916666666663","381.25","385.786290322581","381.25","381.25","345.3155372604399","376.666666666667","376.666666666667","333.333333333333","251.21212121212122","302.094302442638","327.99461806428525","315.384615384615","326.666666666667","350.0","343.21","350.0","379.0","350.0","372.29","379.976678327503","381.04166666666","354.165","331.041666666667","341.041666666667","371.64","371.645021645022","322.3","289.138257575758","305.17900904935","317.708333333333","284.375","301.0416666666665","307.0175438596491","307.0175438596491","305.0","315.78947368421046","305.277777777778",""
"Chicken Feet","537.21","525.0","600.0","677.7777777777778","673.333333333333","680.0","676.6666666666665","652.45","650.0","685.0","650.88","580.0","600.0","618.59649122807","585.0","547.272727272727","575.0","609.090909090909","604.545454545455","616.666666666667","651.010101010101","568.686868686869","530.0","437.5","450.0","466.6666666666667","447.6470588235294","460.0","430.0","400.0","360.0","356.25","387.5","405.0","386.666666666667","400.0","416.666666666667","420.0","418.3333333333335","450.0","450.0","425.0","450.0","492.8571428571429",""
