"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","632.9992857142857","540.384615384615","533.588235294118","504.117647058824","500.210526315789","507.666666666667","506.875","537.3333333333334","494.285714285714","510.84","458.21","460.7692307692308","450.5263157894737","495.789473684211","540.444444444444","575.0","580.076923076923","556.25","428.111111111111","476.6666666666667","472.3076923076923","442.5","503.3333333333333","473.6666666666667","475.0","465.0","446.875","441.25","420.625","497.5","460.0","442.05","451.176470588235","430.384615384615","451.25","434.2857142857143","437.333333333333","465.3125","468.6111111111111","460.0","477.05882352941177","441.3333333333333","430.0","455.29411764705884",""
"Agric eggs(medium size price of one)","40.0","43.3333333333333","44.44444444444444","43.1578947368421","42.63157894736842","44.11764705882353","43.529411764705884","44.73684210526316","43.529411764705884","44.73684210526316","40.15","42.857142857142854","39.523809523809526","40.5","42.63157894736842","43.125","44.0","44.0625","38.84615384615385","41.25","42.72727272727273","44.0625","44.75","42.333333333333336","40.6666666666667","44.0625","41.5625","41.15384615384615","40.7692307692308","40.0","39.5","41.57","41.578947368421055","40.0","41.875","40.0","40.81","40.0","40.0","40.0","42.8888888888889","42.3125","41.3333333333333","42.22222222222222",""
"Beans brown,sold loose","277.1775","287.5775","291.0249042145594","303.5344827586207","320.619184455391","328.0451787994891","323.495651972045","381.048333333333","359.719029374202","281.0496867968132","263.2825","320.0297999148574","354.09110259685","328.887824606215","430.507662835249","392.0817369093231","397.37037037037","427.8416347381865","448.2758620689655","448.2758620689655","420.6896551724138","427.8416347381865","427.8416347381865","352.21674876847294","352.21674876847294","306.89655172413796","308.39080459770116","327.58620689655174","327.58500000000004","327.58620689655174","327.58620689655174","288.97","298.979885057471","310.345","327.58620689655174","310.3448275862069","309.310344827586","283.90804597701145","283.90804597701145","293.1855500821018","294.827586206897","298.979885057471","289.158178737745","281.858237547893",""
"Beans:white black eye. sold loose","242.50357142857143","242.621428571428","270.8292282430213","280.09125196531494","290.5454340101302","293.8504343676757","312.21089380799","323.903684210526","328.953373015873","305.859380251395","309.0381818181818","286.3074240761867","300.663291370188","291.29144700832535","303.8029556650246","318.0623973727422","319.744252873563","338.7096601092544","342.7227944469324","352.55815854193133","334.85326933602806","338.7096601092544","327.0906934700038","269.82517144788955","269.82517144788955","264.861714800863","253.770006676411","234.0833602327855","240.11722222222227","234.08336023278557","234.27830902475938","198.49","208.498476998398","259.43","225.59044882320745","235.21930655551347","241.391015115153","194.40191991916132","192.20310723759002","210.48199037618028","189.54698295469092","199.82505126633527","208.93822390715607","200.4777921550526",""
"Beef Bone in","1008.468","1114.231","1192.88537549407","1141.3793103448274","1167.51389305156","1142.90752351097","1113.11675697104","1006.1958333333333","1010.3819868135","993.119658119658","1083.33333333333","1207.5885526624443","1156.132756132756","1077.359432819203","1116.3686393587943","1048.1481481481483","1174.5963327859881","1114.8809523809525","1122.8395061728395","1133.2431916099385","1156.8586585827964","1079.6957671957673","1055.4945054945053","1021.1374095989481","959.9245483860868","948.1684981685","939.1136162687886","985.8641358641358","974.451","972.22777222777","1001.31868131868","1029.7","1002.67080745342","1062.5","1084.81481481481","1100.0","1156.16161616162","1105.952380952381","1070.98800505051","1114.28571428571","1075.37575259989","1067.67080745342","1073.23824757842","1061.97346132129",""
"Beef,boneless","1222.437","1384.663333333325","1334.375","1300.700280112045","1395.82162476899","1386.11111111111","1302.1756021756","1280.10866666667","1283.59756595606","1206.7222222222224","1250.0","1396.796641997128","1348.07692307692","1290.4761904761904","1227.4074074074074","1219.43319838057","1238.0952380952383","1264.814814814815","1267.878787878788","1270.59913119423","1225.7830404889228","1272.2222222222224","1251.7543859649124","1121.7948717948718","1144.871794871795","1067.032967032967","1054.38775510204","1075.68897768898","1035.80636363636","1077.164502164502","1090.47619047619","1100.15","1132.49084249084","1174.265","1186.7132867132868","1178.57142857142","1210.0","1186.23323013416","1194.9942332213802","1279.1666666666667","1250.0","1238.64468864469","1225.0","1229.55182072829",""
"Bread sliced 500g","254.25","299.1666666666665","280.0","310.0","308.3333333333333","316.6666666666667","338.333333333333","325.0","325.0","325.0","300.0","270.0","341.6666666666667","332.5","335.7142857142857","360.0","300.0","300.0","316.6666666666667","326.666666666667","332.5","270.0","258.3333333333333","275.0","275.0","250.0","230.0","241.66666666666666","241.66666666666666","241.66666666666666","241.66666666666666","271.42","292.85714285714283","250.0","210.0","225.0","250.0","242.85714285714286","242.85714285714286","266.6666666666667","254.44444444444446","251.428571428571","263.75","272.22222222222223",""
"Bread unsliced 500g","253.25785714285712","257.222222222222","260.7692307692308","263.125","260.0","256.3636363636364","262.14285714285717","277.85714285714283","275.384615384615","270.857142857143","254.28571428571428","280.0","307.5","291.428571428571","276.15384615384613","246.25","239.0909090909091","243.0","273.3333333333333","272.72727272727275","255.2","243.0","239.0909090909091","244.16666666666666","244.16666666666666","242.0","232.14285714285714","237.69230769230768","237.69230769230768","237.69230769230768","237.69230769230768","238.0","238.0","238.0","230.07692307692307","210.0","230.0","254.16666666666666","234.28571428571428","246.363636363636","230.0","230.0","233.33333333333334","225.88235294117646",""
"Broken Rice (Ofada)","298.375","298.992499999999","356.57165578646965","370.066740823137","386.20121409559","390.531691693767","399.454296786575","370.7875","380.637809052938","275.47447314703004","275.47447314703004","229.33494739790953","293.6650091745904","260.13959703843886","249.16977117265017","246.03172133761677","259.25775635215865","243.35098190975634","256.513594164456","249.866850907386","241.81170799799338","243.35098190975634","254.01588371878069","217.9925631015077","217.9925631015077","221.992082706275","237.6544886848","289.187241213747","309.18625","319.187241213747","339.187241213747","363.05","363.055280393288","377.16","350.855915224822","375.4672961138478","376.025867521647","311.65368928439005","311.65368928439005","344.82758620689657","312.4768866884289","323.437190442449","330.053879310345","331.280070309255",""
"Chicken Feet","612.55","625.0","600.0","677.7777777777778","688.888888888889","690.0","685.5","657.9","650.0","500.0","500.0","500.0","438.72549019607845","467.39130434782606","500.0","500.0","500.0","536.36363636364","489.44865484337686","490.27558367870313","483.333333333333","500.0","500.0","500.0","500.0","500.0","481.03","490.0","480.69","450.328","436.25","450.0","451.03","400.11","435.0","460.30709276534276","450.0","420.0","480.0","510.0","485.0","500.0","511.0","500.0",""
