"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","445.53","474.6666666666665","558.3333333333334","529.5","538.9473684210526","548.666666666667","510.0","501.0","498.666666666667","529.285714285714","534.705882352941","538.181818181818","418.411764705882","580.0","505.5","593.5","584.666666666667","580.0","515.0","530.0","469.3333333333333","502.85714285714283","502.22222222222223","500.375","503.75","488.0","467.5","392.5","432.307692307692","497.25","470.0","497.69","491.25","469.285714285714","488.57142857142856","507.894736842105","512.1052631578947","505.2631578947368","515.4166666666666","515.4166666666666","505.555555555556","530.7692307692307","494.6875","486.666666666667",""
"Agric eggs(medium size price of one)","52.29","52.0","50.25","47.27272727272727","45.526315789473685","46.15384615384615","45.0","48.0","46.0","46.15384615384615","45.2","46.53846153846154","40.0","46.666666666666664","45.0","47.27272727272727","46.0","45.666666666666664","48.23529411764706","48.125","42.94117647058823","46.42857142857143","46.666666666666664","45.2352941176471","45.0","42.3636363636364","42.6923076923077","40.625","42.9230769230769","40.0","40.3333333333333","47.14","47.142857142857146","46.0","42.7142857142857","43.0","43.0","43.0","44.0","44.0","43.4705882352941","46.92307692307692","46.666666666666664","45.2727272727273",""
"Beans brown,sold loose","316.87","421.57124999999996","479.20330187410934","457.726821789322","480.32","499.6412508031699","448.7634076449866","510.2377777777778","530.4207717569786","510.0","485.861538461538","452.738095238095","434.663382594417","474.6905362253938","503.193403298351","491.964442562269","503.420771756979","547.9983222674376","489.8248494800219","448.18520485997607","457.472826086957","462.65306122449","474.047619047619","449.824849480022","461.010971786834","438.684210526316","409.33014354067","428.035714285714","398.688","305.503911293385","283.9901477832513","309.93","353.804347826087","330.05","359.205937227288","331.17751702276877","325.745654825275","329.134199134199","287.280701754386","287.280701754386","272.708333333333","287.31884057971","309.858498260113","310.193236714976",""
"Beans:white black eye. sold loose","312.64","377.1856666666665","376.12797458951303","354.860890174479","360.56","395.21011508816383","371.6822730030277","431.09","443.12544670776373","414.6260878329843","414.6260878329843","413.572605965463","355.982122962821","423.5303741944927","476.03305785123956","428.919022518326","443.12544670776373","491.52777777777777","375.63999725764427","371.69596896159396","389.55891602950425","372.764490411549","327.285353535354","319.5437405731523","326.605394605395","331.23987454344604","309.747974247974","315.250721500722","307.885714285714","236.997713615361","209.407626687038","225.88","290.47407276012393","301.426666666667","350.49271602580427","348.9139141722552","345.052985209235","347.138658755038","329.246031746032","329.246031746032","315.412220521464","302.8080253080253","311.528101528102","315.342862265939",""
"Beef Bone in","1103.09","1026.39","1060.0","1052.0833333333335","1140.0","1191.87675070028","1345.37037037037","1537.5","1403.48623853211","1333.33333333333","1296.45555555555","1233.33333333333","1150.0","1167.6136363636365","1200.0","1150.0","1200.0","1275.0","1133.3333333333333","1150.0","1214.4927536231887","1140.0","1207.5","1166.6666666666667","1200.0","1200.0","1188.0","1196.08695652174","1173.33333333333","1129.05138339921","1130.0","1150.0","1108.0","1100.0","1092.266824085","1102.22222222222","1108.14814814815","1125.0","1097.29323308271","1097.29323308271","1088.88888888889","1140.0","1150.0","1152.164",""
"Beef,boneless","1348.87","1300.0","1411.11111111111","1399.30402930403","1423.076923076923","1432.79312237059","1234.7545219638243","1346.875","1376.61795070332","1430.30303030303","1343.64285714286","1279.13043478261","1300.0","1177.9220779220777","1278.395061728395","1262.88798920378","1341.11111111111","1366.6666666666667","1407.2226019594439","1395.0","1355.55555555556","1210.4166666666667","1225.0","1226.46301067354","1207.5","1160.0","1178.57142857143","1178.09298660362","1140.0","1122.22222222222","1120.0","1133.33","1200.0","1259.45222222222","1250.0","1256.71936758893","1226.92307692308","1207.55102040816","1266.6666666666667","1266.6666666666667","1203.5714285714287","1204.51998654311","1232.16216216216","1233.33333333333",""
"Bread sliced 500g","327.84","375.0","358.75","323.5","321.7647058823529","343.3333333333333","350.0","321.875","342.85714285714283","326.9230769230769","325.384615384615","318.75","325.0","350.0","328.1818181818182","328.5","342.85714285714283","330.0","340.0","335.0","357.85714285714283","331.8181818181818","355.0","320.0","344.44444444444446","329.1666666666667","305.714285714286","305.0","295.45454545454544","331.8181818181818","300.818181818182","323.63","342.3076923076923","323.0769230769231","340.90909090909093","350.0","353.57142857142856","339.166666666667","345.0","345.0","301.36","330.0","330.01","320.0",""
"Bread unsliced 500g","255.9","345.833333333333","343.333333333333","358.571428571429","353.333333333333","363.333333333333","358.333333333333","328.125","330.0","301.53846153846155","293.84615384615387","288.75","300.0","314.2857142857143","298.69565217391306","285.7142857142857","300.0","301.8181818181818","300.0","289.2857142857143","303.571428571429","291.818181818182","332.14285714285717","300.0","300.0","304.1666666666667","305.384615384615","303.090909090909","327.27272727272725","305.0","300.13333333333","284.54","295.8333333333333","304.54545454545456","300.0","312.5","311.53846153846155","312.5","290.90909090909093","290.90909090909093","284.615384615385","308.3333333333333","309.09090909090907","290.90909090909093",""
"Broken Rice (Ofada)","268.8","280.24","306.99","310.0","380.55","385.275","382.9125","381.349155","381.61609940849996","381.61609940849996","381.61609940849996","381.0","393.2534","385.0","369.75928543818964","370.0550928665402","374.93812610157664","378.49108879257017","378.4910887925701","379.96165273470825","379.73560862624834","372.01584","378.8685004972088","380.02","378.33128667679017","367.692307692308","357.272727272727","358.26","345.25","351.03","350.0","350.0","351.02","356.02","428.301886792453","450.301886792453","452.03","430.769230769231","391.666666666667","391.666666666667","388.03","410.832512820513","400.14","400.01",""
"Chicken Feet","856.0","1000.0","960.14","900.0","1000.0","1100.0","1050.0","1002.1","1000.0","1100.0","1000.0","1000.33333333333","950.0","985.24","1002.4731870537823","900.0","1066.6666666666667","1150.0","1005.8917509181058","1000.0","1050.0","1000.352841963","1000.0","952.01","1050.0","912.3","911.579","970.32","909.09","841.03","798.0","805.33","784.03","752.99","809.071142732177","850.0","800.215","800.6151075","855.0","855.0","850.89","832.3440215","800.01","788.23",""
"Chicken Wings","959.83","1100.0","1000.0","1077.77777777777","1066.6666666666667","1150.0","1108.3333333333335","1000.0","1050.0","1005.0","1000.0","1000.0","1100.0","980.0","1043.498170821879","1046.66666666666","1100.0","1100.0","1100.0","1100.0","1125.0","1000.0","1200.0","1100.01","1081.4796016382543","945.12","922.369","969.12","922.73","899.12","870.3","900.0","875.36","845.37","800.0","825.0","750.0","750.0","798.8571428571","798.8571428571","750.5","769.64285714284","760.31","750.18",""
"Evaporated tinned milk carnation 170g","128.43","130.0","156.66666666666666","164.0","162.0","170.0","190.0","190.0","189.5","183.33333333333334","183.33333333333334","180.0","186.66666666666666","178.57142857142858","150.0","164.0","182.5","180.0","186.66666666666666","180.0","196.0","165.0","153.333333333333","156.666666666667","172.68454672168764","188.32","180.0","153.33333333333334","175.0","170.0","171.02","150.0","152.03","159.01","180.0","150.0","150.92","168.75","200.0","200.0","185.02","250.0","200.0","188.01",""
"Evaporated tinned milk(peak), 170g","179.44","167.083333333333","191.53846153846155","198.0","195.0","189.66666666666666","210.0","204.0","205.625","201.93333333","201.93333333","199.714285714286","194.66666666666666","200.0","194.73684210526315","191.0","203.125","195.71428571428572","193.33333333333334","201.42857142857142","208.23529411764707","195.71428571428572","201.11111111111111","193.33333333333334","205.0","189.45","191.0","187.77777777777777","190.0","180.0","179.166666666667","191.66","196.0","183.07692307692307","192.0","198.94736842105263","191.76470588235293","198.88888888888889","200.0","200.0","195.2941176470588","250.71428571428572","202.94117647058823","195.01",""
"Frozen chicken","1796.39","2350.0","2375.0","2510.0","2325.0","2400.0","2000.0","1800.0","1825.0","1846.6666666666","2018.75","2000.55","2000.0","2000.0","1980.0","2090.0","2100.0","2214.28571428571","2133.3333333333335","2076.6666666666","2150.0","2175.0","2300.0","2500.0","2240.0","2300.0","2288.89423076923","2300.0","2350.0","2412.85714285714","2450.0","2485.0","2500.0","2525.0","2558.57142857143","2571.4285714285716","2495.55555555556","2450.0","2433.33333333333","2433.33333333333","2425.0","2503.33333333333","2545.0","2533.33333333333",""
"Gari white,sold loose","219.41","271.14725","313.383416416877","309.2389753104039","320.14","352.897690544749","383.305778022165","422.1244444444444","422.4199315555555","415.35","387.82","377.236227824463","366.823994615514","355.0","352.060227354345","325.197074167662","313.6098280804163","343.498886734181","334.578019443071","381.00588739169","312.97214895830814","297.79055258467","270.059548294842","224.4603723842478","255.94628321066457","269.060316434266","247.97520661157","191.457283457283","180.17357142857145","142.664078015107","142.13039225495","181.26","179.81060570574638","186.40571428571428","204.9206002331002","219.1725070595039","217.910084052103","205.29795322687482","197.7032227032227","197.7032227032227","192.552315043664","267.1140478983616","265.871944425543","244.018922254216",""
"Gari yellow,sold loose","238.38","308.02099999999996","392.49185999186","347.63605442176873","352.98","362.09127881922","377.570168801786","371.124444444444","371.3842315555551","369.107506639019","327.47499999999997","323.67455211818","311.0","300.0","280.9990662931839","339.260550373996","400.35330682389514","402.195467930762","400.334883065652","395.966857256831","401.09710550887","356.466546274239","282.2692013868485","231.334883065652","237.96827674159098","254.250700280112","240.01","223.39576856383582","208.33142857142852","154.2687074829932","154.610177404295","208.96","203.6511527688","208.91500000000002","224.9368686868687","249.117467959051","226.7184950109281","228.619467752249","194.87981316928682","194.87981316928682","201.733256651077","271.505845928115","260.439800336204","246.868131868132",""
"Mudfish (aro) fresh","935.6","936.36","951.111111111111","923.888888888889","1012.5","1144.4444444444443","1083.3333333333335","1014.62625","1016.17376775271","1083.33333333333","1100.0","1086.66666666667","1088.888888888889","1010.83333333333","1041.0763929153775","1066.3596491228","1069.44444444444","1100.0","1225.0","1150.0","1105.5555555555557","1150.0","1250.0","1015.90909090909","1103.7561288077134","937.5","900.70707070707","910.0","876.95666666667","850.0","800.0","825.0","800.0","837.5","923.36363636364","965.45454545455","901.03896103896","883.42767295597","900.0","900.0","887.41258741259","894.375844281504","833.33333333333","834.01",""
"Mudfish : dried","1741.39","2128.57","2203.63636363636","2535.01683501684","2523.72598162072","2620.85023701506","2572.2881093178903","2583.335","2585.1433345","2591.02564102564","2492.35","2474.69135802469","2639.45578231292","2443.7134294277153","2129.41176470588","1985.37758537759","1868.41397849462","1950.0","2007.7380952381","1977.77777777777","2107.14285714286","1802.5641025641","1643.75","1788.69047619048","1612.18518296473","1600.0","1581.65849673203","1440.4761904761904","1457.55166666667","1407.14285714286","1402.22222222222","1450.0","1475.0","1451.875","1508.88888888889","1537.5","1502.59","1470.34920634921","1505.0","1505.0","1450.0","1433.33333333333","1475.0","1428.57142857143",""
"Onion bulb","281.34","318.78249999999946","309.288499025341","290.55479923127","302.29185797367626","323.439725439725","321.597830510874","341.667","345.38095238095235","347.229853479853","302.80526315789473","300.020131629888","306.4583333333333","277.9657477025898","277.93320105820106","186.6429780632679","206.095238095238","256.00495270572","260.8492063492063","307.074592074592","312.8638768638769","245.13136863136862","279.8641411289633","213.9757834757835","228.632478632479","210.738241615435","204.0","266.568694463431","223.2475","270.58029689608634","239.848053181386","240.94","228.42671731560625","226.558181818182","261.329147043433","284.018838304553","211.102312321825","235.943562610229","238.90589569160997","238.90589569160997","207.222222222222","240.12836847285","226.608434300742","230.862433862434",""
"Rice agric sold loose","355.93","360.11","422.753381198865","384.166666666667","420.032051282051","453.17725752508363","449.234800838574","471.48","451.428571428571","429.937106918239","413.533333333333","401.0","413.788098693759","461.59029649595686","475.47169811320754","501.6463052633532","521.4285714285714","609.047619047619","608.459465063239","613.038219641993","569.230769230769","523.4681","488.459465063239","473.55380468588","506.037735849057","403.571428571429","396.214285714286","395.817936780201","375.0","330.185717247712","300.5","320.0","312.014652014652","315.0","304.761904761905","338.98809523809524","316.428571428571","317.24730458221","358.310871518419","358.310871518419","338.839285714286","357.142857142857","366.037735849057","365.714285714286",""
"Rice local sold loose","268.89","365.6532499999995","354.415796219524","306.8756261306866","421.370708073787","421.837093027697","421.60390055074197","413.2049999999999","413.49424349999987","396.340406948528","372.084210526316","367.917902360252","328.752435753638","329.7846771348436","354.7370440323689","368.0690972298181","338.7558556186007","352.33202061994376","313.209899431089","297.1028636821605","302.413806596659","302.448573179272","288.4174279290816","286.32","303.971831183115","291.03004046320996","268.91968325791856","239.293615872779","214.959285714286","259.985320275236","273.1565275682923","309.79","303.65498666040435","315.7","380.76534541352254","354.287261373327","346.147561400521","333.952664846993","292.0994377431669","292.0994377431669","297.800142826348","287.578220473471","303.16431435197","304.18",""
