"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","500.975","496.25","505.0","500.384615384615","503.846153846154","470.416666666667","480.0","456.9230769230769","450.5263157894737","432.384615384615","448.5","435.7894736842105","445.7142857142857","485.0","500.0","585.384615384615","575.789473684211","548.571428571429","446.6666666666667","451.6666666666667","452.85714285714283","447.0","469.3333333333333","437.083333333333","477.5","453.3333333333333","457.27272727272725","428.333333333333","453.055833333333","487.272727272727","470.7692307692308","449.0","451.25","473.0","442.0","438.3333333333333","439.375","455.7142857142857","495.625","472.85714285714283","468.94736842105266","447.27272727272725","450.52","446.3636363636364",""
"Agric eggs(medium size price of one)","53.881666666666675","51.0714285714286","50.1818181818182","49.9230769230769","45.3571428571429","40.357142857142854","41.92307692307692","58.666666666666664","57.5789473684211","40.714285714285715","40.21","41.31578947368421","39.642857142857146","37.857142857142854","40.0","41.92307692307692","41.578947368421055","39.285714285714285","39.333333333333336","38.333333333333336","40.0","39.23076923076923","40.0","40.2","40.75","39.9285714285714","38.84615384615385","37.1666666666667","41.81818181818182","39.54545454545455","39.61538461538461","41.66","47.142857142857146","38.888888888888886","38.666666666666664","39.166666666666664","39.666666666666664","39.333333333333336","42.375","42.5","39.72222222222222","38.84615384615385","39.23076923076923","38.333333333333336",""
"Beans brown,sold loose","330.10928571428576","356.18875","349.233945478703","332.9151702919951","333.64758366663744","347.69542464439473","381.5567387199196","372.395","381.63030194704805","374.882714838072","370.22","369.00759132433734","382.621328088254","370.78754578754575","401.231971153846","382.915170291995","381.63030194704805","389.047619047619","402.285853482757","415.54677960928","430.8680208680209","398.725503663004","395.1111146413513","377.36153125094","357.426824718491","305.508672239441","286.45550028428323","295.046501833505","293.615833333333","271.347373245011","261.473624984611","265.23","283.804347826087","247.58090909090913","229.75626325806832","214.155420602789","200.455914455914","210.34024490375","169.53601953601952","181.583912563273","192.463233953049","255.7717292201912","263.56917909614","269.15554978055",""
"Beans:white black eye. sold loose","288.8775","267.40339285714253","302.6671611828419","315.38124237731205","316.0750811105421","338.3745831711768","352.6112906642967","343.9525","344.1588715","330.47193282907574","330.47193282907574","318.06671589280285","325.78742245408915","323.03113553113553","330.0907261454393","315.38124237731205","321.65645948254644","326.866162474834","328.222910992142","345.891912320484","353.2380443630443","326.0386337309414","349.08111831188756","339.958772643653","305.674264007597","302.63744258387","288.048872584878","286.479331627743","294.428","263.975831916474","224.076379224086","260.11","290.47407276012393","293.808888888889","216.08686172350767","205.9213337831759","198.874643874644","194.412529910906","162.52991452991452","185.0351773736336","196.85006006881008","221.54814882087612","228.89216779242355","237.623403795279",""
"Beef Bone in","1010.99583333333","987.173666666667","1029.42176870748","1100.6393298059966","1163.6363636363637","1156.8919610855","1254.259991216513","1330.226153846154","1331.0242895384615","1205.820105820106","1205.55","1158.3333333333335","1132.14285714286","1134.94668911336","1100.0","983.6171388386579","1068.75","1082.5396825396824","1145.71428571429","1216.66666666667","1174.1847826086957","1133.2254129129128","1245.4545454545455","1253.33333333333","1170.0","1044.44444444444","1034.970238095238","1095.34339156843","1091.22285714285","1062.70325203252","1008.0487804878","1050.0","998.0","1003.096","989.083072100313","994.56335934597","998.581484","993.33333333333","1002.85714285714","1076.00453060011","1077.55102040816","1163.6363636363637","1181.02564102564","1133.33333333333",""
"Beef,boneless","1274.589","1287.063","1279.84126984127","1202.9055009318165","1376.9631898644495","1381.41504803055","1345.4095045500508","1130.4453333333333","1161.1415561715485","1116.6507024265645","1216.62352941176","1282.05128205128","1335.07540354223","1321.2857744107744","1171.4285714285713","1271.46172404411","1200.5996286818204","1214.07826988889","1271.68192480244","1290.45897284534","1301.92708333333","1182.2222222222222","1101.2454168659333","1117.64705882353","1204.61538461538","1197.273879966188","1172.62237762238","1170.0156127701916","1189.0553846153846","1174.54026325978","1195.35714285714","1164.04","1200.0","1250.70181818182","1303.32906305653","1320.0438537083","1297.8967120643986","1289.7502109145","1264.5713697230383","1208.102725065031","1214.75980754101","1237.75853775854","1241.14","1248.65800865801",""
"Bread sliced 500g","278.24","324.1666666666665","320.0","312.5","320.0","320.0","312.5","308.3333333333333","300.0","305.22","300.0","297.5","324.0","290.0","297.14285714285717","312.5","300.0","300.0","300.0","270.0","300.0","290.0","261.6666666666667","283.3333333333333","260.0","258.3333333333333","280.0","268.333333333333","260.0","266.6666666666667","290.0","292.85","302.307692307692","290.0","300.0","270.0","263.333333333333","300.0","290.0","275.0","260.0","325.0","316.6666666666667","307.5",""
"Bread unsliced 500g","256.27","280.0","304.54545454545456","280.0","285.0","277.27272727272725","300.0","273.6363636363636","295.45454545454544","271.6666666666667","270.307692307692","270.0","306.666666666667","295.55555555555554","285.53499602021543","270.90909090909093","287.27272727272725","284.1666666666667","280.7692307692308","289.09090909090907","286.3636363636364","284.545454545455","265.38461538461536","285.4166666666667","295.45454545454544","286.3636363636364","277.77777777777777","270.0","295.45454545454544","281.8181818181818","286.3636363636364","293.75","295.8333333333333","295.45454545454544","281.8181818181818","285.7142857142857","280.0","283.333333333333","275.0","281.8181818181818","244.44444444444446","313.3333333333333","302.222222222222","290.0",""
"Broken Rice (Ofada)","325.785","316.43","380.0","440.95238095238096","500.0","550.0","555.0","525.11","526.0","526.0","526.0","525.0","520.0","520.0","505.35651986537044","469.8412698412699","498.3992632355468","502.3733846215856","500.5","500.0","500.0","499.581927","506.9225855804841","500.0","501.76671562045635","500.09","465.321","466.03","480.12","470.09","430.23","450.0","431.06","433.89","462.1764290108586","450.0","446.478873239437","433.702213279678","416.901408450704","400.02","399.02","361.8421052631579","366.15","370.12",""
"Chicken Feet","746.175","900.0","916.6666666666667","933.333333333333","1050.0","1054.45205479452","1166.6666666666667","911.11","910.55","905.0","960.0","959.5","960.0","935.0","969.0833138981733","975.0","1100.0","1150.0","1191.6666666666667","1200.0","1160.0","1180.0","1086.6666666666667","1000.0","1122.5","1005.41666666667","986.666666666667","985.41666666667","916.666666666667","873.33333333333","826.19444444444","865.0","830.15","800.0","800.0","816.66666666667","766.666666666667","740.0","766.66666666667","684.857142857143","656.66666666667","666.66666666667","657.72727272727","648.23",""
"Chicken Wings","856.57625","925.0","930.0","956.944444444444","1075.0","1050.0","1120.0","1150.0","1150.6899999999998","1120.68","1075.0","1065.0","1025.0","955.0","1053.5392356744478","937.5","986.6666666666666","1058.33333333333","1066.6666666666667","1166.6666666666667","1283.3333333333333","1066.6666666666667","1107.142857142857","902.0","1002.08333333333","952.08333333333","931.428571428571","958.33333333333","906.666666666667","852.08333333333","821.11111111111","866.66","851.03","822.5","833.3333333333334","830.33333333333","783.33333333333","780.0","816.66666666667","756.66666666667","746.66666666667","813.33333333333","803.86363636364","780.145",""
"Evaporated tinned milk carnation 170g","136.47","140.0","150.0","163.33333333333334","172.5","165.0","168.0","170.0","180.0","165.0","165.0","176.0","172.5","170.0","170.0","163.33333333333334","173.33333333333334","170.0","170.0","175.0","150.0","140.0","140.0","170.0","170.0","160.0","168.0","150.0","163.33333333333334","150.0","150.0","150.0","159.34","163.33333333333334","150.0","150.0","150.0","150.0","150.0","149.02","153.333333333333","153.33333333333334","155.0","150.0",""
