"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","596.9957142857143","591.818181818182","586.315789473684","526.315789473684","528.421052631579","526.5","468.2352941176471","492.63157894736844","473.6842105263158","461.25","459.411764705882","473.8888888888889","400.0","490.5263157894737","512.772727272727","482.380952380952","462.3529411764706","496.923076923077","477.037037037037","503.809523809524","469.2105263157895","468.0952380952381","447.0","475.0","461.57894736842104","445.88235294117646","448.69565217391306","439.444444444444","440.0","495.263157894737","468.125","467.3","465.25","465.7142857142857","492.10526315789474","454.5","451.363636363636","465.2631578947368","480.75","565.7142857142857","498.0952380952381","500.0","517.5","520.0",""
"Agric eggs(medium size price of one)","50.73785714285714","54.1363636363636","51.0526315789474","49.4117647058824","49.2777777777778","45.4285714285714","40.88235294117647","41.1764705882353","40.3125","40.15","41.51","40.9375","35.0","40.78947368421053","40.65217391304348","39.04761904761905","41.13753365522114","39.23076923076923","40.18518518518518","42.5714285714286","40.26315789473684","41.75","42.5","42.25","40.0","39.705882352941174","40.65217391304348","39.411764705882355","40.476190476190474","39.21052631578947","39.8947368421053","40.55","40.526315789473685","38.5","41.578947368421055","42.3529411764706","39.09090909090909","39.473684210526315","40.6666666666667","47.3170731707317","42.4761904761905","42.6666666666667","43.5","45.3333333333333",""
"Beans brown,sold loose","416.6971428571428","418.1005","395.170220725776","358.9621707268766","388.764315820501","412.5266297457621","424.5615028078729","488.1273684210526","484.873949579832","480.7620800030666","472.7933333333332","417.5553422612246","417.5553422612246","420.4985120411618","455.47314735155175","461.7142239086337","400.0","457.550323173603","495.89569383257657","467.7570206244041","498.7434046177679","494.22647527910686","466.09250398724083","468.1212121212121","467.454545454545","393.376906318083","376.826420559041","374.313493496797","343.476","310.6003876140629","269.83778783589025","265.13","270.4855001629195","268.13142857142856","263.6315814190762","259.68786867563284","287.604440532032","255.5597021114262","253.04659498207883","299.9156061021431","268.48363483914954","295.0710555820401","295.6309287122717","290.759723269215",""
"Beans:white black eye. sold loose","364.84888888888884","354.7301249999995","356.5603283470344","348.41946735282716","386.966824934157","411.2194641734445","409.9213321502011","402.10699999999986","406.2701851191082","395.79321955184","395.79321955184","404.781896039502","450.0","409.79865197651037","453.27137394934005","441.54308466681687","526.363636363636","530.74856612098","443.5559977208825","446.56449553001266","455.3068494992269","400.923369465934","400.577182304242","443.5769186114015","440.0","398.28865092023","386.897339463703","369.638149311352","391.97649999999993","307.0387785905028","272.937839258079","306.57","315.232912043257","296.1433333333334","282.70948134568476","299.91651600847007","306.6599773834995","295.7490246379136","304.4328340880066","300.416878220221","296.04293455534327","305.412591940216","319.6662835029297","310.292871241147",""
"Beef Bone in","1008.1641666666667","1025.55571428571","1124.7747747747749","1055.5555555555557","1132.6446280991734","1169.06939214631","1111.11111111111","1122.83166666667","1192.12962962963","1129.1666666666667","1151.19","1525.925925925926","1525.925925925926","1314.46280991736","1126.1904761904761","1090.7407407407409","1500.0","1320.58823529412","1256.79012345679","1230.0","1172.2222222222222","1110.5555555555557","1024.0740740740741","1122.126690182246","1223.809348568777","1130.7692307692307","1126.50793650793","1155.40069686411","1145.58692307692","1163.63636363636","1149.4252873563219","1095.25","1129.36117936118","1120.47076923076","1160.8024691358","1175.18518518519","1148.73737373737","1188.2575757575758","1223.54497354497","1294.6741687827","1288.19444444444","1283.54059340192","1243.3110367893","1205.4347826087",""
"Beef,boneless","1363.3141666666666","1378.88323863636","1320.91161616162","1264.9122807017543","1404.3859649122805","1472.62649006246","1451.50584795322","1673.782","1640.5695611578","1633.33333333333","1691.17705882353","1689.19054801408","1389.1905480140774","1207.1778955399645","1238.763575605681","1250.97222222222","1344.02217025629","1324.7052225766818","1326.0467980295566","1522.5","1325.1322751322753","1266.6666666666667","1319.04761904762","1264.1137566137565","1312.5472172643103","1284.80392156863","1267.4603174603176","1248.7745098039215","1211.50318181818","1264.0350877193","1241.424870349289","1275.92","1306.84210526316","1276.5454545454547","1329.48292448292","1318.3404558404557","1329.15057915058","1230.591168091168","1282.171717171717","1374.92415209327","1322.50566893424","1350.46296296296","1364.76608187135","1354.43121693122",""
"Bread sliced 500g","308.05","304.0","299.52380952381","289.4736842105263","294.210526315789","307.6190476190476","291.1764705882353","272.22222222222223","266.6666666666667","258.461538461538","250.235294117647","309.375","350.0","328.210526315789","339.52380952381","297.6190476190476","295.557353429896","296.3157894736842","305.17241379310343","295.0","297.36842105263156","295.7142857142857","305.0","306.5","308.81690716808","291.6666666666667","274.761904761905","287.77777777777777","288.6363636363636","205.263157894737","247.894736842105","298.21","288.8888888888889","292.962962962963","290.55555555555554","295.23809523809524","288.0952380952381","288.8888888888889","295.8333333333333","325.0","325.0","311.5","316.5","318.125",""
"Bread unsliced 500g","265.81","256.3888888888885","259.0","253.88888888888889","260.0","250.0","238.0","267.5","272.22222222222223","265.0","256.25","250.0","300.0","252.77777777777777","298.8095238095238","252.27272727272728","262.9618176182585","241.30434782608697","256.07142857142856","247.61904761904762","252.6315789473684","243.1818181818182","252.5","238.0952380952381","257.4916956804372","255.55555555555554","254.54545454545453","263.1578947368421","275.0","247.22222222222223","255.55555555555554","250.0","245.0","242.22222222222223","244.73684210526315","259.5238095238095","252.38095238095238","260.5263157894737","253.57142857142858","300.0","282.5","286.666666666667","286.666666666667","278.94736842105266",""
"Broken Rice (Ofada)","720.6125","712.3041071428565","709.2592592592592","705.555555555556","699.4047619047618","698.090277777778","689.307048984468","566.3438461538461","562.301903919034","548.267622461171","548.267622461171","575.8586480569239","641.6666666666666","588.6936763952893","566.5756129420005","578.2362676253297","602.58064516129","661.463355834137","610.5449056118276","578.6887694145759","539.1308038366861","522.222222222222","608.9592760181","581.0457516339869","540.0","557.4216428995841","540.885854341737","530.0137598899208","510.515333333333","534.0511628462292","516.477272727273","523.57","543.0088702147526","504.604375","526.9675925925927","551.588073111792","548.459870059135","585.984848484849","612.8968253968253","644.141425501074","615.397711607389","639.319551258787","677.946052076745","641.846405228758",""
"Chicken Feet","998.8283333333334","970.0","950.0","916.666666666667","1025.0","1100.0","1140.0","1066.6666666666667","1067.2","1000.0","940.0","1141.6666666666667","1141.6666666666667","925.0","875.566","792.8571428571429","811.79842771574","875.0","1036.3636363636363","970.0","1033.3333333333333","900.0","850.0","850.0","916.6118912707565","828.571428571429","833.3333333333334","850.0","820.0","800.0","780.0","812.5","784.0","720.21","700.0","726.666666666667","704.078947368421","720.0","755.0","820.0","742.85714285714","766.66666666667","812.5","816.66666666667",""
