"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","476.933333333333","471.666666666667","477.0","526.875","500.0","500.538461538462","480.0","452.10526315789474","463.57142857142856","470.615384615385","465.55555555555554","458.75","450.0","525.0","482.6666666666667","483.75","520.571428571429","548.260869565217","475.625","476.6666666666667","470.7692307692308","500.0","477.3333333333333","476.875","478.0","452.5","434.615384615385","416.363636363636","409.333333333333","485.076923076923","456.923076923077","483.63","471.53846153846155","479.2857142857143","476.15384615384613","475.5","445.23809523809524","478.42105263157896","460.0","462.857142857143","464.117647058824","533.3333333333334","525.625","490.0",""
"Agric eggs(medium size price of one)","51.71166666666667","51.6666666666667","52.0","49.0","45.1428571428571","45.3076923076923","41.333333333333336","47.8947368421053","48.6666666666667","41.53846153846154","41.0","40.75","40.0","42.0","37.666666666666664","45.625","40.666666666666664","42.38095238095238","41.333333333333336","42.30769230769231","40.0","40.0","42.666666666666664","41.333333333333336","42.0","41.25","40.0","40.90909090909091","40.0","40.0","40.4615384615385","41.81","40.76923076923077","40.0","41.53846153846154","40.0","40.0","40.0","40.0","40.5","42.10526315789474","44.5384615384615","45.0","43.0",""
"Beans brown,sold loose","325.74199999999996","340.786","342.79999082816","353.9405224341672","354.6837975312789","350.1206416555239","373.18953347122357","364.168666666667","368.06972370352656","347.802150361645","344.4375","343.385992346653","338.56354306208607","342.19803185320427","302.7261272437661","327.9185368621988","368.06972370352656","372.714622658351","385.343198468198","409.54545921763014","398.818364733858","395.23346978422256","388.7883495095735","357.843198468199","346.57528504359493","309.575229152694","337.12678369064963","350.215381831076","295.7744444444445","261.569416498994","284.8948865607437","248.38","306.49151318165406","305.774444444444","293.90230270511967","255.6602449948735","251.852031730614","253.226022803488","284.1747454423511","211.58391256327315","222.976964350204","232.37607462959576","240.587663914522","248.093886039491",""
"Beans:white black eye. sold loose","280.8183333333333","274.112083333333","266.7199467199467","310.88284514781","311.5356991226204","320.930598622682","314.8527534200191","302.6411111111111","309.6156712353896","298.655224767831","298.655224767831","291.885964574163","283.21876439894896","288.071486652412","252.7878381399509","263.88284514781","309.6156712353896","312.531430643619","360.11877011877016","335.15220411772134","328.2905982905984","308.96498755230675","328.82502113271346","320.11877011877","310.269688331447","317.441146881288","298.2383813369729","293.595663595664","283.48062500000003","281.9929453262787","239.93240942159608","224.97","237.91238555593918","283.48062500000003","252.8379256211769","229.63741265819684","228.67177522349937","234.39263029155322","212.7231336738379","185.0351773736336","200.548205607029","215.35959806457797","220.985221674877","225.439456663352",""
"Beef Bone in","1086.5766666666668","1037.5","1190.0","1000.0","1107.142857142857","1000.94537940691","1136.07817303469","1312.7194736842105","1233.6025086025","1166.6666666666667","1200.33333333333","1200.66496163683","1108.97435897435","1115.0","1278.095238095238","1085.7142857142858","1145.4545454545455","1220.4545454545455","1275.0","1269.2307692307693","1250.0","1060.9676390881557","1200.0","1171.0526315789473","1208.57142857143","1107.69230769231","1128.18376068376","1132.17391304348","1036.75222222222","1004.19101223979","1052.61904761905","1090.0","1071.46742146742","1036.75222222222","984.7997318585554","1012.82369804109","1009.64285714286","1055.21052631579","1075.0","1026.00453060011","1041.90476190476","1097.53984753985","1100.14","1059.33333333333",""
"Beef,boneless","1356.1908333333333","1357.142857142855","1370.0","1329.7619047619048","1361.5384615384614","1378.40909090909","1399.87829082875","1260.0","1307.27272727273","1346.1538461538462","1236.3333333333333","1255.6826849733","1300.0","1300.0","1236.3636363636363","1296.4285714285713","1277.2727272727273","1195.2380952380952","1223.076923076923","1273.076923076923","1260.0","1284.5238095238094","1306.66666666667","1245.2662721893491","1200.0","1220.0","1200.0","1221.4285714285713","1210.0","1136.36363636364","1152.33903119279","1191.66","1231.53846153846","1260.0","1246.1538461538462","1274.13043478261","1233.33333333333","1211.11111111111","1227.7777777777778","1208.102725065031","1213.62193362193","1238.4615384615386","1254.54545454545","1234.73684210526",""
"Bread sliced 500g","259.1933333333334","279.1666666666665","270.0","279.1666666666667","308.3333333333333","310.666666666667","300.0","328.57142857142856","335.0","295.0","291.6666666666667","286.923076923077","320.8333333333333","313.6363636363636","330.7692307692308","303.333333333333","335.0","320.5882352941176","332.14285714285717","330.0","316.6666666666667","325.0","358.3333333333333","303.57142857142856","333.3333333333333","300.31","288.571428571429","280.0","237.5","231.818181818182","218.181818181818","238.88","266.666666666667","260.0","304.4","322.22222222222223","320.909090909091","321.666666666667","350.0","305.0","300.666666666667","385.0","357.5","348.415",""
"Bread unsliced 500g","252.231666666667","238.333333333333","235.0","250.0","250.769230769231","262.307692307692","291.6666666666667","262.5","280.7692307692308","240.83333333333334","240.0","235.0","255.0","262.94117647058823","290.625","290.769230769231","272.3076923076923","285.0","290.625","289.2857142857143","300.0","281.8181818181818","320.8333333333333","290.625","300.0","287.692307692308","277.77777777777777","264.166666666667","290.625","351.538461538462","312.5","286.36","273.0769230769231","270.15","292.3076923076923","272.72727272727275","269.285714285714","270.0","306.6666666666667","281.8181818181818","298.35","338.46153846153845","309.285714285714","300.272727272727",""
"Broken Rice (Ofada)","321.16","323.1025","340.344827586207","280.84291187739467","386.666666666667","389.35960591133","385.862068965517","375.743333333333","388.965517241379","268.9655172413793","268.9655172413793","252.567049808429","265.3542678","257.036124794745","275.86206896551727","340.102171136654","328.965517241379","287.35632183908046","327.8787878787879","356.726499763817","282.43021346469624","220.68965517241378","269.310344827586","327.8787878787879","352.325529992475","375.862068965517","354.342828585707","316.5024630541872","301.606","307.241379310345","339.080459770115","289.77","306.896551724138","301.606","325.873563218391","306.829501915709","304.48275862069","300.8757525998905","275.86206896551727","289.54","301.428571428571","318.9655172413793","320.195402298851","329.852216748769",""
"Chicken Feet","1009.4300000000001","1100.45","1116.66666666667","974.458874458875","1000.0","1000.0","1033.33333333333","980.21","978.333333333333","833.3333333333334","857.1","846.666666666667","820.0","750.0","926.6824596984402","969.6969696969696","1100.0","905.2467127486749","1000.0","1000.0","1000.0","1025.0","1170.83333333333","1000.0","966.0176397917384","900.0","885.333333333333","750.0","711.11333333333","673.33333333333","650.0","700.55","663.2","596.66666666667","650.0","635.71428571429","629.67","625.0","650.0","592.857142857143","581.32","550.0","523.15","513.33333333333",""
"Chicken Wings","873.04","1100.0","1000.0","985.714285714286","1000.0","1020.68965517241","1000.0","1100.0","1125.0","1150.0","1098.55","1096.66666666667","1103.2466666666699","985.0","1053.7581053204156","1016.66666666666","1000.0","1100.0","1000.0","1125.0","1250.0","1200.0","1166.6666666666667","900.0","1070.6672316982504","906.25","909.09090909091","935.5","875.0","809.72222222222","750.0","733.33","766.66666666667","765.0","725.0","764.28571428571","750.0","760.0","750.0","701.38","625.0","715.0","698.15","679.165",""
"Evaporated tinned milk carnation 170g","123.2","140.0","145.0","160.0","166.666666666667","170.0","165.0","180.0","181.666666666667","170.0","170.0","160.0","180.0","175.0","150.0","160.0","176.66666666666666","178.0","178.0","190.0","190.0","150.0","180.0","165.0","172.21564812157183","170.0","169.21","150.0","158.12","155.0","150.0","163.33","150.0","159.26","150.0","180.0","150.0","150.0","150.0","140.88","142.03","150.0","142.17","146.666666666667",""
"Evaporated tinned milk(peak), 170g","155.496666666667","162.083333333333","188.1818181818182","198.66666666666666","197.857142857143","191.07142857142858","200.0","198.94736842105263","201.47058823529412","194.66666666666666","194.66666666666666","194.5","197.64705882352942","195.0","175.0","198.66666666666666","198.23529411764707","185.78947368421052","184.375","185.3846153846154","190.76923076923077","175.0","190.66666666666666","184.375","190.66666666666666","194.375","193.333333333333","197.5","200.625","198.46153846153845","185.71428571428572","195.55","195.0","196.0","195.71428571428572","194.21052631578948","193.5","191.0","200.5","196.25","190.15","193.07692307692307","188.2","197.5",""
"Frozen chicken","1049.745","1200.0","1266.66666666667","1200.0","1225.0","1212.5","1218.75","1145.89","1200.0","1300.0","1392.0","1370.0","1379.59","1450.0","1376.76250030941","1320.0","1200.0","1200.0","1210.0","1200.0","1200.0","2000.0","1500.0","1500.0","1462.82310842433","1400.0","1410.0","1500.0","1800.0","1870.0","1925.0","1905.0","2003.59","1980.0","2000.0","2000.0","1997.56","1980.0","1980.0","1933.33333333333","1857.26","1800.0","1782.14","1750.19",""
"Gari white,sold loose","212.39916666666664","224.437083333333","259.0318772136954","310.75487012987014","311.40745535714285","352.1152855081427","341.245791245791","290.0915","307.893447948423","278.636363636364","256.977777777778","255.166570081828","215.867932397508","200.0","237.051282051282","220.75487012987","224.95227147783498","233.489822806593","188.49905303030303","180.84479559849","184.761904761905","160.0","172.025711662075","183.34990530303028","175.53234470775","174.444444444444","149.82683982684","155.258075258075","146.096","138.57142857142858","125.71428571428571","114.16","133.77622377622376","146.32714285714286","122.09790209790208","117.0","118.94736842105263","120.333333333333","131.73160173160173","140.648830764309","142.497853024169","219.025974025974","225.0","243.71610845295058",""
