"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","","MoM","YoY",""
"Agric eggs medium size","512.9883592683593","520.157132657132","507.6944971537","518.6578914627441","522.7131248387728","514.6559591219035","498.49535387586445","485.187182866556","487.50918604062815","472.8515244227876","463.1138312401625","494.43063568692435","437.12764565353575","519.068630208195","527.3187987394201","552.0895022992147","548.6587512938047","539.7515116438462","471.75403837665135","474.1328696075596","472.73038576987693","482.89535363087026","477.75600787264074","466.9653820382936","469.8580349914379","464.2696769585315","459.807400617443","467.176525391135","464.8683297806791","495.3260184695557","468.314416702928","461.88737544864864","456.80723187247594","462.45823598248586","463.91482373965346","457.80023118762927","454.17358247197467","448.2640946474885","461.14957735058505","476.7167064706541","462.4588199515099","472.82589636268165","474.11817245485065","478.97044052610244","","1.023430096789605","3.6985347479697555",""
"Agric eggs(medium size price of one)","47.418103135603126","42.903736973589886","43.9275229357798","46.21802112746385","45.7348691292142","45.277477832464854","44.317875555920814","42.917186440678","45.716162980904755","42.06263872165407","40.8158837882365","41.323472429797896","38.84745548741245","41.271213787947204","41.208405662497874","42.24570850675329","41.765273946008705","41.38071285980123","41.22020344901252","41.79148274739439","41.167788457857135","41.72844893800776","42.40260722737503","42.57913575119458","42.18242100718027","42.23381473978459","41.91978721218769","41.945393363635965","42.819170938192684","39.30776805544608","38.38237897366071","40.569004","41.29930230999998","40.51436578063675","41.1814254181282","40.716587359291175","40.17185644500619","39.29444955376007","39.896310100560804","41.53528183633442","40.836299834497346","42.17644444497879","42.45374516015146","42.77758586890653","","0.7628083400732147","5.444013042337761",""
"Beans brown,sold loose","353.60417160992165","337.11085205822684","353.27723715140934","357.1920356815319","365.8569268631485","374.25511452673265","382.34527489783846","370.252746031745","404.83745607609967","382.57931429076586","369.7799978334243","361.97303852953166","385.5267908451466","387.4843748207461","395.34303426705674","395.19079664289853","407.730213412372","418.78455135604435","411.01575474309567","410.1620935478885","416.0696169490245","411.0455644072039","396.7339546916167","386.7769086699211","382.7634705108083","373.90835146860593","368.07397716155174","372.8369101946139","365.32482062623075","342.82395297516325","327.18216094062865","307.26621621621615","318.99490388756766","308.93391385443886","307.2996444434821","299.48008871868717","285.61036658518765","276.2981486174455","267.806783546108","277.05419247438226","277.4915877094934","289.88894845775144","300.26225109556697","305.4343018880154","","1.7225111626843426","-0.5961977697254153",""
"Beans:white black eye. sold loose","305.53051545864037","309.851381219359","318.45395382841417","324.038538376009","332.2846116065131","339.6430586192249","343.96326262057573","335.7052962962965","358.1257548348612","342.051038218698","337.0910342958943","314.9259271233519","344.5152360639826","348.5522442195348","357.03846061507187","355.32252307976654","367.2330505862188","369.4286005987671","361.32783120070883","361.6767707844506","362.7051299667171","354.21546267666923","346.4135047487834","344.72040465946986","336.72329908772883","338.05171147105057","330.75610775069754","329.4527410281045","329.6626530880303","311.4031394567696","289.7763287573961","273.7105405405406","285.7373979060114","292.00241581098874","284.65010339333764","281.5964896713775","268.7976544911586","255.25190987872506","241.74138252783706","250.32903722449777","251.4342796199996","259.38597706637677","268.37897812337735","274.8041701537452","","2.39407425845928","0.3995569958850801",""
"Beef Bone in","1001.2428211506959","995.6484486699475","1010.290508576462","1035.4460748619713","1123.653344996366","1129.0180024221308","1128.936442267362","1151.38123529411","1078.4904605792326","1081.3018960022953","1065.5923023920936","1067.7305466247658","1045.5547206334936","1017.2792796052088","1024.6353164636412","980.2587678666363","1011.1081965486336","1034.5660085289553","1028.1213140420955","1061.7830157536298","1027.6588556669233","1003.346558040869","998.6652000039543","997.7264545596624","994.2045787402578","980.5430904112294","980.1240148624811","1025.262657656751","1023.3902330350446","1003.1952940295769","1009.6889540108848","1007.3891891891892","1021.8352982940536","1025.6933665205006","1026.242121550314","1045.858321418803","1031.531738945489","1035.382798721286","1025.4759008553142","1047.1154446418332","1053.4715543652494","1069.8528569034438","1075.6760054251622","1064.272401924589","","-1.0601336687868053","5.64659749636415",""
"Beef,boneless","1249.4835182325182","1270.6726841581815","1281.707164045722","1323.0974066414033","1378.9146561276928","1393.4175069513528","1376.9084935382803","1276.85393258427","1324.9347946932533","1312.7307900536914","1286.8569691234507","1236.4393952201754","1298.6986189001755","1274.7142027681377","1262.5076812533464","1257.7345951248103","1275.765836017509","1271.5419119083435","1262.7298403646118","1281.0155892605846","1281.6417873777752","1260.594996351062","1251.4453840379804","1270.8078145656584","1273.9905688667836","1254.988647397668","1253.4796471166162","1271.09840679115","1268.954129364594","1240.4400861278868","1246.7812408362818","1244.2270270270271","1257.5790440885557","1281.593481124501","1293.00250296949","1292.524688341996","1289.7976188669077","1279.6018322792493","1276.1043417175147","1307.6834932945667","1306.4700991517595","1317.0430426593762","1330.8270981769783","1339.7374868021595","","0.6695376610069805","7.676288788176093",""
"Bread sliced 500g","302.87194044694036","299.7499647499646","297.50588235294117","296.6296423937078","307.7010710412339","320.58027805106656","314.474888240368","304.19878296146044","310.6188890289366","305.88451855213464","298.96381780863203","290.05099936020986","313.43236683547775","314.1733689947118","305.8782675326793","306.5426962227003","305.97991136954926","308.00482676630327","305.25150815034175","307.9664136850838","303.84457373273165","299.1935152991694","305.4773799616309","296.91416527008624","300.61310760288364","299.1094701381389","299.9779230938819","297.8681930099421","297.2752522129644","292.73147912273294","293.4899654212734","301.3617643513514","302.5861918135603","296.55546615122495","299.59274743274744","304.0593244893245","302.4480404704677","303.05925358219486","304.60223046636077","316.549947697073","315.00330649359506","320.0986462563377","318.55735566323796","312.7422861738341","","-1.8254387745330398","3.7763655409232313",""
"Bread unsliced 500g","270.25064234803403","264.85971010970997","262.3312883435583","277.6946073919758","282.25682621641954","286.77823213775224","285.5516640978884","258.70386690647","286.33187563955215","280.33970600880804","274.32495326612974","268.231059665011","282.1186493037853","284.3567250183973","278.6132782005934","278.61420125614495","278.1067748668847","275.595412178624","272.70718150865207","278.2651616529639","278.5703536416923","272.9094638902223","277.86653133500965","271.1368315381474","272.96913528013533","271.74248773327514","273.1435059261129","271.48714052295486","272.0883064743805","274.485298705887","271.02303991136057","275.40324324324325","275.88782911491825","278.65857987343145","280.51003199661096","277.7925991551843","276.2550235341461","275.2001479031665","278.79223458790017","288.445909657984","285.1688742195682","284.51110248685006","287.7390878651911","283.9740631585187","","-1.308485661300343","3.112098395916657",""
"Broken Rice (Ofada)","377.4065394144144","392.03910426929383","421.53795379978","425.5257904814282","460.09782569663787","472.2879976877162","473.40230566973935","415.34006289308","431.59345488659125","416.1849602610328","417.2374579264205","319.8617304203215","413.18860828173683","405.69389573622993","399.4651108939263","400.93658501547264","405.0275069152309","404.4335846830389","403.5599503786067","397.2946991401961","384.4947561897338","370.2115579096849","385.60933193181296","381.64353986083984","382.14916524931056","385.8121256562729","382.44508249421943","381.12934952127625","377.774799369564","373.49154343812114","367.4400285352398","366.2209770440275","370.3016552963881","371.8910499673113","396.86305762831364","406.9368398000148","409.3132292358094","404.3214908762131","390.5426676145585","408.0522874323584","405.58435667675894","420.314487700036","426.36349421149737","429.8097756004461","","0.8082965440843252","17.363505244751135",""
"Catfish (obokun) fresh","899.5807446584071","885.130306633329","884.1463860272682","886.6516114908986","900.7332926505842","916.548776249384","910.5730846408815","921.1702900319964","894.5220692763124","906.9438288321943","902.018048558527","919.8211455656831","1014.6170438857827","1037.3289229104644","1008.2825676464283","993.5437606193354","1013.1115503843733","1062.4335893169252","1064.7424916748018","1088.94585033244","1089.2526355566456","1080.3836789246716","1112.0912259458137","1060.8253869115824","1073.505678786801","1066.3851668815053","1065.1367184292794","1082.0060236374927","1063.031298024872","1024.675512827863","994.2084706513687","1008.3243110810813","1002.5337470080108","1004.3764858262297","1027.7613875030372","1043.4126470075378","1025.133648829724","1022.8407647387317","1027.295320525423","1048.8995491293804","1044.1287827274475","1058.9033318830786","1061.2497454400473","1056.5825174003364","","-0.43978602207113543","4.785980640248055",""
