"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","480.38","496.363636363636","550.0","532.857142857143","560.0","524.615384615385","530.0","494.11764705882354","495.333333333333","490.0","516.666666666667","450.0","448.0","560.0","570.0","585.857142857143","572.0","525.0","481.875","512.8571428571429","480.0","512.0","514.2857142857143","479.375","491.42857142857144","435.0","418.153846153846","413.076923076923","418.333333333333","480.0","442.115384615385","460.0","455.0","448.3333333333333","480.0","458.57142857142856","448.75","456.6666666666667","462.6666666666667","453.6666666666667","455.0","479.8","458.40909090909","459.52380952381",""
"Agric eggs(medium size price of one)","51.699285714285715","50.0","49.2222222222222","48.0","49.166666666666664","45.5","46.42857142857143","45.61","46.2727272727273","44.0","44.85","40.714285714285715","39.166666666666664","43.92857142857143","45.0","45.0","42.27272727272727","40.357142857142854","42.35294117647059","43.333333333333336","40.0","41.42857142857143","40.0","42.35294117647059","42.2857142857143","40.5714285714286","42.30769230769231","40.0","40.0","39.166666666666664","40.6071428571429","39.33","38.5","37.8125","42.0","39.61538461538461","39.375","38.75","39.375","38.8125","39.009","42.608695652173914","40.416666666666664","40.76923076923077",""
"Beans brown,sold loose","321.7264285714285","315.034999999999","313.031874039939","309.95670995671","310.60761904761904","321.81818181818187","340.0673400673401","337.5221428571429","344.6969696969697","324.8113893275183","318.6307692307692","318.686868686869","377.2204806687566","328.1385281385282","357.71287535993423","309.95670995671","344.6969696969697","371.71717171717177","357.1297653958944","332.929292929293","345.5507932927288","335.520402536532","314.89010989010995","317.129765395894","330.029441195694","354.854390681004","325.408876837448","339.063360881543","353.939","309.389204545455","292.894457940171","258.33","275.909090909091","298.2981818181819","233.0597643097643","194.249639249639","196.775757575758","207.07070707070707","153.70629370629374","160.35252680414","161.825174825175","189.0","205.850884208655","218.578088578089",""
"Beans:white black eye. sold loose","264.5721428571428","252.945454545454","267.7633477633478","298.051948051948","298.6778571428571","313.8425676887216","313.84615384615387","320.7475","345.0549450549451","300.3378700152894","300.3378700152894","300.718614718615","322.4747474747475","300.42021048017057","322.7396133278486","298.051948051948","305.054945054945","350.0","359.2741935483871","322.62626262626264","316.19397162615314","326.2882740915","322.7605727605727","319.274193548387","304.698097601323","325.50041356493","304.874310874311","322.937062937063","289.556923076923","202.82828282828282","181.41069070682224","160.0","175.393939393939","217.249375","235.27777777777777","197.612863327149","193.643939393939","192.727272727273","157.7489177489178","161.305361305361","163.867863696387","201.538461538462","219.02097902097898","229.69696969697",""
"Beef Bone in","981.1283333333333","980.009","999.07407407407","979.9941373490758","1111.111111111111","1134.34463349664","1213.1944444444443","1106.17","1107.054936","1190.0","1195.0","1152.13675213675","1100.0","1251.1169386169386","1238.817663817664","1131.111111111111","1146.2962962963","1058.377425044092","1097.4358974358977","1150.0","1160.99604743083","1100.0","1114.28571428571","1058.33333333333","1121.83085919928","1002.5","1017.78641997017","1054.33455433455","1059.0","980.79777365492","1027.23080608456","1071.42","1100.72222222222","1043.3390909090908","990.89072895043","1009.28735767801","1007.74613749791","1008.80341880342","1057.76477146042","1014.72470681773","1002.5","1046.8018018018","1062.5","1050.12",""
"Beef,boneless","1269.375","1107.60599999999","1124.9137336093859","1224.8148148148148","1385.7954545454545","1350.36064827752","1309.7142643148713","1235.739","1236.7275912","1242.37709576584","1221.925","1261.03678929766","1307.28997289972","1283.7024087024088","1260.3678929765886","1264.45777255664","1304.5454545454545","1279.58152958153","1166.8427938808375","1200.0","1169.29347826087","1100.0","1153.58749437697","1269.871794871795","1259.1093117408905","1045.267489711934","1024.82101938808","1055.97378300621","1038.54333333333","1003.28209632557","1038.60877684407","1040.25","1053.88235294118","1088.19916666667","1138.20808009974","1149.84392419175","1203.03605313093","1201.55009510912","1248.1612616310895","1256.70191261847","1196.38738738739","1273.87869035268","1280.14","1273.91304347826",""
"Bread sliced 500g","282.075","288.888888888888","274.444444444444","311.6666666666667","289.0","312.0","310.0","292.857142857143","293.00357142857155","286.25","277.77777777777777","264.0","270.0","283.0","280.0","307.5","312.0","316.6666666666667","309.09090909090907","311.1111111111111","290.0","285.0","305.0","309.09090909090907","297.5","300.0","295.0","286.6666666666667","285.555555555556","272.5","287.5","286.25","275.3333333333333","225.0","275.0","300.0","304.54545454545456","290.0","330.0","318.75","303.333333333333","340.0","306.153846153846","300.909090909091",""
"Bread unsliced 500g","254.285","255.0","257.14285714285717","275.0","266.6666666666667","266.363636363636","260.0","230.71428571428572","250.0","231.11111111111111","229.16666666666666","225.833333333333","213.0","223.33333333333334","244.54545454545453","257.5","281.0","261.53846153846155","261.8181818181818","291.6666666666667","286.0","265.0","277.77777777777777","261.8181818181818","271.666666666667","283.3333333333333","283.846153846154","277.77777777777777","272.0","265.0","255.0","275.0","285.0","291.6666666666667","266.6666666666667","266.6666666666667","281.8181818181818","278.181818181818","270.8333333333333","287.5","280.909090909091","287.5","283.846153846154","285.0",""
"Broken Rice (Ofada)","254.476","283.355","285.054295690879","297.75910364145653","429.721166032953","430.474630371255","431.984741264927","423.029","434.677313541921","427.142857142857","427.142857142857","427.142857142857","471.363339856491","400.0","380.952380952381","397.759103641457","414.677313541921","412.446183953033","423.991596638655","460.0","424.138943248532","380.90345727332","391.281800391389","393.991596638655","338.142530984997","373.333333333333","355.793103448276","367.142857142857","399.9275","363.181436958345","324.731101949662","327.64","367.142857142857","363.232727272727","413.428571428571","432.464985994398","480.85453359426","436.85453359426","470.714285714286","414.285714285714","398.408349641226","397.5","402.742987606001","403.363975006008",""
"Chicken Feet","564.475","604.76142857142","780.0","726.666666666667","971.42857142857","971.888888888889","986.6666666666666","1065.7142857142858","1068.55","1029.1666666666667","1019.67","1015.92592592592","1000.0","956.64","1040.909090909091","960.0","1066.6666666666667","1075.0","1109.09090909091","1166.6666666666667","1191.66666666667","1135.7142857142858","1212.5","1001.13636363636","1168.75","1050.0","1027.33333333333","1048.75","998.0","928.0","898.57142857143","900.0","880.0","821.113333333333","886.666666666667","913.57142857143","872.5","870.0","871.42857142857","840.0","798.23","840.0","828.57142857143","800.149",""
