"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","586.5018181818182","559.292929292929","634.761904761905","550.631578947368","555.0","507.272727272727","466.3157894736842","463.52941176470586","467.5","429.722222222222","420.0","508.4375","450.714285714286","494.5652173913044","525.260869565217","547.391304347826","560.0","520.0","446.8181818181818","462.8","420.74074074074076","417.142857142857","450.0","421.578947368421","428.42105263157896","425.227272727273","418.095238095238","423.333333333333","424.76190476190476","492.105263157895","451.6666666666667","434.5","426.1111111111111","466.8421052631579","507.14285714285717","484.09090909090907","470.75","439.5652173913044","457.5","490.90909090909093","462.6666666666667","450.625","451.052631578947","455.526315789474",""
"Agric eggs(medium size price of one)","47.489999999999995","56.1507936507936","53.5","50.0476190476191","47.3823529411765","43.72727272727273","41.61","49.4444444444444","50.4117647058824","38.8235294117647","37.24","40.3125","40.0","38.63636363636363","41.041666666666664","40.90909090909091","42.818774440783024","39.76190476190476","39.75","38.2","39.642857142857146","39.77272727272727","39.705882352941174","39.5","39.96229632383829","39.23913043478261","39.54545454545455","39.75","40.0","39.0","38.0","39.21","36.8421052631579","38.94736842105263","43.625","42.5238095238095","40.1666666666667","38.04347826086956","38.666666666666664","42.5","41.875","42.8235294117647","41.0","42.75",""
"Beans brown,sold loose","370.07349999999997","322.685476190475","357.6008120480328","359.905801654774","363.838040817852","379.5977244586922","396.1663508450295","420.31705882352935","427.35986839329206","406.5040874292315","400.8185","396.8392776847249","400.0","402.8522119558105","425.2396478044782","454.04862094354854","461.807753770814","466.8305571556555","448.2059694425189","448.2062731658536","453.77896313229945","458.13501857876327","440.29937650153084","426.3272388609491","439.9505954201689","415.709848188181","398.684152313223","360.165097218662","385.210833333333","308.1611498502435","258.5155936390009","272.25","282.604778802586","228.16850000000005","250.44617648498357","234.68721615433745","243.9018488660894","232.223354719531","190.52803710563938","237.96528893368375","224.725454761139","248.395207672912","251.091995604057","252.411593348624",""
"Beans:white black eye. sold loose","328.948125","328.198954545455","325.515675260891","316.9408302032174","314.8252711539219","337.4460393785276","353.14536792546926","387.67411764705884","384.075255539148","370.2484870987048","370.2484870987048","347.18378053670074","250.0","368.21","364.9928759197618","384.6477103540243","397.783576563654","394.0359383046409","412.17743356923364","383.78143924458766","394.5759822635693","395.7977679567558","341.8103911616954","371.0081183753176","368.8718841382543","377.934934900013","375.34211326081","343.928044225408","377.64380952381","292.56216900423334","247.95811870100945","214.48","241.60584134539033","230.2333333333333","213.62574630148953","234.7393290911069","229.51086677459148","219.68937795370687","221.2498847656453","274.0043598661313","247.646807547673","246.03326668705202","250.698549131363","240.855984121415",""
"Beef Bone in","916.5783333333334","983.9772222222205","985.050191236612","1088.1302521008404","1098.151868971358","1035.73238538119","1040.41010622","972.713846153846","971.92361725896","1071.11656725627","990.349285714286","1082.9308317351574","1082.9308317351574","824.2625396118044","1043.68026338909","911.904513879112","1013.3407516270886","995.343356364968","902.641289621187","954.681693754582","941.961346257014","867.668709933654","773.1888168028795","859.7425787722506","875.0","761.6419861891502","779.53173740875","792.032242190437","822.515625","837.5052148207003","851.689307926431","800.11","852.722732505968","857.501875","799.138712435305","787.989074814769","828.414068495906","868.384761150508","812.7360401781326","876.55913978495","843.607236637982","857.5242241858","902.883900829749","886.9389446387091",""
"Beef,boneless","1321.1292857142857","1303.85902597402","1250.7094641014774","1343.518122505409","1341.63606884756","1386.96894281557","1349.58975430876","1284.04214285714","1258.377619171631","1256.68413688627","1194.616842105263","1128.8648958390315","1128.8648958390315","1125.5496713006992","1154.4971340200243","1134.3032021664005","1233.926855099361","1190.2629595814674","1092.875778868817","1188.1109942316036","1209.40750352737","1170.5152298894668","1179.1598517988584","1216.3423397240424","1167.9446270386263","1102.84643845323","1118.43446826146","1120.5199257156319","","1117.02855903715","1146.19983070934","1118.61","1121.20384216377","1135.694","1206.9190070251643","1178.559384223","1147.60304891884","1099.112222193373","1152.059809431019","1209.45648023288","1224.34232843651","1224.97177874487","1238.605298115102","1275.6485338327084",""
"Bread sliced 500g","301.22","290.336538461538","295.8333333333333","291.5","299.230769230769","289.75","280.88235294117646","290.625","288.8235294117647","272.5","294.7368421052632","280.5263157894737","300.0","290.4761904761905","297.6190476190476","298.69565217391306","290.30219772979154","296.1904761904762","290.4166666666667","300.0","296.1904761904762","297.5","302.10526315789474","300.7142857142857","296.6570471715177","300.0","293.409090909091","293.75","296.1904761904762","300.0","305.2631578947368","297.22","311.1111111111111","305.5","306.25","304.76190476190476","303.1818181818182","305.0","293.75","325.0","322.0","314.70588235294116","310.5263157894737","305.5263157894737",""
"Bread unsliced 500g","262.9322222222222","258.33333333333303","261.53846153846155","259.5238095238095","266.6666666666667","253.33333333333334","262.36842105263156","257.05882352941177","261.1111111111111","250.0","260.0","261.1111111111111","250.0","254.76190476190476","258.3333333333333","252.17391304347825","257.37221207142187","252.91666666666666","252.91666666666666","254.0","253.04347826086956","256.1904761904762","252.10526315789474","254.0909090909091","253.98196471222977","264.375","253.1818181818182","251.57894736842104","253.04347826086956","257.72727272727275","257.89473684210526","275.0","275.0","268.1818181818182","263.3333333333333","268.0","271.42857142857144","263.46153846153845","269.44444444444446","280.8333333333333","285.625","287.777777777778","290.0","276.25",""
"Broken Rice (Ofada)","719.5543749999999","678.568571428571","650.805670150779","632.792207792208","663.457522942932","652.604726100967","862.1031746031748","658.11","659.323590852531","638.591620707743","638.591620707743","505.31456736710237","500.0","512.153820178117","505.53769025370616","533.5789074759664","515.127725622774","525.207867746827","586.6211913086913","545.8144249862464","482.8999946487159","473.8333739292819","502.169117647059","507.2435663228502","515.0824383335804","470.23863514423715","480.899696591433","499.9520826649558","502.2099999999999","500.0799232736572","521.0883266350017","482.45","476.092871521429","478.420909090909","509.777136661116","528.193095611613","505.82807001469","544.4554689640693","599.6148489150809","635.720726417657","627.693602693603","617.7881519741775","658.145593665314","674.752506408853",""
"Chicken Feet","799.67","775.0","750.0","779.166666666667","760.0","775.0","700.0","750.0","800.0","775.0","736.666666666667","750.0","725.0","731.25","733.3333333333334","761.111111111111","800.0","850.0","872.2222222222222","831.111111111111","851.3888888888889","820.0","750.0","633.333333333333","700.0","825.0","807.5","866.666666666667","854.285714285714","820.0","794.181818181818","816.66","785.0","770.0","808.3333333333334","786.6666666666666","741.6666666666666","757.248677248677","800.0","850.0","832.5","800.0","826.666666666667","866.6666666666666",""
