"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","661.6972727272728","586.060606060606","587.222222222222","523.0","533.75","523.333333333333","465.55555555555554","499.6875","499.875","490.0","500.23","495.8333333333333","400.0","530.0","543.25","578.571428571429","512.0","525.365","456.875","483.3333333333333","472.77777777777777","471.7647058823529","493.0","481.42857142857144","480.0","466.3888888888889","453.75","475.88235294117646","466.25","486.052631578947","468.125","473.12","471.6666666666667","475.8333333333333","502.94117647058823","479.333333333333","471.42857142857144","467.5","457.5","514.0","459.428571428571","454.7368421052632","463.571428571429","471.53846153846155",""
"Agric eggs(medium size price of one)","48.989444444444445","49.2323232323232","49.75","47.1818181818182","47.3333333333333","46.1764705882353","42.25","46.0526315789474","45.3888888888889","41.875","42.5","42.5","35.0","42.608695652173914","42.17391304347826","42.75","40.0","41.666666666666664","40.714285714285715","41.666666666666664","41.52173913043478","41.0","42.142857142857146","43.125","42.0","40.68181818181818","41.6842105263158","40.75","42.77777777777778","39.25","39.3684210526316","42.75","41.578947368421055","39.375","43.25","43.0","39.72222222222222","39.8888888888889","40.6666666666667","43.92857142857143","40.7058823529412","42.5","43.333333333333336","42.1875",""
"Beans brown,sold loose","375.1977777777778","379.0205","360.2183552393191","366.5419351952243","385.76285088334646","386.26201406772117","411.696243560117","447.0658823529412","454.277693117118","430.518646811773","429.0809523809524","400.6840254356908","425.0","443.0088314887996","460.5417394866495","457.1056917875408","485.0","459.87676980666623","453.785263621841","481.71357934975913","448.7060947123471","489.984489053505","446.26709916949","424.6091768633644","405.847766520906","409.33207719292744","423.357365289991","385.9628708871851","366.1226666666667","370.6203852471398","325.8576879502083","308.39","322.7573762152135","328.4094117647059","325.53293199506135","313.72446358028134","327.6185624438962","324.46499306421435","333.4542382621934","346.596482769203","341.5698161912263","341.5253107748781","354.7936699434612","367.09271520960044",""
"Beans:white black eye. sold loose","288.93944444444446","294.7804545454545","308.3881920194534","311.3915110933128","321.44580526918634","332.4289983217136","348.1026040287242","355.34388888888884","355.0569850409167","321.600827347691","311.600827347691","334.3007479711539","350.0","342.762814571463","369.1617166629501","364.83358434162113","376.82499548492","373.82520294100163","371.861690941912","363.3214993890192","354.5245984997444","337.601539966746","337.1633972445232","324.2949266771432","305.13252550996","323.91950923057226","298.07088895692","287.08116740445973","277.54999999999995","275.9362336222515","234.2383293867552","222.25","235.742556017514","224.30437500000002","217.86534491515513","222.05948475617691","214.28687252708767","224.29567628219542","210.15099553150554","240.220778910945","229.78222574736554","226.54226773702283","254.44732387312686","276.187180873801",""
"Beef Bone in","1009.9124999999999","1088.73291666667","984.903926482874","967.4615145203379","1041.09143657463","1018.3170203602","1012.53350203717","924.3293333333332","995.2713291539897","855.032660837614","792.9617647058823","922.0756219221636","563.3802816901409","794.5093559309246","822.9441608293148","772.7455577905353","802.583698767145","765.713669677864","782.2135916023864","762.3029401154402","782.504025764895","723.01094350784","806.724823997551","826.31618168703","860.0","1030.7352486981326","1019.78115181919","1035.15669113495","1056.66928571429","1003.31223146484","1038.41029809232","1073.93","1088.1055951422","1058.53","983.2992682405095","998.08932843472","960.2282774696566","964.0296739102943","986.7024761310325","1019.90330491577","993.280251494537","950.712152878823","982.959124549061","944.589081411176",""
"Beef,boneless","1375.673125","1458.5365","1460.42411166533","1334.3711843711844","1374.1758241758241","1385.20645218094","1303.8567493112948","1281.7625","1346.90696164327","1478.5696329813977","1230.7536000000002","1231.031746031746","1245.0","1486.9876155590443","1359.2875723310506","1323.4090909090908","1334.696508187387","1358.657710575869","1352.7209288819197","1356.5252489884845","1367.850351402983","1388.157894736842","1271.4111825566936","1370.1923076923078","1350.039017196445","1261.46076146076","1243.06150901896","1211.93628953406","1258.20235294118","1227.25008826252","1258.89871778162","1293.61","1302.35743015155","1322.99928571429","1371.44973826635","1390.40637724848","1370.48448393087","1343.439513900963","1409.47778292465","1450.18893316668","1420.59781226044","1412.42675436621","1438.13529607647","1409.60175736961",""
"Bread sliced 500g","291.5177777777778","281.071428571428","262.5","257.89473684210526","262.5","262.5","255.55555555555554","247.05882352941177","259.375","257.14285714285717","250.588235294118","258.92857142857144","258.92857142857144","255.95238095238096","266.6666666666667","255.55555555555554","257.5419269416963","257.14285714285717","255.88235294117646","255.95238095238096","256.8181818181818","258.8235294117647","255.55555555555554","257.14285714285717","257.6471659800318","264.70588235294116","256.25","255.55555555555554","257.89473684210526","255.26315789473685","264.7368421052632","257.5","252.6315789473684","260.5263157894737","261.1111111111111","256.0","255.55555555555554","255.88235294117646","253.75","264.2857142857143","252.94117647058823","256.8181818181818","258.8235294117647","253.33333333333334",""
"Bread unsliced 500g","220.36222222222221","257.727272727273","250.0","247.72727272727272","250.0","250.0","253.8095238095238","241.66666666666666","244.44444444444446","244.44444444444446","240.727272727273","246.875","246.875","250.0","247.5","250.0","265.0","250.0","250.0","251.08695652173913","252.17391304347825","246.875","250.0","250.0","270.0","250.0","250.0","254.54545454545453","250.0","247.5","250.0","247.5","250.0","250.0","250.0","244.73684210526315","247.22222222222223","250.0","246.875","250.71428571428572","248.666666666667","247.61904761904762","250.0","253.125",""
"Broken Rice (Ofada)","878.179","825.395","866.911764705882","872.720199190787","899.69143907563","897.504409171076","879.53514739229","661.327","676.342592592593","653.042328042328","653.042328042328","637.857142857143","640.0","451.93639270054007","359.80510347598954","351.5877078679573","365.53417011965","386.0426866889579","369.90139014466547","369.41668609029296","346.4756630500301","361.9859206628566","364.42500083718437","401.238570802314","391.43375776196837","361.0213928515616","372.069327731092","358.9003473506803","354.166","353.24367088607596","352.2071355822992","349.56","354.72536087385623","360.868333333333","430.4663461727869","418.7215083766808","418.694403346302","378.17268435696406","382.78223504934454","409.8001493877352","399.00157019077","394.361476115604","418.407026303296","413.18574033738",""
"Chicken Feet","944.085","875.0","880.0","930.555555555556","1050.0","1150.0","1000.0","1166.6666666666667","1083.33333333333","987.3015873015873","962.9633333333333","1075.0","1075.0","1000.2178649237472","1005.55555555556","1079.6296296296296","1091.3929676275","1275.0","1275.0","1240.0","1230.0","1300.0","1243.75","1158.3333333333333","1159.6720439334304","1075.0","1055.75","1075.0","1011.11166666667","962.5","935.0","970.0","958.33333333333","919.445","1028.42105263158","1030.0","998.23","1037.5","1002.9411764705883","1076.47058823529","1015.5","1050.0","1030.75","1000.0",""
