"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","543.9449999999999","540.833333333333","562.5","523.684210526316","520.588235294118","460.263157894737","458.611111111111","427.6470588235294","434.0","420.1","415.41","489.2857142857143","420.0","455.0","498.125","555.0","514.347826086957","494.25","450.2","411.57894736842104","414.375","490.0","425.0","412.222222222222","413.9130434782609","426.6666666666667","411.6666666666667","410.5","396.3636363636364","485.0","454.117647058824","421.25","412.5","427.0","429.5238095238095","415.0","411.25","409.4736842105263","425.7142857142857","422.6666666666667","413.684210526316","414.70588235294116","433.8095238095238","432.14285714285717",""
"Agric eggs(medium size price of one)","47.730000000000004","42.25","47.5555555555556","45.7142857142857","40.0","40.8157894736842","40.29","39.9625","38.4375","38.333333333333336","35.22","37.666666666666664","40.0","36.5","38.1578947368421","38.333333333333336","40.0","36.75","38.304347826087","38.05555555555556","36.333333333333336","37.5","37.94117647058823","37.96875","40.0","38.68421052631579","37.407407407407405","36.973684210526315","38.0","37.916666666666664","38.0588235294118","37.82","38.23529411764706","37.75","37.5","36.785714285714285","36.578947368421055","38.05555555555556","36.388888888888886","38.92857142857143","37.5","37.9444444444444","40.0","39.285714285714285",""
"Beans brown,sold loose","383.9075","356.806111111111","339.99999999999983","349.4531784005468","374.68749999999994","386.111111111111","415.555555555556","452.3807142857143","428.0","404.70588235294116","380.9375","413.6607142857143","450.0","421.5740740740741","465.88693957115004","438.8235294117648","500.0","515.736842105263","485.840579710145","469.6666666666668","477.18750000000006","477.01754385964915","420.3703703703704","424.0740740740741","423.333333333333","398.518518518519","387.43589743589746","360.16666666666663","324.4825","360.606060606061","310.416666666667","258.66","257.5","257.513","298.99999999999994","284.0476190476191","246.0","226.2962962962963","222.9411764705882","265.89285714285717","241.1764705882353","251.4814814814815","285.666666666667","273.333333333333",""
"Beans:white black eye. sold loose","275.946","274.00149999999996","301.05263157894734","304.0350877192982","324.2592592592593","336.5079365079365","350.1428571428571","349.0778947368421","327.1111111111111","306.66666666666663","306.66666666666663","284.2081447963801","350.0","337.1929824561403","341.9138755980861","344.8872180451127","367.235443710004","367.428571428571","357.1626984126984","349.82208267922556","342.9166666666667","343.1481481481481","317.40740740740745","304.1165413533834","323.602636325454","296.62962962963","285.311355311355","271.4111285539857","271.2122727272727","251.1111111111111","211.994047619048","192.54","207.647058823529","219.57600000000002","230.92261904761904","224.50980392156865","232.80701754386","189.8260073260073","174.8148148148148","207.2619047619048","205.740093240093","207.0","235.824175824176","235.714285714286",""
"Beef Bone in","901.0","918.825634920634","956.836974040988","1004.7076365667594","1067.08779788927","1078.40390029808","1072.7458490936751","979.494","956.201376474183","961.007981978377","958.313333333333","942.442283265687","980.0","869.613020348875","752.237983745939","776.0420969363183","848.309485716848","776.8747521238847","759.3885520609658","754.050777254583","680.8329019789467","711.9003299849744","726.2548736232947","778.1415601081378","784.4705278235639","709.604943123574","722.524708049089","757.786003729747","789.315","812.937267062186","814.3341803612883","789.53","783.8063382792735","812.0407692307691","829.335858637478","798.937536310731","807.921939852087","725.2239592297938","700.4463594043804","786.216369837059","768.7910469983315","761.000699184305","773.8669192782417","750.151352406992",""
"Beef,boneless","1261.2995","1093.2702020202","1247.6341134476747","1308.180592757486","1371.3888765746349","1354.8578878381","1325.64116782963","1263.43176470588","1300.209305459","1315.18737077017","1360.2522222222224","1290.1174817868641","1290.1174817868641","1164.35087733768","1258.181909503707","1216.207468621312","1236.93693693693","1219.8076576443614","1206.5180509205275","1247.4900910152323","1271.9770769306374","1276.8151499694445","1319.0690891797608","1245.5759557449837","1286.88524590163","1202.2137781562296","1206.80688756504","1253.79104135554","1240.80166666667","1211.57697277877","1256.52205459536","1226.9","1235.56612513931","1263.75","1214.23695635823","1225.0535508320975","1238.19095268778","1158.545007270194","1206.67519181586","1284.17683770781","1276.33608506557","1261.64948696911","1259.55067332958","1298.4981840066384",""
"Bread sliced 500g","277.435","300.0","303.125","309.2307692307692","314.2857142857143","326.153846153846","308.3333333333333","300.0","308.75","301.166666666667","308.3333333333333","311.1111111111111","300.0","310.7142857142857","303.3333333333333","307.14285714285717","308.2786309052594","312.5","302.77777777777777","310.7142857142857","309.09090909090907","325.0","328.57142857142856","327.77777777777777","312.1584405023262","300.0","300.0","310.0","310.7142857142857","307.14285714285717","312.5","320.83","333.3333333333333","318.1818181818182","330.7692307692308","319.44444444444446","319.09090909090907","322.72727272727275","321.42857142857144","331.8181818181818","325.0","331.8181818181818","340.0","327.27272727272725",""
"Bread unsliced 500g","215.0","252.7777777777775","250.0","247.5","241.1764705882353","250.0","250.0","250.0","250.0","225.941176470588","247.05882352941177","253.57142857142858","280.0","252.6315789473684","250.0","250.0","249.59612626950553","252.6315789473684","252.27272727272728","257.89473684210526","253.125","263.8888888888889","247.05882352941177","262.5","270.0","247.05882352941177","239.58333333333334","261.1111111111111","252.6315789473684","250.0","253.125","252.27","253.33333333333334","250.0","255.0","253.57142857142858","257.5","259.375","262.5","278.333333333333","258.8235294117647","260.7142857142857","257.89473684210526","265.38461538461536",""
"Broken Rice (Ofada)","530.135","452.94","438.235294117647","440.0","453.25","446.625","449.9375","450.11","450.380066","450.380066","450.380066","452.941176470588","352.94117647058823","365.0","488.235294117647","482.058823529412","496.25","436.89705882352945","432.8133755594239","436.3136755000858","433.24937273566724","412.56","428.73410594879425","372.5","385.129406890429","381.2","388.02","375.39","355.56","361.02","365.12","360.54537374282717","375.0","381.11","372.6505533988594","402.650553398859","411.0","377.1003276480781","400.0","430.15","415.5","418.5","420.0","419.0",""
"Chicken Feet","900.0","910.76","900.0","900.0","1000.0","1100.0","1166.6666666666667","990.21","990.804126","990.804126","900.0","961.1942693735929","961.1942693735929","955.0","932.25","825.0","917.393837586557","918.16762139203","917.0220521547097","918.0039686438414","917.1447342556845","906.321","914.6229387635589","900.0","915.176701847498","909.31","900.12","900.0","892.0","851.23","798.33333333333","816.314950319433","789.3","750.0","780.0","780.0","759.03","800.0","850.0","900.0","860.0","870.0","875.45","900.0",""
