"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","517.0899999999999","480.4166666666665","580.818181818182","526.578947368421","524.736842105263","520.0","510.55","508.421052631579","490.0","435.789473684211","435.0","465.55555555555554","447.0","452.72727272727275","471.05263157894734","550.0","586.5","578.4","456.842105263158","453.5","451.7391304347826","464.2105263157895","487.142857142857","412.222222222222","460.0","439.3181818181818","427.894736842105","428.095238095238","451.5","487.894736842105","448.0","458.94","447.0","441.363636363636","442.0","445.0","432.0","440.0","443.5","444.375","438.42105263157896","464.5","454.0","451.05263157894734",""
"Agric eggs(medium size price of one)","46.01555555555556","48.8636363636363","50.4090909090909","49.4444444444444","47.6315789473684","46.45","45.2307692307692","49.375","47.8125","38.611111111111114","38.9","35.0","40.0","37.5","38.55263157894737","38.57142857142857","42.256544118403156","37.89473684210526","38.421052631578945","37.04545454545455","37.72727272727273","37.142857142857146","36.15384615384615","37.96875","40.2406236359344","38.25","35.27777777777778","38.25","43.75","37.61904761904762","38.0","38.81","38.2631578947368","38.3181818181818","38.0","38.1875","36.75","38.1739130434783","38.0588235294118","38.0","38.0","39.85","38.4375","38.888888888888886",""
"Beans brown,sold loose","341.52222222222224","330.729166666666","324.4047619047619","337.20238095238096","346.973684210526","375.0","362.817234848485","408.8235294117647","433.6055871212121","406.66644515328727","402.5","390.7236842105263","425.0","417.85714285714283","439.48412698412704","450.57814992025516","589.0625","599.289772727273","448.9162457912458","456.5390749601276","459.375","453.83297258297256","434.10547785547783","424.0740740740741","433.239942831776","448.297258297258","435.587121212121","449.780701754386","442.379","416.761478476249","388.51574500768","354.33","338.3712121212121","336.4415","314.3382352941176","326.171875","300.18939393939394","282.46376811594206","293.75","317.41609294320136","295.95588235294116","285.47083069118577","322.0883534136546","318.055555555556",""
"Beans:white black eye. sold loose","267.29111111111115","279.42708333333303","280.1136363636364","293.21625344352617","317.7631578947368","325.28409090909093","320.07575757575756","340.27777777777777","327.86458333333337","312.094674818359","312.094674818359","304.04411764705884","350.0","311.5795932678822","323.6244019138756","351.0720533004064","361.817137320609","367.275428306838","350.80114601018676","346.96519524618","348.4375","356.3782991202346","335.8926492663052","304.1165413533834","341.7943908511506","355.390395894428","346.491935483871","363.35685483871","351.129","366.681634897361","328.859507640068","301.97","324.000420875421","332.717142857143","313.541666666667","285.078125","290.625","268.756587615283","201.36784511784512","213.42099165894345","205.657894736842","210.52631578947367","224.364646084337","236.666666666667",""
"Beef Bone in","993.7025000000001","978.915499999999","980.789036320346","925.560485501819","1036.06519087921","1094.31148555979","1065.1883382195","925.848666666667","902.3681384137777","980.731206382319","1006.15235294118","819.9552907473063","855.45","888.7547239726028","812.359210641408","852.028638028638","901.514618925031","884.836276581354","908.122883371409","986.454216895335","983.250203080061","976.109678619522","914.289616615231","778.1415601081378","792.88411556964","947.620430642144","937.271526554111","1058.17164838051","1019.64","1037.69344855103","1037.79774992748","997.17","1027.53143794941","1019.67555555555","986.53817185599","961.681868103674","966.162685962606","947.56829236364","881.161249716808","891.10375440913","899.210533782637","914.2274529604505","927.18170623149","968.32668727914",""
"Beef,boneless","1158.1855555555558","1013.0606249999994","1007.5495083263085","1308.6335250833863","1392.5873034812","1398.79001483286","1395.68865915703","1240.77529411764","1241.3956817646988","1207.7948069772","1127.268","990.9968334707075","975.21","948.3812588072199","1083.486083780132","1035.8927439519543","1169.7265993918386","982.430210742555","957.2058210862979","939.7201386495099","900.1686651593012","874.6439767462266","845.4583741374213","1245.5759557449837","1130.92783505155","1085.05458779794","1078.33760008911","1119.01322133018","1159.61875","1170.58985632726","1209.96932178039","1190.98","1157.68709116406","1215.367","1195.90784263003","1156.37699655939","1170.93717466661","1126.2994475758358","1086.24774601291","1131.37919511406","1132.3241487872015","1150.0101865198185","1159.56254352404","1153.86410148218",""
"Bread sliced 500g","321.0155555555556","371.587301587301","350.0","278.57142857142856","306.923076923077","311.875","290.0","293.3333333333333","298.181818181818","290.0","300.0","299.3333333333333","300.0","307.89473684210526","307.77777777777777","305.29411764705884","299.0325905830206","315.88235294117646","316.875","294.6666666666667","302.0","308.8888888888889","312.5","327.77777777777777","318.092933503249","308.94736842105266","298.555555555556","322.85714285714283","311.3333333333333","300.0","302.3529411764706","305.38","299.3333333333333","295.2","300.0","300.0","299.4736842105263","297.27272727272725","301.875","307.6923076923077","303.0","307.5","325.0","307.14285714285717",""
"Bread unsliced 500g","247.5688888888889","280.974025974025","265.294117647059","240.625","237.64705882352942","254.76190476190476","254.0","225.33333333333334","261.6666666666667","254.444444444444","262.6666666666667","266.875","270.0","265.7142857142857","245.26315789473685","253.52941176470588","252.95490642245568","269.44444444444446","228.75","261.6666666666667","237.3913043478261","250.444444444444","265.7894736842105","262.5","254.9717351059046","258.3333333333333","255.55555555555554","270.0","262.3529411764706","263.3333333333333","265.7894736842105","260.0","265.29411764705884","262.3809523809524","271.875","282.5","255.5","256.25","259.375","261.857142857143","256.315789473684","247.22222222222223","258.8235294117647","268.42105263157896",""
"Broken Rice (Ofada)","843.08","850.23","856.666666666667","850.0","857.666666666667","866.666666666667","862.166666666667","666.67","672.5","644.193548387097","645.193548387097","770.9668804106129","770.9668804106129","770.9668804106129","652.941176470588","700.0","754.545454545455","809.583333333333","866.6666666666666","760.8100559767527","750.0","703.289","750.0","772.5","738.965534132257","625.0","612.13","620.3","601.21","589.95","575.34","588.8333333333334","563.01","520.0","520.0","537.5","520.16","556.4444838838203","550.0","642.857142857143","615.4","650.0","670.0","675.5",""
"Chicken Feet","1080.79","850.0","877.45","833.3333333333334","1000.0","996.666666666667","998.3333333333335","900.43","900.0","900.0","900.0","910.6401196244558","910.6401196244558","1000.0","1000.0","970.213373208152","938.4562761454217","963.2202757884205","1000.0","968.9328635380643","1000.0","966.32","1000.0","900.0","967.5369767508515","900.0","897.6660682226211","950.0","900.85","858.32","825.0","861.39","850.0","803.33333333333","850.0","810.93117408907","800.0","800.0","800.0","858.32","825.0","850.0","850.0","920.0",""
