"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","497.005","492.75","511.6666666666667","528.571428571429","484.0","496.875","480.0","480.97","496.153846153846","500.166666666667","465.65","473.84615384615387","460.0","460.0","415.38461538461536","564.285714285714","526.153846153846","527.142857142857","460.0","464.70588235294116","495.38461538461536","464.61538461538464","467.14285714285717","440.0","471.2","421.428571428571","420.0","414.615384615385","418.461538461538","480.0","450.0","434.5","435.384615384615","464.54545454545456","470.90909090909093","464.0","468.75","472.85714285714283","453.3333333333333","438.461538461538","437.85714285714283","462.6666666666667","462.727272727273","459.285714285714",""
"Agric eggs(medium size price of one)","47.015","45.1875","47.0","45.7142857142857","43.0","45.9375","41.38","44.375","47.2307692307692","42.69230769230769","41.25","41.8461538461538","40.0","37.5","32.2307692307692","40.714285714285715","39.23076923076923","39.285714285714285","38.888888888888886","40.333333333333336","38.214285714285715","38.07692307692308","39.285714285714285","38.888888888888886","40.3333333333333","38.214285714285715","38.75","38.75","39.23076923076923","39.166666666666664","40.3333333333333","39.21","38.07692307692308","38.63636363636363","40.45454545454545","40.4615384615385","39.375","39.642857142857146","39.333333333333336","39.9285714285714","37.5","39.5","39.75","40.0",""
"Beans brown,sold loose","322.20124999999996","312.78200000000004","316.3810982867587","350.5423280423281","351.4537380952381","353.464628963653","361.1418884599478","356.26599999999996","362.421314534522","355.482295482296","328.35","323.076923076923","368.71794871794873","384.35897435897436","380.0","350.5423280423281","342.42131453452214","349.67032967033","358.733671988389","354.549117549118","384.410074147987","407.4725274725274","401.5070643642072","378.73367198838895","375.3215385771167","341.481481481481","333.2307692307692","356.208674452802","386.713333333333","309.389204545455","311.674185463659","314.48","323.846472130981","312.722","273.526949241235","230.39737205150738","236.775757575758","240.6708595387841","236.23982255561202","244.175824175824","254.52586447684487","270.51665110488636","276.341232586311","282.576733611216",""
"Beans:white black eye. sold loose","280.63625","255.482375","274.24894247826035","298.3287400430258","299.10439476713765","306.4232888827783","325.20469048770934","311.546875","320.6555128470949","318.46200018468926","318.46200018468926","318.967679379444","347.851571140473","300.33320236435276","281.8332181806482","298.3287400430258","302.655512847095","337.2933921579242","317.7478452023976","320.8786562522194","341.7288110212639","323.59130897592445","337.2933921579242","307.2167994507637","295.823668033511","274.2083518210839","280.708273208273","288.852571929495","304.183846153846","302.828282828283","253.408919123205","272.25","275.576404727348","290.616","265.449716477463","298.995393931873","303.643939393939","290.150434579517","246.418101583456","240.683760683761","246.567335972923","238.19607843137254","239.76665309998646","250.138200579377",""
"Beef Bone in","1039.35","1258.3333333333298","1222.22222222222","1215.151515151515","1209.090909090909","1275.70028011204","1263.5658914728683","1242.857142857143","1259.05525846702","1230.0","1264.2857142857142","1281.0276679841897","1115.38461538462","1264.9563820018366","1260.0","1200.0","1229.0552584670231","1188.888888888889","1208.3333333333333","1211.111111111111","1218.1818181818182","1227.38095238095","1188.888888888889","1138.28347578348","1160.0","1011.11111111111","1009.09090909091","1092.5","1075.55555555556","1000.79777365492","1023.33333333333","980.11","972.72727272727","1004.28571428571","1015.0","1025.0","1027.74613749791","1060.0","1128.57142857143","1122.2222222222222","1205.0","1184.3874643874644","1233.33333333333","1188.3333333333333",""
"Beef,boneless","1111.905","1266.6666666666652","1331.25","1316.6666666666667","1345.4545454545455","1366.40316205534","1327.22222222222","1364.28571428571","1381.81818181818","1320.0","1246.1538461538462","1250.0","1330.76923076923","1236.3636363636363","1172.7272727272727","1116.66666666667","1203.63636363636","1211.111111111111","1218.33333333333","1227.7777777777778","1208.18181818182","1160.016645239027","1211.111111111111","1204.13105413105","1277.77777777778","1240.0","1229.09090909091","1218.1818181818182","1209.090909090909","1183.2820963255747","1193.33333333333","1158.61","1216.36363636364","1214.2857142857142","1236.3636363636363","1278.2608695652175","1283.03605313093","1253.33333333333","1286.6666666666667","1290.0","1308.57142857143","1275.0","1285.7142857142858","1266.6666666666667",""
"Bread sliced 500g","332.93833333333333","316.6666666666665","317.5","290.0","293.0","300.0","294.545454545455","281.8181818181818","281.428571428571","280.0","283.3333333333333","291.1111111111111","292.727272727273","269.1666666666667","277.27272727272725","310.0","285.7142857142857","285.0","265.45454545454544","288.8888888888889","277.77777777777777","277.27272727272725","285.0","265.45454545454544","280.0","285.0","277.27272727272725","278.57142857142856","277.77777777777777","212.5","255.0","297.22","286.875","281.25","281.25","325.55555555555554","304.54545454545456","294.44444444444446","281.8181818181818","284.9","281.55","290.0","285.33","273.333333333333",""
"Bread unsliced 500g","261.06333333333333","300.0","314.444444444444","298.0","288.8888888888889","295.454545454545","279.1666666666667","284.61538461538464","288.75","278.57142857142856","262.5","280.0","250.0","260.8333333333333","259.09090909090907","303.0","273.75","261.8181818181818","302.3076923076923","280.0","275.0","272.72727272727275","261.8181818181818","302.3076923076923","280.0","266.6666666666667","270.0","275.0","261.1111111111111","265.0","242.85714285714286","275.0","271.875","268.75","280.0","300.0","281.8181818181818","263.6363636363636","277.27272727272725","286.3636363636364","283.3333333333333","268.1818181818182","258.75","252.0",""
"Broken Rice (Ofada)","303.64166666666665","307.526666666666","320.322580645161","340.91230642588874","450.0","463.636363636364","456.818181818182","396.952222222222","474.903490216817","382.478878648233","382.478878648233","233.33333333333334","300.0","271.18644067796606","364.2145952078014","340.91230642588874","384.903490216817","355.084745762712","333.69178810418924","325.23301985371","334.40329828113556","335.26","305.08474576271186","350.0","380.800397483967","395.02","389.21","392.16","401.32","363.181436958345","355.99","382.45","390.15","395.02","341.379310344828","380.16381620436533","387.85453359426","386.85","358.064516129032","360.25","361.02","450.0","444.158","445.03",""
"Chicken Feet","808.7","850.33","829.5150000000001","830.55","900.55","865.55","883.05","835.11","835.7780879999999","900.0","900.0","910.0","920.0","920.0","876.8177580853959","886.0778041895813","881.2781439274705","896.83474124049","896.6653317961221","887.4324586928041","895.638279741483","889.62","896.8585771996107","802.318","827.46175790608","789.258","770.0","782.13","762.31","690.0","650.0","700.66","681.02","690.0","700.0","729.1895777772604","672.5","680.0","680.0","600.15","591.37","620.0","590.314","550.14",""
"Chicken Wings","945.2","1000.19","972.695","990.88","1000.0","1000.0","1000.0","1000.0","1000.0","1020.0","1020.0","1000.0","1000.568342","1000.568342","1000.3246413895044","1003.769211399046","1000.0","1000.0","1000.8708915953395","1003.5214814914951","1001.2028637344232","1000.05","1003.8895661844454","900.0","922.897111649521","889.294","870.12","885.03","855.15","850.0","796.5","825.0","800.28","702.45","700.0","723.929773930972","708.148148148148","710.0","700.0","655.14","660.18","678.0","670.19","668.12",""
"Evaporated tinned milk carnation 170g","130.59","140.12","140.0","160.0","180.0","190.0","186.66666666666666","170.0","190.0","190.0","190.0","196.666666666667","170.0","170.0","150.0","160.0","190.0","186.0","180.0","165.0","165.0","180.0","175.82743996636117","165.0","144.0","149.32","144.03","150.0","157.5","140.0","150.0","150.0","159.32","150.0","149.31303946026597","150.0","150.0","162.5","150.0","151.48","155.5","171.66666666666666","156.01","154.17",""
"Evaporated tinned milk(peak), 170g","154.99","164.285714285714","166.66666666666666","187.85714285714286","190.0","195.588235294118","195.9375","188.57142857142858","205.83333333333334","195.307692307692","195.307692307692","191.66666666666666","197.692307692308","192.85714285714286","183.84615384615384","180.71428571428572","198.33333333333334","180.71428571428572","187.77777777777777","185.625","200.0","196.923076923077","180.71428571428572","187.77777777777777","183.54166666666666","190.0","175.83333333333334","176.15384615384616","173.07692307692307","179.0909090909091","185.0","210.0","199.03","192.0","176.66666666666666","155.0","167.33333333333334","165.625","176.66666666666666","184.285714285714","182.307692307692","185.0","183.272727272727","179.333333333333",""
"Frozen chicken","1816.47","2060.0","2166.6666666666665","2250.0","2233.33333333333","2350.0","2400.0","1983.3333333333333","1984.9199999999998","2200.0","2166.6666666666665","2333.3333333333335","2240.0","2100.0","2200.0","2250.0","2190.0","2000.0","2020.0","2150.0","1933.33333333333","1940.0","2000.0","2900.0","2775.0","2708.33333333333","2720.0","2757.14285714286","2780.0","2800.0","2850.33","2813.63","2900.22","3113.33333333333","3236.66666666667","3220.0","3180.45","3156.0","3112.5","3057.14285714286","2980.0","2920.0","2881.46","2840.0",""
"Gari white,sold loose","241.43625000000003","243.39387499999998","270.4368095672443","350.01030715316426","350.9203339517625","365.52669552669545","365.2522507685551","335.4813333333333","335.7497183999999","218.454106280193","201.45625","218.16444425140082","199.11067193675885","201.80775237983474","212.06201141853316","205.010307153164","215.240093240093","201.95245689982534","201.28427128427126","199.430348746081","229.8733129615482","198.961419026444","201.95245689982534","201.28427128427128","202.1203386844759","217.704319490034","198.3453990708","187.486122951596","194.648461538462","144.8621553884712","141.05820105820106","172.31","169.282662629345","133.04299999999998","138.82304740771562","139.0877391106224","117.44444444444444","129.750445632799","159.5693779904306","167.607323232323","207.43822243822245","227.63723204899676","228.54797979798","223.070618465355",""
"Gari yellow,sold loose","272.81375","340.296","362.2510822510822","375.9166666666667","376.89405","411.406821841604","426.1904761904762","395.6175","395.933994","277.8409090909091","261.911111111111","326.26984126984127","293.2154882154882","334.97835497835496","373.21428571428567","365.916666666667","362.1693121693122","364.458874458874","336.10895445134577","334.848484848485","342.857142857143","292.049689440994","224.458874458874","207.220065562457","210.1210020659373","205.050505050505","200.0","198.84668989547","203.334","174.285714285714","156.916099773243","195.98","194.656084656085","189.605","202.631578947368","219.4053371814492","204.76190476190476","206.694214876033","255.52669552669553","206.190476190476","214.097222222222","292.8282828282828","295.325","274.233621493347",""
"Mudfish (aro) fresh","1071.3","909.09","1100.0","1150.0","1000.0","1100.0","1200.0","1240.74","1252.73775216138","1340.7407407407406","1458.9666666666665","1634.920634920635","1500.0","1422.0","1270.5943682018017","1033.33333333333","1170.0","1206.66666666667","1266.66666666667","1298.6236005217484","1300.0","1166.66666666667","1163.63636363636","1100.0","1141.51563880777","1001.29","996.18","1030.2","982.15","943.75","906.06060606061","874.5","900.11","903.0","964.9918141566199","964.9918141566199","909.91452991453","916.0","900.0","889.46","854.54545454545","893.9839968919962","888.037","844.275",""
"Mudfish : dried","2876.725","2841.15","2836.36363636364","2250.8281573498966","2520.0","2540.0","2476.1904761904766","2479.1675","2516.66666666667","2533.3333333333335","2694.4500000000003","2094.708994708995","2101.36054421769","2000.0","1502.164502164502","1643.53741496599","1533.33333333333","1575.0","1550.0","1500.0","1750.0","1766.32","1742.7083333333335","1750.0","1766.66666666667","1642.4242424242425","1625.45454545455","1687.87878787879","1654.24333333333","1581.38528138528","1562.59259259259","1600.41","1560.0","1492.73","1525.0","1547.29308950952","1477.45535714286","1439.28571428571","1466.66666666667","1450.16","1438.46153846154","1454.405855311356","1450.0","1398.34309368792",""
"Onion bulb","205.778333333333","217.35208333333298","222.465320910973","185.66302725723017","186.885169979582","206.964285714286","216.0760381593715","187.678","193.640671358673","186.275919732441","189.835714285714","183.737373737374","325.26474409763534","315.0","244.8051948051948","281.491953262787","273.6406713586728","280.807312252964","283.68906455863","265.995148169061","254.13223140495867","236.94173881673882","265.560134310134","206.11330698287222","250.0","206.450742240216","195.757575757576","189.382791121922","201.157272727273","154.62962962963","114.285714285714","143.77","200.121212121212","183.75","209.026350461133","236.363636363636","200.763624817377","246.409512557706","232.86713286713285","212.2727272727273","189.0909090909091","260.6060606060606","225.0","203.333333333333",""
