"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","546.4555555555555","544.375","550.0","550.625","555.263157894737","561.052631578947","560.4761904761905","554.7619047619048","555.1502380952381","527.272727272727","522.64","614.2857142857143","457.5","604.3478260869565","588.965517241379","600.0","595.454545454545","560.0","536.0","527.2727272727273","582.380952380952","550.0","480.55","531.304347826087","520.4545454545455","510.4761904761905","520.4545454545455","515.5824395","513.9139130434783","508.095238095238","502.545454545455","523.88","500.5","509.5","500.0","480.0","490.351873","486.666666666667","548.1818181818181","587.42311111111","595.083333333333","544.545454545455","547.714285714286","571.9047619047619",""
"Agric eggs(medium size price of one)","49.843333333333334","47.375","46.0588235294118","48.125","47.36842105263158","47.89473684210526","50.0","47.5","47.72727272727273","47.5","45.28","45.714285714285715","40.0","44.54545454545455","44.6551724137931","46.8421052631579","46.81818181818182","44.705882352941174","46.05263157894737","44.54545454545455","42.857142857142854","42.7619047619048","42.6818181818182","45.208333333333336","45.7826086956522","45.6523809523809","47.7826086956522","43.333333333333336","43.9523809523809","40.0","42.8571428571429","45.78","45.75","46.75","45.22","42.0","43.0","41.0","46.0","49.9473684210526","49.98426819","48.18181818181818","48.5371120107962","48.63636363636363",""
"Beans brown,sold loose","367.175","396.582874999999","394.508253894443","370.918972332016","362.5962138547952","371.6356107660456","364.75814041031435","382.803636363636","386.4065990720056","365.473617291799","362.685555555556","347.96981674452","352.851005327376","389.02064119455423","384.51683249284434","390.72186394840855","409.5400646784046","400.1361440491876","394.52881214894944","403.55731225296444","396.9367588932806","393.28063241106724","408.33803877282145","421.6930171278","401.0061085159899","399.751176359872","401.0061085159899","403.6112109234639","394.715238095238","390.01546657501297","384.390945023356","381.67","393.62433407802024","367.2975","392.43","398.69","391.85331576635923","378.799236745264","365.1634926338484","367.702424704713","400.138339920948","418.23295281793304","423.633685250676","424.210433222751",""
"Beans:white black eye. sold loose","353.0772222222222","359.0373749999995","356.54498953731695","350.872859025033","351.15456625754115","361.66007905138343","349.33182759269715","330.928636363636","354.119264478433","346.081704856408","346.081704856408","336.870283866331","343.088159477574","371.7103378828581","368.0659670164918","370.7224418093984","387.44588744588754","378.484848484849","357.09754550334264","375.02352719744033","366.304347826087","374.1765480895916","378.317334839074","378.9269961292646","357.695895802579","374.92941840767935","367.695895802579","367.4991016888251","363.6819047619048","353.1377674395344","344.435242696112","339.11","340.368161512041","347.61949999999996","368.31","370.83","359.20532556688164","329.51251646903825","337.40567732662606","338.315766359245","367.4928634167765","385.7279084551812","396.732886848368","384.740003079924",""
"Beef Bone in","1042.48","1083.48214285714","1189.8996836496835","1148.76642964878","1289.77213962508","1289.95619679374","1289.8641682094099","1107.77555555555","1108.5509984444388","1138.81540270429","1186.2809090909","1176.55694489334","1075.98936151567","872.0327917696341","920.6712176712177","914.0679581856051","906.933325904261","927.020202020202","942.492148374501","895.858592871665","905.009732452212","878.560629257224","867.318554461412","834.0248640248641","845.9318459318459","876.1713943753949","845.9318459318459","879.676028456149","881.5636842105263","905.0862016730454","927.6506343897648","954.87","1032.31176231176","1009.92722222222","1022.82","1052.78","995.891690009337","959.830854822549","970.1214173803091","1020.16937755931","1049.553381378094","1049.6864952488427","1059.92529106393","1036.2480710829352",""
"Beef,boneless","1450.0005","1538.1263749999998","1406.18657419483","1338.0429197994988","1412.83615234193","1419.91871488026","1416.377433611095","1256.28736842105","1306.6799795927657","1388.30309901738","1276.33666666667","1254.92898913952","1335.613775255719","1300.7788854045539","1316.0686845271023","1299.2777450492947","1321.1534862938604","1387.9511224779765","1356.76470588235","1329.23204837491","1386.3005415637","1311.29690415405","1326.52985841668","1351.39908889673","1376.4823637808","1358.74908593365","1376.4823637808","1374.83811371029","1340.675238095238","1286.56769374416","1300.82525939669","1350.33","1324.70991426874","1314.4485","1330.6","1306.75","1311.02525185852","1316.02301193397","1320.47354823872","1418.08712121212","1450.03705102772","1502.34096839515","1540.574522430478","1506.1968771330573",""
"Bread sliced 500g","398.24","322.5","352.77777777777777","322.5","355.2631578947368","360.0","338.095238095238","326.1904761904762","321.7391304347826","340.0","303.125","300.894736842105","309.130434782609","341.30434782608694","322.72727272727275","313.1578947368421","332.85714285714283","389.2857142857143","365.0","357.142857142857","316.6666666666667","320.0","317.5","313.6363636363636","312.857142857143","313.8888888888889","342.85714285714283","322.5","369.04761904761904","322.5","322.5","332.35","347.22222222222223","340.0","348.57","344.74","320.0","326.6666666666667","326.1904761904762","356.3157894736842","360.385614","385.0","389.4736842105263","360.0",""
"Bread unsliced 500g","309.3838888888889","316.25","386.47058823529414","368.125","368.42105263157896","370.526315789474","381.904761904762","342.85714285714283","343.0971428571428","338.6363636363636","325.294117647059","313.809523809524","326.0869565217391","338.69565217391306","311.3636363636364","311.1111111111111","329.54545454545456","314.130434782609","327.6190476190476","304.76190476190476","300.0","302.3809523809524","307.65","300.0","322.857142857143","314.0","332.85714285714283","317.0","317.5","321.42857142857144","319.5","314.7","336.1111111111111","322.5","320.95","328.95","318.42105263157896","325.0","307.14285714285717","348.2352941176471","349.4723189","369.04761904761904","384.2105263157895","345.23809523809524",""
"Broken Rice (Ofada)","529.6225","453.033333333333","463.2034632034631","458.241106719368","462.806324110672","488.6363636363636","475.7213438735178","424.24666666666667","424.5436393333333","432.80632411067194","432.80632411067194","421.9367588932806","434.78260869565213","454.54545454545456","454.54545454545456","454.8636363636363","450.0","448.131313131313","454.54545454545456","454.54545454545456","454.54545454545456","454.54545454545456","460.35217","469.6969696969697","474.5454545454545","409.09090909090907","434.545454545455","409.09090909090907","409.09","409.09090909090907","420.45454545454544","454.54","486.363636363636","454.55","492.06","502.73","500.636363636364","454.54545454545456","409.09090909090907","451.432545454545","480.0","482.4","485.85328674","473.636363636364",""
"Chicken Feet","820.313333333333","914.4441666666664","993.3333333333334","913.973063973064","944.44444444444","965.0","983.3333333333334","987.5","988.19125","930.0","920.85","917.373737373737","900.0","950.0","900.909090909091","1037.5","980.456327","1050.0","980.378787878788","972.867132867133","983.3333333333334","905.600713012478","1074.454956807898","1089.5594601476955","918.9526847421585","816.447865585701","818.952684742158","850.69089390142","874.3273684210527","836.507936507937","800.257309941521","828.37","819.2592592592592","862.222222222222","900.09","935.49","941.32653061225","904.16666666667","900.0","972.46913580247","1015.89743589744","1034.375","1066.48962450593","1134.3434343434342",""
