"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","471.205","489.988","590.75","520.0","530.22","525.0","490.0","462.5","450.5","466.5","416.923076923077","461.1764705882353","450.0","498.0","510.0","574.0","573.333333333333","540.0","450.0","480.0","463.3333333333333","470.0","480.0","475.7142857142857","475.7142857142857","451.42857142857144","441.428571428571","475.7142857142857","445.14285714286","495.714285714286","475.4285714286","464.0","475.0","480.0","461.25","450.0","452.36","444.44444444444446","455.29411764705884","480.0","480.0","476.428571428571","480.0","487.058823529412",""
"Agric eggs(medium size price of one)","48.09","49.6666666666667","49.25","46.0","48.125","47.25","45.0","40.0","38.125","40.0","37.0769230769231","37.05882352941177","40.0","40.0","40.0","39.54545454545455","39.44444444444444","40.0","40.0","40.0","38.888888888888886","40.0","40.0","40.0","40.0","40.0","39.285714285714285","40.0","40.36","40.0","40.214","40.0","40.0434782608696","40.0","39.375","42.0","42.16","39.44444444444444","39.125","42.0","42.0","42.2307692307692","42.0","42.0",""
"Beans brown,sold loose","322.04999999999995","286.8591666666665","321.720797720798","325.84615384615387","341.2307692307692","351.28205128205127","357.53846153846155","352.0","347.384615384615","332.0","324.055454545455","359.674611103183","442.11538461538464","430.549450549451","402.5","425.815197874021","427.673992673993","498.373626373626","456.043956043956","481.160593792173","467.95225464191","425.373626373626","393.272704307187","331.6400580551524","331.6400580551524","310.90564607806","291.67639257294434","301.904761904762","300.90333333333","271.9047619047619","271.62","259.17","274.98897707231","275.64000000000004","233.06407463270207","266.55172413793105","272.1206804450339","257.9610537431219","233.30360575515368","259.17935619085046","245.384615384615","256.935286935287","259.22192749779","257.987593504835",""
"Beans:white black eye. sold loose","244.29500000000002","244.2089999999995","240.9908026755853","272.8632478632478","287.74928774928776","289.0361272714214","297.27564102564105","309.405","311.68091168091166","309.4060260726927","281.245","305.710676008295","367.304868065324","377.587844254511","378.062678062678","385.376845376845","388.232261565595","389.318681318681","382.509157509157","390.235517568851","365.286445734559","381.318681318681","365.512330960444","339.316239316239","339.316239316239","339.377289377289","331.456043956044","337.462933891505","337.462857142857","297.462933891505","267.462933891505","224.69","249.19265016826","299.927142857143","262.788461538462","272.981277981278","282.79600929297","235.644674610192","212.96510450137416","235.38961038961","221.923076923077","227.508218277449","230.851648351648","185.141162002205",""
"Beef Bone in","1118.78","1141.66666666667","1108.33333333333","1014.2857142857143","1000.0","1086.19047619047","1010.0","1042.857142857143","1037.5","1042.857142857143","1010.0","1065.5605832076421","1025.0","1100.0","1057.142857142857","1050.0","1028.5714285714287","1100.0","1150.0","1120.0","950.0","900.0","1062.5","1020.0","1080.0","977.66666666667","971.42857142857","1030.952380952381","998.95285714286","980.95238095238","1021.42857142857","1066.66","1022.66666666666","1022.22222222222","1057.14285714286","1075.0","1087.14285714286","1105.0","1162.5","1190.0","1128.57142857143","1120.0","1120.0","1126.5637065637",""
"Beef,boneless","1305.69","1340.713999999995","1350.0","1357.14285714286","1334.56790123457","1350.0","1300.0","1387.5","1325.0","1000.0","1032.142857142857","1156.140350877193","1287.5","1225.92592592593","1100.0","1018.1818181818181","1100.0","1100.0","1206.19047619048","1226.1904761904761","1014.2857142857143","1100.0","1050.0","1133.3333333333333","1133.3333333333333","1125.0","1115.0","1175.0","1165.0","1105.0","1128.92857142857","1150.0","1202.0","1220.0","1219.91452991453","1230.0","1244.44444444444","1187.5","1150.0","1179.09090909091","1137.5","1161.66666666667","1178.18181818182","1189.47368421053",""
"Bread sliced 500g","301.425","350.0","322.22222222222223","288.75","292.85714285714283","325.0","300.0","314.2857142857143","310.0","304.285714285714","310.0","276.6666666666667","325.0","344.44444444444446","350.0","350.0","354.285714285714","350.0","345.0","350.0","326.25","350.0","338.8888888888889","314.2857142857143","316.6666666666667","300.25","285.7142857142857","316.6666666666667","310.0","316.6666666666667","316.0","312.5","332.3809523809524","343.75","350.0","335.0","335.7142857142857","328.57142857142856","326.9230769230769","336.666666666667","326.857142857143","335.7142857142857","335.0","341.111111111111",""
"Bread unsliced 500g","279.76","320.55","306.666666666667","282.5","292.5","292.85714285714283","262.5","318.75","282.5","280.22","275.0","280.7692307692308","300.0","321.42857142857144","343.75","350.0","370.0","350.0","350.0","350.0","357.777777777778","350.0","327.27272727272725","300.0","298.333333333333","282.857142857143","285.714285714286","293.75","293.75","293.75","293.0","260.0","295.0","303.333333333333","333.3333333333333","325.0","338.8888888888889","350.0","380.0","368.181818181818","365.714285714286","335.0","324.166666666667","367.857142857143",""
"Broken Rice (Ofada)","274.77250000000004","293.315","362.5615763546798","314.00862068965523","380.114942528736","390.086206896552","385.100574712644","304.5933333333333","314.48275862069","304.59770114942535","300.45","469.54022988505744","465.51724137931","434.48275862069","447.126436781609","453.694581280788","465.51724137931","410.344827586207","400.0","439.526155289702","455.862068965517","410.344827586207","390.64039408867","412.321","347.413793103448","354.597701149425","359.48275862069","355.270935960591","365.27","355.270935960591","365.270935960591","358.62","346.666666666667","380.1725","364.137931034483","341.379310344828","356.436781609195","297.565308254963","274.4700701597254","298.620689655172","293.1034482758621","314.65517241379314","315.862068965517","315.78947368421046",""
"Chicken Feet","700.0","728.333333333333","691.428571428571","734.8484848484849","732.222222222222","740.0","736.111111111111","785.52857142857","770.0","619.7278911564626","705.2","682.337662337662","687.5000000000001","708.88888888889","500.0","515.104166666667","527.0","531.81818181818","591.666666666667","615.714285714286","636.363636363636","574.67532467532","546.98051948052","555.0","607.5","578.571428571429","568.815575105898","575.0","545.0","500.0","495.31","500.0","502.61","498.02","442.5","470.91836734694","480.0","499.44444444444","500.0","512.5","495.5","500.0","554.583333333333","565.0",""
