"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","321.025","390.0","400.0","523.3333333333334","516.363636363636","520.0","452.3076923076923","563.6842105263158","570.0","555.85","499.259259259259","499.473684210526","406.6666666666667","496.0","502.5","600.25","514.375","480.0","450.0","466.6666666666667","500.333333333333","476.666666666667","472.5","452.72727272727275","413.3333333333333","416.42857142857144","442.3529411764706","445.882352941176","451.428571428571","490.666666666667","466.9230769230769","449.33","420.769230769231","423.333333333333","420.75","417.22","420.6","381.05263157894734","434.5","434.5","410.0","403.0","407.222222222222","410.0",""
"Agric eggs(medium size price of one)","39.315","40.0","47.5","48.333333333333336","44.1428571428571","45.181818181818","40.0","42.6315789473684","48.666666666666664","48.46153846153846","42.1","42.63157894736842","38.888888888888886","40.55555555555556","40.333333333333336","48.75","40.875","36.25","40.0","41.0","45.375","40.8888888888889","39.5","40.0909090909091","39.285714285714285","40.2307692307692","41.1764705882353","42.333333333333336","44.5714285714286","40.0","40.6666666666667","40.66","38.333333333333336","40.0","39.0","37.22","38.103428","35.8888888888889","37.27272727272727","37.27272727272727","36.1111111111111","36.05263157894737","36.5","38.4166666666667",""
"Beans brown,sold loose","300.0575","312.56","314.347826086957","309.38578329882677","299.019607843137","299.173913043478","297.770876466529","304.35","304.53261","303.35403726708074","288.7666666666666","280.31746031746","388.309283309283","262.6950998185118","255.61025043034","285.379310344828","308.940339354132","301.698595146871","320.0","318.730634682659","321.840579710145","302.309283309283","306.676587301587","366.6666666666667","307.48023715415","325.686680469289","315.82365487","302.47619047619","308.102","304.50885668277","279.146853146853","285.71","288.521261347348","233.33","224.29","241.87","209.567262739598","195.4636088549132","204.20979986197378","204.20979986197378","182.19461697722568","205.79710144927537","211.552795031056","219.07139023081",""
"Beans:white black eye. sold loose","294.69000000000005","268.63875","263.425694388427","293.59444244819736","294.71409226844","295.974120082816","264.37734638992504","333.30150000000003","341.131322094055","341.94055","341.94055","340.612591070257","350.559432087093","348.0","340.204517273617","339.456898921185","301.598016706376","296.236586236586","281.7481146304675","274.508216205439","304.172754908142","294.559432087093","292.936507936508","281.74811463046757","246.26962693458856","251.2145718502455","245.41809316319117","226.47157153459676","231.03416666666666","238.1835173683","222.875118708452","205.35","214.08150436283424","225.93363636363637","212.66","219.93","184.039367479821","172.974996018474","151.12604642083707","151.12604642083707","148.92702373545288","175.4566888070724","183.073834456061","195.53283767404",""
"Beef Bone in","863.205","1059.0025","1037.80253025303","1030.982905982906","1055.54624297271","1055.7619047619","1055.654073867305","976.636666666667","1092.49394673123","1092.80952380952","1085.05","1084.26988781827","970.382124141523","987.6753810197015","1030.3059572836448","992.564842564843","995.282196969697","991.666666666667","1027.7777777777778","1064.2857142857142","1074.21652421652","970.382124141523","963.84615384615","986.50793650794","903.125","923.798384851016","965.1234567901234","915.6565656565657","906.528333333333","870.100184715569","881.666666666667","893.33","899.3131868131868","964.86166666667","984.59","986.46","947.783389450056","986.111111111111","919.8369565217391","919.8369565217391","861.9672131147541","855.1020408163266","892.5163596750314","896.50793650794",""
"Beef,boneless","989.268","1072.62","1077.41236838597","1498.8095238095239","1511.52277785559","1523.40136054422","1517.462069199905","1397.40272727272","1398.2411689090836","1398.59477124183","1382.01818181818","1381.7968508413","1329.74974796893","1250.0","999.2063492063493","1026.2626262626263","1086.33612419326","1066.3243006993","957.5757575757576","1028.1746031746","1041.09477124183","1029.749747968926","1166.6666666666667","1185.83333333333","1103.2615995116","1094.8144257703","1011.6666666666667","1077.3360626301803","1104.41727272727","1050.83333333333","1105.5555555555557","1142.85","1164.4982795506","1207.30545454545","1288.83","1249.42","1221.7964359656903","1261.04497354497","1215.4008954009","1215.4008954009","1189.035648200463","1197.76486953906","1200.0","1276.767676767677",""
"Bread sliced 500g","261.225","362.5","375.0","350.0","354.444444444444","375.0","364.722222222222","394.44444444444446","350.0","325.0","310.0","310.0","316.666666666667","350.0","306.25","290.0","300.666666666667","280.0","270.0","283.3333333333333","300.0","286.666666666667","297.5","270.0","265.0","300.0","300.386541","285.5","292.5","315.0","263.6363636363636","275.735281","310.0","300.0","317.14","311.11","305.034168","298.21","353.75","353.75","361.1111111111111","366.666666666667","325.0","305.25",""
"Bread unsliced 500g","296.12","337.5","385.714285714286","322.307692307692","306.153846153846","309.166666666667","307.6602564102565","289.2307692307692","285.0","287.272727272727","280.153846153846","277.272727272727","283.333333333333","323.3333333333333","258.8235294117647","248.461538461538","250.0","239.090909090909","217.692307692308","250.0","275.454545454545","263.333333333333","242.0","250.923076923077","230.0","251.25","250.0","234.6153846153846","237.0","279.090909090909","230.76923076923077","250.0","283.846153846154","285.241768","291.11","274.55","270.264815","276.666666666667","323.3333333333333","323.3333333333333","307.14285714285717","260.0","271.875","266.666666666667",""
"Broken Rice (Ofada)","288.025","321.43","355.652173913043","375.55","450.0","455.238095238095","452.6190476190475","455.73885714285694","456.0123004571426","422.25","432.25","435.0","437.17499999999995","437.17499999999995","429.1800525047057","429.480478541459","429.7381668285838","432.3165958295553","432.6624491062189","435.25842380085624","437.8699743436614","438.2202703231363","450.2173","452.46838649999995","455.024654","441.75475673792846","442.15233601899257","445.1863542","445.58702191877995","451.02","385.714285714286","386.0228571428574","392.15","396.38154","400.7352189","403.94110065120003","404.22385942165585","400.166","375.555555555556","375.555555555556","365.12","383.8214369099177","383.88","384.030303030303",""
"Chicken Feet","202.7","250.44","256.57","300.55","358.67","360.0","359.33500000000004","360.396","360.6122376","360.766","360.766","360.55","362.56982999999997","362.56982999999997","345.25237725950734","345.5285791613149","345.7358963088117","347.81031168666453","348.08855993601384","348.33222192796904","350.42221525953687","350.7375952532704","372.1857","373.6744428","379.365487","358.8270667329319","361.33885620006237","364.2643918","364.51937687426","366.12","369.25","369.508475","370.11","375.152784","378.154006272","380.80108431590395","381.06764507492505","390.15","385.6088225374625","385.6088225374625","390.14","350.0","349.15","345.59",""
