"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","312.758333333333","360.0","458.57142857142856","504.44444444444446","511.111111111111","510.0","500.0","547.5","528.99","425.9","420.0","421.8181818181818","435.0","485.22","520.0","498.0","485.333333333333","472.222222222222","426.666666666667","405.55555555555554","483.333333333333","460.0","500.0","457.5","430.0","428.3333333333333","426.363636363636","423.636363636364","424.0176363636367","487.272727272727","453.636363636364","460.3628916","459.0","420.0","425.0","430.0","420.0","399.36","448.3333333333333","455.333333333333","446.086956521739","457.9166666666667","443.75","441.333333333333",""
"Agric eggs(medium size price of one)","40.1166666666667","39.16666666666665","42.27272727272727","44.23076923076923","44.54545454545455","43.888888888888886","44.23076923076923","40.0","44.285714285714285","38.888888888888886","38.22","38.63636363636363","38.63636363636363","39.5","41.05263157894737","39.0","36.0","35.5","37.0","36.7692307692308","41.53846153846154","39.54545454545455","44.5","43.529411764705884","40.4117647058824","40.5294117647059","40.284352","39.4285714285714","40.785714285714285","36.42857142857143","38.9285714285714","40.14","40.5714285714286","38.2222222222222","38.75","40.0","37.0","36.94","37.5","39.28","38.304347826087","45.0","44.44444444444444","43.45",""
"Beans brown,sold loose","269.48875","263.5","242.36111111111111","320.9935897435898","329.761904761905","329.57671957672","328.003663003663","385.2191666666667","346.875","336.916666666667","304.166","304.833333333333","338.7077294685991","310.03865626710456","282.34693877551","254.379310344828","285.243839492537","281.31122448979585","318.809523809524","310.8956629789963","336.111111111111","338.7077294685991","329.316326530612","230.666666666667","279.11437908496737","287.61111111111114","282.194702733164","285.599464637926","290.918461538462","228.34148452280317","277.03","253.57","263.154761904762","246.854444444444","249.08","246.3","201.494276795005","196.821059057901","127.53378378378378","130.89743589743588","135.807862128524","183.33333333333334","187.49999999999997","191.420068027211",""
"Beans:white black eye. sold loose","244.91750000000002","259.767051282051","258.9598997493734","302.3550724637682","295.913678202119","307.047298597583","296.2819185645273","329.35","324.315476190476","309.650793650794","302.12","292.255036630037","311.13368113368114","297.18671679197996","294.883484622263","226.25","274.73428442594354","262.25","301.844583987441","288.1403508771929","300.877551020408","311.13368113368114","303.75","279.3091168091168","259.710351377018","270.571743071743","261.870178840767","271.917797888386","274.2188","299.893988364577","255.0","220.0","246.428571428571","210.002","215.71","213.17","198.314132104455","191.614496332341","148.69281045751634","149.493212669683","150.844328968199","208.68055555555557","216.135477582846","218.26988487702775",""
"Beef Bone in","993.995","1000.0","931.4814814814814","1022.7272727272727","1030.23255813953","1000.0","1022.7272727272727","1250.0","1100.0","1050.33333333333","1058.22","1072.22222222222","1037.57062146893","1153.8461538461538","978.75","900.0","950.0","1053.7037037037","1070.0","1066.66666666667","960.0","1037.57062146893","911.111111111111","925.0","900.487623","916.6666666666667","1010.0","1117.948717948718","1100.0","1054.44444444444","1050.0","998.0","983.333333333333","958.333333333333","1000.0","975.0","932.2628624099211","938.26","869.5652173913044","928.0014526275322","927.93879055891","900.0","909.89","893.3697089947091",""
"Beef,boneless","1149.753333333333","1000.0","1055.299539170507","1055.5555555555557","1117.4603174603174","1216.6666666666665","1155.55555555556","1163.585","1200.0","1207.7497665733","1207.7497665733","1207.92207792208","1225.0","1166.6666666666667","1094.642857142857","1028.9562289562289","1150.0","1250.0","1251.1249999999998","1230.0","1230.861","1125.0","1250.0","1200.02","1230.016423","1220.8778028749998","1250.836549","1270.0","1240.0","1200.0","1211.56","1182.82","1200.0","1166.6666666666667","1200.0","1168.46","1191.8367346938776","1250.0","1200.0","1190.90909090909","1180.37","1150.0","1200.0","1122.2222222222222",""
"Bread sliced 500g","302.915","285.0","287.5","275.0","276.666666666667","250.0","242.5","230.42","310.0","300.12","300.0","300.0","300.0","325.11","272.5","266.6666666666667","266.25","266.0","260.0","280.0","280.0","275.0","266.0","200.0","218.0","300.0","292.714285714286","295.7142857142857","288.57142857142856","295.7142857142857","267.14285714285717","283.33","273.333333333333","234.0","250.6385132","245.0","250.0","287.5","330.0","308.3333333333333","300.01","250.0","259.31","247.142857142857",""
"Bread unsliced 500g","306.178333333333","287.0","252.777777777778","244.73684210526315","243.888888888889","265.55555555555554","254.72222222222229","247.272727272727","250.0","246.666666666667","235.0","230.909090909091","243.157894736842","240.32","257.391304347826","250.0","246.375","238.888888888889","216.0","227.27272727272728","249.090909090909","243.157894736842","258.8888888888889","260.714285714286","267.142857142857","278.571428571429","276.428571428571","265.714285714286","255.714285714286","235.714285714286","225.714285714286","217.5","242.5","240.0","245.56","241.17","243.163524","245.45454545454547","245.0","231.42857142857142","224.705882352941","175.0","195.5","206.470588235294",""
"Broken Rice (Ofada)","316.67","333.33","325.0","356.0","360.0","410.4938271604938","385.2469135802469","366.67","366.890002","366.890002","366.99890002","352.5","354.615","354.615","330.0","317.83688877411","318.09115828512927","319.99970523484006","315.0","295.555555555556","275.555555555556","275.865543","300.15324","301.081081081081","296.666666666667","298.745535714286","296.142769607843","288.017769607843","287.1025","252.06869553376904","278.017769607843","234.37","234.375","245.38193","381.25","383.48","386.54784","368.715277777778","312.7626442517527","320.3","324.48275862069","342.5617041300441","351.25","359.761904761905",""
"Chicken Feet","280.09","300.0","290.04499999999996","320.55","350.45","335.5","300.0","336.76","336.96205599999996","336.96205599999996","336.96205599999996","326.55","350.0","350.0","450.0","450.405","450.7653239999999","453.4699159439999","453.7419978935663","450.1765","450.40158825","458.57312","472.54621","466.32","470.0","459.4036665109458","453.73865","454.01089319","454.237898636595","444.29","430.25","430.63722499999994","435.26","440.846231","441.24299260789996","444.77293654876314","448.33112004115327","413.89","440.80771840981816","414.29","401.56","423.77576769019424","411.89","404.36",""
