"ItemLabels","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020",""
"Agric eggs medium size","588.745","547.857142857142","591.555555555556","500.526315789474","500.777777777778","498.095238095238","466.0","435.5","460.5","445.5","400.75","461.6666666666667","461.0","495.789473684211","475.0","548.421052631579","528.294117647059","573.888888888889","463.333333333333","476.6666666666667","464.5","475.55555555555554","482.22222222222223","468.8888888888889","462.77777777777777","469.5","458.5","485.0","485.0","485.0","455.0","449.09","455.0","444.0","461.42857142857144","456.6666666666667","458.42105263157896","466.42857142857144","445.2173913043478","453.84615384615387","445.0","440.0","463.0769230769231","463.6842105263158",""
"Agric eggs(medium size price of one)","47.44166666666666","49.7023809523809","49.2631578947368","46.0526315789474","45.4444444444444","45.0","40.0","38.75","38.8235294117647","38.75","34.06","39.583333333333336","40.0","40.0","38.23529411764706","38.0","41.1764705882353","43.529411764705884","40.65217391304348","41.041666666666664","39.76190476190476","41.76470588235294","43.529411764705884","40.0","39.77272727272727","40.7368421052632","39.54545454545455","42.0","43.0","40.0","40.0","38.04","40.0434782608696","37.5","39.61538461538461","39.166666666666664","39.473684210526315","39.9285714285714","38.2916666666667","39.166666666666664","39.61538461538461","39.5","39.2142857142857","39.473684210526315",""
"Beans brown,sold loose","460.972","454.271499999999","389.214489214489","321.4920634920635","328.271604938272","333.848334548571","331.0599697434215","362.718571428571","357.972818757132","324.93231636088785","316.5975","283.0687830687831","300.895061728395","297.9276895943563","274.417989417989","339.68749999999994","358.833957178125","365.646945646946","355.16421012849594","366.949602122016","385.254451274566","345.64694564694565","345.64694564694565","331.975308641975","329.403880070547","287.1710300281729","307.016687016687","295.767195767196","285.767","235.76719576719574","255.767195767196","234.98","274.98897707231","300.585714285714","267.74891774891773","243.836363265485","256.779270112603","230.9360269360269","268.441358024691","263.280423280423","258.049906670596","264.851851851852","270.449735449735","281.1394557823129",""
"Beans:white black eye. sold loose","204.30666666666667","232.3007142857135","253.82882192060936","263.5742133110554","278.423032010674","276.5680180542259","273.7891241549778","288.472","283.98422520758845","264.91276209553","255.258636363636","226.0284205406157","292.68990192282877","282.2858191379533","281.93473449706136","305.963055541528","321.99318908533","333.0366821525359","336.031402459974","339.1959177528284","342.923267287716","333.0366821525359","333.0366821525359","336.693151022419","336.693151022419","297.395731200516","290.40690350214163","282.15654077723","287.412857142857","282.15654077723","259.685065891962","225.19","279.19265016826","291.748947368421","250.038395156042","262.122065929654","267.05257776503","217.961654747369","281.1986863711","283.180708180708","260.655978482065","277.621082621083","274.557319223986","277.072829131653",""
"Beef Bone in","878.46","1027.25357142857","1009.0909090909091","1102.3809523809525","1225.0","1235.24959083469","1230.124795417345","1160.0","1016.949152542373","1000.0","1150.0","1200.0","1100.0","1000.0","1025.0","960.0","1100.0","1280.0","1280.0","1200.0","1219.66666666667","1000.0","1000.0","993.3333333333334","1060.0","1004.58333333333","1022.5","1075.0","1055.0","975.0","950.0","966.66","966.6666666666666","1020.0","985.067750677507","995.71428571429","955.5555555555555","1000.0","1048.61111111111","1000.0","998.571428571429","1000.0","1008.57142857143","1010.0",""
"Beef,boneless","1187.0","1234.325277777775","1218.18181818182","1235.8024691358025","1392.59259259259","1333.33333333333","1362.96296296296","1200.11","1205.0","1100.0","1214.2857142857142","1100.0","1280.0","1200.0","1150.0","1140.0","1083.3333333333333","1150.0","1209.090909090909","1228.5714285714287","1242.857142857143","1150.0","1150.0","1200.0","1200.0","1112.5","1116.66666666667","1220.0","1190.0","1220.0","1225.0","1212.0","1232.0","1272.7272727272727","1261.94444444444","1248.18181818182","1195.3846153846155","1180.0","1205.0","1288.88888888889","1233.33333333333","1281.81818181818","1280.0","1266.6666666666667",""
"Bread sliced 500g","231.275","261.428571428571","256.363636363636","260.7142857142857","270.588235294118","314.117647058824","350.588235294118","348.3333333333333","348.75","348.3333333333333","331.5238095238095","290.90909090909093","351.3333333333333","325.0","335.29411764705884","324.0","329.44444444444446","355.55555555555554","340.0","340.0","331.25","355.55555555555554","355.55555555555554","316.666666666667","356.6666666666667","325.6666666666667","330.625","299.375","287.0625","299.375","299.375","302.38","332.3809523809524","334.2105263157895","295.0","308.0","328.2352941176471","336.15384615384613","353.333333333333","370.857142857143","343.3333333333333","350.0","361.428571428571","354.8",""
"Bread unsliced 500g","224.03833333333333","255.7692307692305","258.421052631579","247.3684210526316","276.25","328.5","388.75","399.44444444444446","390.5","390.444444444444","342.7692307692308","317.85714285714283","322.941176470588","343.3333333333333","350.0","370.0","341.3333333333333","352.77777777777777","265.2631578947368","307.222222222222","304.285714285714","361.1111111111111","361.1111111111111","308.947368421053","328.947368421053","316.6666666666667","336.1111111111111","276.47058823529414","273.529411764706","300.529411764706","263.529411764706","295.0","302.56","304.76190476190476","288.6666666666667","295.0","300.5","277.6923076923077","290.90909090909093","322.10526315789474","310.0","329.4117647058824","331.428571428571","321.9230769230769",""
"Broken Rice (Ofada)","237.73250000000002","363.33500000000004","365.714285714286","362.805100182149","384.0","393.809523809524","388.90476190476204","380.95142857142855","369.891748579595","328.714285714286","328.714285714286","279.16666666666663","280.47619047619","319.047619047619","258.8342440801457","301.818181818182","367.333333333333","333.163265306122","337.640890027959","378.30175289191686","345.785440613027","333.163265306122","333.163265306122","354.444444444444","304.444444444444","328.0","332.193486590038","348.333333333333","373.888333333333","388.333333333333","378.333333333333","334.28","346.666666666667","361.377142857143","336.543715846995","297.354497354497","342.857142857143","352.77777777777777","320.833333333333","330.0","327.513227513227","330.476190476191","336.666666666667","324.53703703703707",""
"Chicken Feet","719.38","700.0","600.0","650.0","625.11","630.0","666.6666666666666","700.66","730.0","753.0","780.0","674.3766458886569","650.0","600.0","510.0","510.0","570.0","610.0","559.36363636363","550.0","614.285714285714","571.4285714285714","428.5714285714286","400.0","414.285714285714","400.0","404.12","415.03","385.0","391.02","400.0","435.0","400.15","400.0","400.0","450.0","450.58","450.0","416.6666666666667","500.0","450.0","475.0","484.545454545455","485.54",""
