"ItemLabels","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020"
"Bus journey within  city , per  drop constant  rou","108.333333333333","157.5","183.75","150.0","186.904761904761","190.0","195.0","200.0","203.75","209.803063831241","218.75","253.75","210.0","223.333333333333","209.0909090909091","210.538461538462","211.818181818182","211.178321678322","228.333333333333","232.307692307692","255.555555555556","246.428571428571","214.285714285714","242.72727272727272","303.571428571429","275.0","270.0","280.0","282.1428571428572","282.2","285.0","315.0","300.0","335.7142857142857","320.0","323.076923076923","307.692307692308","283.33","280.0","284.0","305.0","300.0","310.0","320.0","305.0","310.0","304.0","310.0","308.0","310.0","296.363636363636","315.0","320.0","326.0","350.0","400.0"
"Bus journey intercity, state route, charg. per per","1133.75","1400.0","1195.8333333333298","1370.0","1200.0","1200.0","1200.0","1200.0","1480.35714285714","1317.78764710927","1316.28571428571","1364.28571428571","1180.0","1316.6666666666667","1229.16666666667","1393.3333333333333","1396.66666666667","1308.3333333333333","1332.35294117647","1292.1052631578948","1366.6666666666667","1247.61904761905","1230.7692307692307","1284.6153846153845","1307.5","1261.11111111111","1245.0","1265.0","1269.6527777777774","1270.0","1290.0","1400.0","1400.0","1315.7894736842106","1350.0","1420.0","1386.66666666667","1397.22222222222","1368.75","1370.0","1368.42105263158","1350.0","1365.0","1360.0","1370.0","1374.0","1375.0","1380.0","1390.0","1395.0","1371.0526315789473","1400.0","1415.0","1430.0","1497.2","1700.91"
"Air fare charg.for specified routes single journey","22000.0","26000.0","30000.0","26000.0","24000.0","22500.0","23250.0","25833.3333333333","24750.0","25077.4483681093","27625.0","35650.0","35758.0","35758.0","35333.3333333333","35000.0","34600.0","34400.0","34750.0","35250.0","35500.0","36000.0","35800.0","35000.0","35000.0","31600.0","30092.5","31000.0","31900.125","31900.0","31900.0","32650.0","32700.0","36425.0","36500.0","32500.0","31100.95","32525.0","32283.3333333333","32290.0","31333.333333333332","31400.0","31600.0","31640.0","31650.0","31668.0","31670.0","31700.0","31700.0","31750.0","30650.0","30650.0","30650.0","30650.0","38650.0","39650.0"
"Journey by motorcycle (okada) per drop","166.666666666667","133.75","135.83333333333331","138.888888888888","124.722222222222","121.666666666666","115.833333333333","140.0","117.5","112.16647110283995","120.8333333333333","143.958333333333","116.0","105.88235294117646","141.66666666666666","156.66666666666666","142.142857142857","147.777777777778","150.0","146.666666666667","157.14285714285714","144.210526315789","138.571428571429","147.857142857143","150.5","165.78947368421052","125.0","130.0","135.5","135.7","140.0","146.66666666666666","150.0","113.15789473684211","110.0","108.82352941176471","123.6842105263158","108.33333333333333","116.666666666667","120.0","115.0","118.0","120.0","120.0","130.0","135.0","133.0","139.0","140.0","142.0","141.052631578947","156.0","155.0","157.0","188.4","210.68"
"Water transport : water way passenger  transportat","1500.0","1500.0","1500.0","1500.0","1375.0","1500.0","1350.0","1425.0","1587.5","1658.33333333333","1865.83333333333","2216.66666666666","1750.89","1700.0","1500.77","1650.0","1650.0","1655.0","1627.77777777777","1537.5","1560.0","1410.0","1345.71428571429","1833.33333333333","1877.77777777777","1183.33333333333","1050.0","1120.0","1200.8","1200.0","1200.0","1270.66666666666","1270.0","1050.0","1100.0","970.0","985.71428571429","960.0","935.714285714286","938.0","960.0","960.0","945.0","947.0","945.0","946.0","947.0","950.0","970.0","970.0","950.0","1000.0","1000.0","1090.0","1150.7","1300.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","24300.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1495.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","425.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","112.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","220.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
